Año,Periodo,Estancia media de los viajeros
1999,Abril,"1,8"
2000,Abril,"1,9"
2001,Abril,"1,94"
2002,Abril,"1,81"
2003,Abril,"1,84"
2004,Abril,"1,99"
2005,Abril,"1,72"
2006,Abril,"1,83"
2007,Abril,"1,8"
2008,Abril,"1,66"
2009,Abril,"1,82"
2010,Abril,"1,77"
2011,Abril,"1,79"
2012,Abril,"1,76"
2013,Abril,"1,83"
2014,Abril,"1,8"
2015,Abril,"1,71"
2016,Abril,"1,66"
2017,Abril,"1,75"
2018,Abril,"1,78"
2019,Abril,"1,79"
2020,Abril,0
2021,Abril,"1,75"
2022,Abril,"1,74"
2023,Abril,"1,79"
2024,Abril,"1,74"
