Año,Periodo,Variación (%) interanual del nº de hoteles
2019,Junio,"1,32"
2019,Julio,"3,92"
2019,Agosto,"-2,47"
2019,Septiembre,0
2019,Octubre,"-3,85"
2019,Noviembre,"-4,67"
2019,Diciembre,0
2020,Enero,"-5,47"
2020,Febrero,"-10,64"
2020,Marzo,"-38,46"
2020,Abril,-100
2020,Mayo,"-88,46"
2020,Junio,"-60,39"
2020,Julio,"-22,64"
2020,Agosto,"-17,09"
2020,Septiembre,"-19,08"
2020,Octubre,"-18,67"
2020,Noviembre,"-41,96"
2020,Diciembre,"-30,77"
2021,Enero,"-32,23"
2021,Febrero,"-38,1"
2021,Marzo,"10,23"
2021,Mayo,"544,44"
2021,Junio,"108,2"
2021,Julio,"13,82"
2021,Agosto,"12,21"
2021,Septiembre,"17,07"
2021,Octubre,"18,03"
2021,Noviembre,"56,63"
2021,Diciembre,"35,56"
2022,Enero,"43,9"
2022,Febrero,"69,23"
2022,Marzo,"53,61"
2022,Abril,56
2022,Mayo,"32,76"
2022,Junio,"25,2"
2022,Julio,"12,86"
2022,Agosto,"7,48"
2022,Septiembre,"6,94"
2022,Octubre,"9,03"
2022,Noviembre,"14,62"
2022,Diciembre,"11,48"
2023,Enero,"-11,02"
2023,Febrero,"-4,55"
2023,Marzo,"-9,4"
2023,Abril,"-6,41"
2023,Mayo,0
2023,Junio,"-7,55"
2023,Julio,"-3,16"
2023,Agosto,"-4,43"
2023,Septiembre,0
2023,Octubre,"-3,82"
2023,Noviembre,"-2,01"
2023,Diciembre,"-4,41"
2024,Enero,"5,71"
2024,Febrero,"3,17"
2024,Marzo,"17,04"
2024,Abril,"9,59"
2024,Mayo,"6,49"
