Año,Periodo,Andalucía
2019,Junio,"-1,89"
2019,Julio,"4,63"
2019,Agosto,"-0,8"
2019,Septiembre,"-1,78"
2019,Octubre,"-3,69"
2019,Noviembre,"-6,82"
2019,Diciembre,"-6,73"
2020,Enero,"0,74"
2020,Febrero,"-3,99"
2020,Marzo,"-40,55"
2020,Abril,-100
2020,Mayo,"-93,98"
2020,Junio,"-68,52"
2020,Julio,"-36,44"
2020,Agosto,"-31,52"
2020,Septiembre,"-29,07"
2020,Octubre,"-33,09"
2020,Noviembre,"-54,33"
2020,Diciembre,"-50,22"
2021,Enero,"-55,77"
2021,Febrero,"-57,12"
2021,Marzo,"-18,66"
2021,Mayo,862
2021,Junio,"120,69"
2021,Julio,"16,43"
2021,Agosto,"21,32"
2021,Septiembre,"18,03"
2021,Octubre,"23,99"
2021,Noviembre,"93,29"
2021,Diciembre,"88,41"
2022,Enero,"85,48"
2022,Febrero,"111,07"
2022,Marzo,"96,03"
2022,Abril,"96,86"
2022,Mayo,"55,72"
2022,Junio,"34,72"
2022,Julio,"20,71"
2022,Agosto,"15,06"
2022,Septiembre,"15,27"
2022,Octubre,"15,77"
2022,Noviembre,"13,88"
2022,Diciembre,8
2023,Enero,"1,42"
2023,Febrero,"8,2"
2023,Marzo,"0,72"
2023,Abril,"4,26"
2023,Mayo,"16,15"
2023,Junio,"11,21"
2023,Julio,"8,64"
2023,Agosto,"3,27"
2023,Septiembre,13
2023,Octubre,"9,51"
2023,Noviembre,"10,6"
2023,Diciembre,"14,1"
2024,Enero,"13,16"
2024,Febrero,"5,45"
2024,Marzo,"17,65"
2024,Abril,"8,93"
2024,Mayo,"0,23"
