Periodo,Municipio,Indicador,Categoría,DATA
2016-01-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),TOTAL,56.87
2016-01-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,77.26
2016-01-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,51.87
2016-01-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,42.25
2016-01-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,47.06
2016-01-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,28.38
2016-01-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),TOTAL,21.24
2016-01-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,36.54
2016-01-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,23.27
2016-01-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,13.02
2016-01-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,5.95
2016-01-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),1 estrella de plata,7.11
2016-01-01,Calahorra,Facturación media por cada habitación ocupada (ADR),TOTAL,49.02
2016-01-01,Calahorra,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,44.71522456461961
2016-01-01,Calahorra,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,44.71522456461961
2016-01-01,Calahorra,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,44.71522456461961
2016-01-01,Calahorra,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,44.71522456461961
2016-01-01,Calahorra,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,44.71522456461961
2016-01-01,Calahorra,Ingreso por habitación disponible (RevPAR),TOTAL,25.07
2016-01-01,Calahorra,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,44.71522456461961
2016-01-01,Calahorra,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,44.71522456461961
