Grupo actividad sector turístico,Régimen de afiliación,Periodo,DATA
TOTAL SECTOR SERVICIOS,TOTAL,2011T2,74739.0
TOTAL SECTOR SERVICIOS,TOTAL,2011T3,74384.0
TOTAL SECTOR SERVICIOS,TOTAL,2011T4,73681.0
TOTAL SECTOR SERVICIOS,TOTAL,2012T1,73363.0
TOTAL SECTOR SERVICIOS,TOTAL,2012T2,73885.0
TOTAL SECTOR SERVICIOS,TOTAL,2012T3,75177.0
TOTAL SECTOR SERVICIOS,TOTAL,2012T4,74490.0
TOTAL SECTOR SERVICIOS,TOTAL,2013T1,73646.0
TOTAL SECTOR SERVICIOS,TOTAL,2013T2,81826.0
TOTAL SECTOR SERVICIOS,TOTAL,2013T3,74019.0
TOTAL SECTOR SERVICIOS,TOTAL,2013T4,74616.0
TOTAL SECTOR SERVICIOS,TOTAL,2014T1,74899.0
TOTAL SECTOR SERVICIOS,TOTAL,2014T2,75755.0
TOTAL SECTOR SERVICIOS,TOTAL,2014T3,76069.0
TOTAL SECTOR SERVICIOS,TOTAL,2014T4,76782.0
TOTAL SECTOR SERVICIOS,TOTAL,2015T1,77363.0
TOTAL SECTOR SERVICIOS,TOTAL,2015T2,77769.0
TOTAL SECTOR SERVICIOS,TOTAL,2015T3,77891.0
TOTAL SECTOR SERVICIOS,TOTAL,2015T4,78574.0
TOTAL SECTOR SERVICIOS,TOTAL,2016T1,78727.0
TOTAL SECTOR SERVICIOS,TOTAL,2016T2,78933.0
TOTAL SECTOR SERVICIOS,TOTAL,2016T3,78871.0
TOTAL SECTOR SERVICIOS,TOTAL,2016T4,80807.0
TOTAL SECTOR SERVICIOS,TOTAL,2017T1,81072.0
TOTAL SECTOR SERVICIOS,TOTAL,2017T2,81103.0
TOTAL SECTOR SERVICIOS,TOTAL,2017T3,82699.0
TOTAL SECTOR SERVICIOS,TOTAL,2017T4,82720.0
TOTAL SECTOR SERVICIOS,TOTAL,2018T1,83107.0
TOTAL SECTOR SERVICIOS,TOTAL,2018T2,84148.0
TOTAL SECTOR SERVICIOS,TOTAL,2018T3,84379.0
TOTAL SECTOR SERVICIOS,TOTAL,2018T4,84896.0
TOTAL SECTOR SERVICIOS,TOTAL,2019T1,85694.0
TOTAL SECTOR SERVICIOS,TOTAL,2019T2,85885.0
TOTAL SECTOR SERVICIOS,TOTAL,2019T3,85558.0
TOTAL SECTOR SERVICIOS,TOTAL,2019T4,86124.0
TOTAL SECTOR SERVICIOS,TOTAL,2020T1,83885.0
TOTAL SECTOR SERVICIOS,TOTAL,2020T2,82210.0
TOTAL SECTOR SERVICIOS,TOTAL,2020T3,84806.0
TOTAL SECTOR SERVICIOS,TOTAL,2020T4,85169.0
TOTAL SECTOR SERVICIOS,TOTAL,2021T1,85073.0
TOTAL SECTOR SERVICIOS,TOTAL,2021T2,85630.0
TOTAL SECTOR SERVICIOS,TOTAL,2021T3,86647.0
TOTAL SECTOR SERVICIOS,TOTAL,2021T4,88812.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2011T2,57542.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2011T3,57175.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2011T4,56339.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2012T1,56705.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2012T2,57607.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2012T3,59447.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2012T4,58735.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2013T1,57953.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2013T2,61170.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2013T3,58200.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2013T4,58600.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2014T1,58838.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2014T2,59535.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2014T3,59918.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2014T4,60585.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2015T1,61120.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2015T2,61366.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2015T3,61610.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2015T4,62214.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2016T1,62415.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2016T2,62497.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2016T3,62571.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2016T4,64417.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2017T1,64786.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2017T2,64775.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2017T3,66484.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2017T4,66561.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2018T1,66856.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2018T2,67826.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2018T3,68172.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2018T4,68657.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2019T1,69501.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2019T2,69634.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2019T3,69473.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2019T4,70002.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2020T1,68024.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2020T2,66338.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2020T3,68935.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2020T4,69256.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2021T1,69120.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2021T2,69673.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2021T3,70751.0
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2021T4,72854.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2011T2,17197.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2011T3,17209.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2011T4,17342.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2012T1,16658.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2012T2,16278.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2012T3,15730.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2012T4,15755.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2013T1,15693.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2013T2,20656.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2013T3,15819.0
