Municipio,Categoría turística,Indicador,Periodo,DATA
LA RIOJA,TOTAL,Establecimientos,2009,37.0
LA RIOJA,TOTAL,Establecimientos,2010,44.0
LA RIOJA,TOTAL,Establecimientos,2011,44.0
LA RIOJA,TOTAL,Establecimientos,2012,50.0
LA RIOJA,TOTAL,Establecimientos,2013,62.0
LA RIOJA,TOTAL,Establecimientos,2014,80.0
LA RIOJA,TOTAL,Establecimientos,2015,83.0
LA RIOJA,TOTAL,Establecimientos,2016,99.0
LA RIOJA,TOTAL,Establecimientos,2017,102.0
LA RIOJA,TOTAL,Establecimientos,2018,40.0
LA RIOJA,TOTAL,Establecimientos,2019,48.0
LA RIOJA,TOTAL,Establecimientos,2020,57.0
LA RIOJA,TOTAL,Establecimientos,2021,64.0
LA RIOJA,TOTAL,Establecimientos,2022,70.0
LA RIOJA,TOTAL,Establecimientos,2023,77.0
LA RIOJA,TOTAL,Establecimientos,2024,79.0
LA RIOJA,TOTAL,Apartamentos,2009,144.0
LA RIOJA,TOTAL,Apartamentos,2010,154.0
LA RIOJA,TOTAL,Apartamentos,2011,154.0
LA RIOJA,TOTAL,Apartamentos,2012,198.0
LA RIOJA,TOTAL,Apartamentos,2013,233.0
LA RIOJA,TOTAL,Apartamentos,2014,286.0
LA RIOJA,TOTAL,Apartamentos,2015,298.0
LA RIOJA,TOTAL,Apartamentos,2016,323.0
LA RIOJA,TOTAL,Apartamentos,2017,344.0
LA RIOJA,TOTAL,Apartamentos,2018,269.0
LA RIOJA,TOTAL,Apartamentos,2019,318.0
LA RIOJA,TOTAL,Apartamentos,2020,376.0
LA RIOJA,TOTAL,Apartamentos,2021,418.0
LA RIOJA,TOTAL,Apartamentos,2022,445.0
LA RIOJA,TOTAL,Apartamentos,2023,530.0
LA RIOJA,TOTAL,Apartamentos,2024,542.0
LA RIOJA,TOTAL,Plazas,2009,637.0
LA RIOJA,TOTAL,Plazas,2010,717.0
LA RIOJA,TOTAL,Plazas,2011,717.0
LA RIOJA,TOTAL,Plazas,2012,885.0
LA RIOJA,TOTAL,Plazas,2013,1051.0
LA RIOJA,TOTAL,Plazas,2014,1254.0
LA RIOJA,TOTAL,Plazas,2015,1309.0
LA RIOJA,TOTAL,Plazas,2016,1474.0
LA RIOJA,TOTAL,Plazas,2017,1534.0
LA RIOJA,TOTAL,Plazas,2018,1085.0
LA RIOJA,TOTAL,Plazas,2019,1315.0
LA RIOJA,TOTAL,Plazas,2020,1583.0
LA RIOJA,TOTAL,Plazas,2021,1761.0
LA RIOJA,TOTAL,Plazas,2022,1880.0
LA RIOJA,TOTAL,Plazas,2023,2192.0
LA RIOJA,TOTAL,Plazas,2024,2268.0
LA RIOJA,Una llave,Establecimientos,2009,28.0
LA RIOJA,Una llave,Establecimientos,2010,33.0
LA RIOJA,Una llave,Establecimientos,2011,33.0
LA RIOJA,Una llave,Establecimientos,2012,37.0
LA RIOJA,Una llave,Establecimientos,2013,50.0
LA RIOJA,Una llave,Establecimientos,2014,68.0
LA RIOJA,Una llave,Establecimientos,2015,67.0
LA RIOJA,Una llave,Establecimientos,2016,82.0
LA RIOJA,Una llave,Establecimientos,2017,83.0
LA RIOJA,Una llave,Establecimientos,2018,34.0
LA RIOJA,Una llave,Establecimientos,2019,41.0
LA RIOJA,Una llave,Establecimientos,2020,44.0
LA RIOJA,Una llave,Establecimientos,2021,49.0
LA RIOJA,Una llave,Establecimientos,2022,55.0
LA RIOJA,Una llave,Establecimientos,2023,59.0
LA RIOJA,Una llave,Establecimientos,2024,61.0
LA RIOJA,Una llave,Apartamentos,2009,124.0
LA RIOJA,Una llave,Apartamentos,2010,127.0
LA RIOJA,Una llave,Apartamentos,2011,127.0
LA RIOJA,Una llave,Apartamentos,2012,167.0
LA RIOJA,Una llave,Apartamentos,2013,208.0
LA RIOJA,Una llave,Apartamentos,2014,261.0
LA RIOJA,Una llave,Apartamentos,2015,256.0
LA RIOJA,Una llave,Apartamentos,2016,280.0
LA RIOJA,Una llave,Apartamentos,2017,288.0
LA RIOJA,Una llave,Apartamentos,2018,234.0
LA RIOJA,Una llave,Apartamentos,2019,282.0
LA RIOJA,Una llave,Apartamentos,2020,286.0
LA RIOJA,Una llave,Apartamentos,2021,305.0
LA RIOJA,Una llave,Apartamentos,2022,332.0
LA RIOJA,Una llave,Apartamentos,2023,355.0
LA RIOJA,Una llave,Apartamentos,2024,367.0
LA RIOJA,Una llave,Plazas,2009,530.0
LA RIOJA,Una llave,Plazas,2010,560.0
LA RIOJA,Una llave,Plazas,2011,560.0
LA RIOJA,Una llave,Plazas,2012,701.0
LA RIOJA,Una llave,Plazas,2013,903.0
LA RIOJA,Una llave,Plazas,2014,1100.0
LA RIOJA,Una llave,Plazas,2015,1048.0
LA RIOJA,Una llave,Plazas,2016,1207.0
LA RIOJA,Una llave,Plazas,2017,1252.0
LA RIOJA,Una llave,Plazas,2018,913.0
LA RIOJA,Una llave,Plazas,2019,1162.0
LA RIOJA,Una llave,Plazas,2020,1169.0
LA RIOJA,Una llave,Plazas,2021,1258.0
LA RIOJA,Una llave,Plazas,2022,1377.0
LA RIOJA,Una llave,Plazas,2023,1470.0
LA RIOJA,Una llave,Plazas,2024,1546.0
LA RIOJA,Dos llaves,Establecimientos,2009,7.0
LA RIOJA,Dos llaves,Establecimientos,2010,8.0
LA RIOJA,Dos llaves,Establecimientos,2011,8.0
LA RIOJA,Dos llaves,Establecimientos,2012,10.0
LA RIOJA,Dos llaves,Establecimientos,2013,10.0
LA RIOJA,Dos llaves,Establecimientos,2014,11.0
LA RIOJA,Dos llaves,Establecimientos,2015,11.0
LA RIOJA,Dos llaves,Establecimientos,2016,11.0
LA RIOJA,Dos llaves,Establecimientos,2017,12.0
LA RIOJA,Dos llaves,Establecimientos,2018,4.0
LA RIOJA,Dos llaves,Establecimientos,2019,7.0
LA RIOJA,Dos llaves,Establecimientos,2020,7.0
LA RIOJA,Dos llaves,Establecimientos,2021,9.0
LA RIOJA,Dos llaves,Establecimientos,2022,9.0
LA RIOJA,Dos llaves,Establecimientos,2023,11.0
LA RIOJA,Dos llaves,Establecimientos,2024,11.0
LA RIOJA,Dos llaves,Apartamentos,2009,14.0
LA RIOJA,Dos llaves,Apartamentos,2010,15.0
LA RIOJA,Dos llaves,Apartamentos,2011,15.0
LA RIOJA,Dos llaves,Apartamentos,2012,19.0
LA RIOJA,Dos llaves,Apartamentos,2013,19.0
LA RIOJA,Dos llaves,Apartamentos,2014,21.0
LA RIOJA,Dos llaves,Apartamentos,2015,21.0
LA RIOJA,Dos llaves,Apartamentos,2016,21.0
LA RIOJA,Dos llaves,Apartamentos,2017,33.0
LA RIOJA,Dos llaves,Apartamentos,2018,20.0
LA RIOJA,Dos llaves,Apartamentos,2019,36.0
LA RIOJA,Dos llaves,Apartamentos,2020,36.0
LA RIOJA,Dos llaves,Apartamentos,2021,55.0
LA RIOJA,Dos llaves,Apartamentos,2022,55.0
LA RIOJA,Dos llaves,Apartamentos,2023,105.0
LA RIOJA,Dos llaves,Apartamentos,2024,105.0
LA RIOJA,Dos llaves,Plazas,2009,80.0
