Municipio,Categoría turística,Indicador,Periodo,DATA
LA RIOJA,TOTAL,Establecimientos,2009,107.0
LA RIOJA,TOTAL,Establecimientos,2010,112.0
LA RIOJA,TOTAL,Establecimientos,2011,112.0
LA RIOJA,TOTAL,Establecimientos,2012,124.0
LA RIOJA,TOTAL,Establecimientos,2013,130.0
LA RIOJA,TOTAL,Establecimientos,2014,130.0
LA RIOJA,TOTAL,Establecimientos,2015,128.0
LA RIOJA,TOTAL,Establecimientos,2016,129.0
LA RIOJA,TOTAL,Establecimientos,2017,132.0
LA RIOJA,TOTAL,Establecimientos,2018,133.0
LA RIOJA,TOTAL,Establecimientos,2019,132.0
LA RIOJA,TOTAL,Establecimientos,2020,130.0
LA RIOJA,TOTAL,Establecimientos,2021,128.0
LA RIOJA,TOTAL,Establecimientos,2022,130.0
LA RIOJA,TOTAL,Establecimientos,2023,129.0
LA RIOJA,TOTAL,Establecimientos,2024,130.0
LA RIOJA,TOTAL,Plazas,2009,990.0
LA RIOJA,TOTAL,Plazas,2010,1047.0
LA RIOJA,TOTAL,Plazas,2011,1047.0
LA RIOJA,TOTAL,Plazas,2012,1146.0
LA RIOJA,TOTAL,Plazas,2013,1181.0
LA RIOJA,TOTAL,Plazas,2014,1185.0
LA RIOJA,TOTAL,Plazas,2015,1161.0
LA RIOJA,TOTAL,Plazas,2016,1172.0
LA RIOJA,TOTAL,Plazas,2017,1199.0
LA RIOJA,TOTAL,Plazas,2018,1199.0
LA RIOJA,TOTAL,Plazas,2019,1192.0
LA RIOJA,TOTAL,Plazas,2020,1222.0
LA RIOJA,TOTAL,Plazas,2021,1237.0
LA RIOJA,TOTAL,Plazas,2022,1223.0
LA RIOJA,TOTAL,Plazas,2023,1224.0
LA RIOJA,TOTAL,Plazas,2024,1232.0
LA RIOJA,TOTAL,Habitaciones,2009,507.0
LA RIOJA,TOTAL,Habitaciones,2010,537.0
LA RIOJA,TOTAL,Habitaciones,2011,537.0
LA RIOJA,TOTAL,Habitaciones,2012,588.0
LA RIOJA,TOTAL,Habitaciones,2013,606.0
LA RIOJA,TOTAL,Habitaciones,2014,609.0
LA RIOJA,TOTAL,Habitaciones,2015,604.0
LA RIOJA,TOTAL,Habitaciones,2016,613.0
LA RIOJA,TOTAL,Habitaciones,2017,640.0
LA RIOJA,TOTAL,Habitaciones,2018,641.0
LA RIOJA,TOTAL,Habitaciones,2019,644.0
LA RIOJA,TOTAL,Habitaciones,2020,668.0
LA RIOJA,TOTAL,Habitaciones,2021,647.0
LA RIOJA,TOTAL,Habitaciones,2022,698.0
LA RIOJA,TOTAL,Habitaciones,2023,693.0
LA RIOJA,TOTAL,Habitaciones,2024,697.0
LA RIOJA,Alquiler completo,Establecimientos,2009,16.0
LA RIOJA,Alquiler completo,Establecimientos,2010,18.0
LA RIOJA,Alquiler completo,Establecimientos,2011,18.0
LA RIOJA,Alquiler completo,Establecimientos,2012,28.0
LA RIOJA,Alquiler completo,Establecimientos,2013,34.0
LA RIOJA,Alquiler completo,Establecimientos,2014,38.0
LA RIOJA,Alquiler completo,Establecimientos,2015,38.0
LA RIOJA,Alquiler completo,Establecimientos,2016,41.0
LA RIOJA,Alquiler completo,Establecimientos,2017,44.0
LA RIOJA,Alquiler completo,Establecimientos,2018,46.0
LA RIOJA,Alquiler completo,Establecimientos,2019,46.0
LA RIOJA,Alquiler completo,Establecimientos,2020,43.0
LA RIOJA,Alquiler completo,Establecimientos,2021,43.0
LA RIOJA,Alquiler completo,Establecimientos,2022,45.0
LA RIOJA,Alquiler completo,Establecimientos,2023,44.0
LA RIOJA,Alquiler completo,Establecimientos,2024,45.0
LA RIOJA,Alquiler completo,Plazas,2009,140.0
LA RIOJA,Alquiler completo,Plazas,2010,154.0
LA RIOJA,Alquiler completo,Plazas,2011,154.0
LA RIOJA,Alquiler completo,Plazas,2012,231.0
LA RIOJA,Alquiler completo,Plazas,2013,268.0
LA RIOJA,Alquiler completo,Plazas,2014,299.0
LA RIOJA,Alquiler completo,Plazas,2015,295.0
LA RIOJA,Alquiler completo,Plazas,2016,316.0
LA RIOJA,Alquiler completo,Plazas,2017,343.0
LA RIOJA,Alquiler completo,Plazas,2018,349.0
LA RIOJA,Alquiler completo,Plazas,2019,348.0
LA RIOJA,Alquiler completo,Plazas,2020,331.0
LA RIOJA,Alquiler completo,Plazas,2021,364.0
LA RIOJA,Alquiler completo,Plazas,2022,366.0
LA RIOJA,Alquiler completo,Plazas,2023,367.0
LA RIOJA,Alquiler completo,Plazas,2024,375.0
