Municipio,Tipo de establecimiento,Indicador,Periodo,DATA
LA RIOJA,Hoteles,Establecimientos,2009,63.0
LA RIOJA,Hoteles,Establecimientos,2010,63.0
LA RIOJA,Hoteles,Establecimientos,2011,63.0
LA RIOJA,Hoteles,Establecimientos,2012,66.0
LA RIOJA,Hoteles,Establecimientos,2013,70.0
LA RIOJA,Hoteles,Establecimientos,2014,67.0
LA RIOJA,Hoteles,Establecimientos,2015,70.0
LA RIOJA,Hoteles,Establecimientos,2016,73.0
LA RIOJA,Hoteles,Establecimientos,2017,73.0
LA RIOJA,Hoteles,Establecimientos,2018,74.0
LA RIOJA,Hoteles,Establecimientos,2019,76.0
LA RIOJA,Hoteles,Establecimientos,2020,75.0
LA RIOJA,Hoteles,Establecimientos,2021,77.0
LA RIOJA,Hoteles,Establecimientos,2022,83.0
LA RIOJA,Hoteles,Establecimientos,2023,78.0
LA RIOJA,Hoteles,Establecimientos,2024,79.0
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2009,2509.0
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2010,2505.0
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2011,2505.0
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2012,2562.0
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2013,2549.0
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2014,2630.0
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2015,2649.0
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2016,2693.0
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2017,2693.0
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2018,2741.0
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2019,2783.0
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2020,2731.0
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2021,2573.0
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2022,2912.0
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2023,2673.0
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2024,2693.0
LA RIOJA,Hoteles,Plazas,2009,4613.0
LA RIOJA,Hoteles,Plazas,2010,4583.0
LA RIOJA,Hoteles,Plazas,2011,4583.0
LA RIOJA,Hoteles,Plazas,2012,4706.0
LA RIOJA,Hoteles,Plazas,2013,4713.0
LA RIOJA,Hoteles,Plazas,2014,4644.0
LA RIOJA,Hoteles,Plazas,2015,4706.0
LA RIOJA,Hoteles,Plazas,2016,4790.0
LA RIOJA,Hoteles,Plazas,2017,4790.0
LA RIOJA,Hoteles,Plazas,2018,4885.0
LA RIOJA,Hoteles,Plazas,2019,4964.0
LA RIOJA,Hoteles,Plazas,2020,4873.0
LA RIOJA,Hoteles,Plazas,2021,4784.0
LA RIOJA,Hoteles,Plazas,2022,5179.0
LA RIOJA,Hoteles,Plazas,2023,4936.0
LA RIOJA,Hoteles,Plazas,2024,4998.0
LA RIOJA,Hostales,Establecimientos,2009,44.0
LA RIOJA,Hostales,Establecimientos,2010,43.0
LA RIOJA,Hostales,Establecimientos,2011,43.0
LA RIOJA,Hostales,Establecimientos,2012,42.0
LA RIOJA,Hostales,Establecimientos,2013,41.0
LA RIOJA,Hostales,Establecimientos,2014,40.0
LA RIOJA,Hostales,Establecimientos,2015,40.0
LA RIOJA,Hostales,Establecimientos,2016,39.0
LA RIOJA,Hostales,Establecimientos,2017,40.0
LA RIOJA,Hostales,Establecimientos,2018,40.0
LA RIOJA,Hostales,Establecimientos,2019,39.0
LA RIOJA,Hostales,Establecimientos,2020,39.0
LA RIOJA,Hostales,Establecimientos,2021,37.0
LA RIOJA,Hostales,Establecimientos,2022,36.0
LA RIOJA,Hostales,Establecimientos,2023,35.0
LA RIOJA,Hostales,Establecimientos,2024,36.0
LA RIOJA,Hostales,Habitaciones/Apartamentos,2009,612.0
LA RIOJA,Hostales,Habitaciones/Apartamentos,2010,587.0
LA RIOJA,Hostales,Habitaciones/Apartamentos,2011,587.0
LA RIOJA,Hostales,Habitaciones/Apartamentos,2012,572.0
LA RIOJA,Hostales,Habitaciones/Apartamentos,2013,556.0
LA RIOJA,Hostales,Habitaciones/Apartamentos,2014,538.0
LA RIOJA,Hostales,Habitaciones/Apartamentos,2015,537.0
LA RIOJA,Hostales,Habitaciones/Apartamentos,2016,513.0
LA RIOJA,Hostales,Habitaciones/Apartamentos,2017,524.0
LA RIOJA,Hostales,Habitaciones/Apartamentos,2018,529.0
LA RIOJA,Hostales,Habitaciones/Apartamentos,2019,521.0
LA RIOJA,Hostales,Habitaciones/Apartamentos,2020,524.0
LA RIOJA,Hostales,Habitaciones/Apartamentos,2021,505.0
LA RIOJA,Hostales,Habitaciones/Apartamentos,2022,494.0
LA RIOJA,Hostales,Habitaciones/Apartamentos,2023,489.0
LA RIOJA,Hostales,Habitaciones/Apartamentos,2024,508.0
LA RIOJA,Hostales,Plazas,2009,1078.0
LA RIOJA,Hostales,Plazas,2010,1031.0
LA RIOJA,Hostales,Plazas,2011,1031.0
LA RIOJA,Hostales,Plazas,2012,1007.0
LA RIOJA,Hostales,Plazas,2013,981.0
LA RIOJA,Hostales,Plazas,2014,953.0
LA RIOJA,Hostales,Plazas,2015,954.0
LA RIOJA,Hostales,Plazas,2016,908.0
LA RIOJA,Hostales,Plazas,2017,930.0
LA RIOJA,Hostales,Plazas,2018,939.0
LA RIOJA,Hostales,Plazas,2019,924.0
LA RIOJA,Hostales,Plazas,2020,929.0
LA RIOJA,Hostales,Plazas,2021,893.0
LA RIOJA,Hostales,Plazas,2022,872.0
LA RIOJA,Hostales,Plazas,2023,862.0
LA RIOJA,Hostales,Plazas,2024,896.0
LA RIOJA,Pensiones,Establecimientos,2009,49.0
LA RIOJA,Pensiones,Establecimientos,2010,53.0
LA RIOJA,Pensiones,Establecimientos,2011,53.0
LA RIOJA,Pensiones,Establecimientos,2012,55.0
LA RIOJA,Pensiones,Establecimientos,2013,55.0
LA RIOJA,Pensiones,Establecimientos,2014,53.0
LA RIOJA,Pensiones,Establecimientos,2015,55.0
LA RIOJA,Pensiones,Establecimientos,2016,60.0
LA RIOJA,Pensiones,Establecimientos,2017,62.0
LA RIOJA,Pensiones,Establecimientos,2018,65.0
LA RIOJA,Pensiones,Establecimientos,2019,70.0
LA RIOJA,Pensiones,Establecimientos,2020,70.0
