Forma de organización del viaje,Indicador,Periodo,DATA
TOTAL,Gasto total,2016,93087.88
TOTAL,Gasto total,2017,101962.17
TOTAL,Gasto total,2018,101126.5
TOTAL,Gasto total,2019,98201.73
TOTAL,Gasto total,2020,21835.28
TOTAL,Gasto total,2021,42027.48
TOTAL,Gasto total,2022,108604.09
TOTAL,Gasto total,2023,86729.82
TOTAL,Gasto medio por persona,2016,650.63
TOTAL,Gasto medio por persona,2017,778.49
TOTAL,Gasto medio por persona,2018,707.54
TOTAL,Gasto medio por persona,2019,703.97
TOTAL,Gasto medio por persona,2020,481.43
TOTAL,Gasto medio por persona,2021,877.16
TOTAL,Gasto medio por persona,2022,966.32
TOTAL,Gasto medio por persona,2023,733.71
TOTAL,Gasto medio diario por persona,2016,98.8
TOTAL,Gasto medio diario por persona,2017,99.29
TOTAL,Gasto medio diario por persona,2018,104.29
TOTAL,Gasto medio diario por persona,2019,103.32
TOTAL,Gasto medio diario por persona,2020,73.44
TOTAL,Gasto medio diario por persona,2021,116.83
TOTAL,Gasto medio diario por persona,2022,134.45
TOTAL,Gasto medio diario por persona,2023,131.99
TOTAL,Duración media de los viajes,2016,6.59
TOTAL,Duración media de los viajes,2017,7.84
TOTAL,Duración media de los viajes,2018,6.78
TOTAL,Duración media de los viajes,2019,6.81
TOTAL,Duración media de los viajes,2020,6.56
TOTAL,Duración media de los viajes,2021,7.51
TOTAL,Duración media de los viajes,2022,7.19
TOTAL,Duración media de los viajes,2023,5.56
Con paquete turístico,Gasto total,2016,10333.17
Con paquete turístico,Gasto total,2017,1556.93
Con paquete turístico,Gasto total,2018,4018.9
Con paquete turístico,Gasto total,2019,10649.82
Con paquete turístico,Gasto total,2020,283.24
Con paquete turístico,Gasto total,2021,1132.44
Con paquete turístico,Gasto total,2022,1756.67
Con paquete turístico,Gasto total,2023,36.86
Con paquete turístico,Gasto medio por persona,2016,1399.42
Con paquete turístico,Gasto medio por persona,2017,916.24
Con paquete turístico,Gasto medio por persona,2018,1258.37
Con paquete turístico,Gasto medio por persona,2019,3416.89
Con paquete turístico,Gasto medio por persona,2020,283.24
Con paquete turístico,Gasto medio por persona,2021,1069.9
Con paquete turístico,Gasto medio por persona,2022,982.23
Con paquete turístico,Gasto medio por persona,2023,599.05
Con paquete turístico,Gasto medio diario por persona,2016,215.14
Con paquete turístico,Gasto medio diario por persona,2017,274.74
Con paquete turístico,Gasto medio diario por persona,2018,182.79
Con paquete turístico,Gasto medio diario por persona,2019,291.74
Con paquete turístico,Gasto medio diario por persona,2020,283.24
Con paquete turístico,Gasto medio diario por persona,2021,250.13
Con paquete turístico,Gasto medio diario por persona,2022,245.56
Con paquete turístico,Gasto medio diario por persona,2023,74.88
Con paquete turístico,Duración media de los viajes,2016,6.5
Con paquete turístico,Duración media de los viajes,2017,3.33
Con paquete turístico,Duración media de los viajes,2018,6.88
Con paquete turístico,Duración media de los viajes,2019,11.71
Con paquete turístico,Duración media de los viajes,2020,283.24
Con paquete turístico,Duración media de los viajes,2021,4.28
Con paquete turístico,Duración media de los viajes,2022,4.0
Con paquete turístico,Duración media de los viajes,2023,8.0
Sin paquete turístico,Gasto total,2016,82754.71
Sin paquete turístico,Gasto total,2017,100405.25
Sin paquete turístico,Gasto total,2018,97107.6
Sin paquete turístico,Gasto total,2019,87551.92
Sin paquete turístico,Gasto total,2020,21835.28
Sin paquete turístico,Gasto total,2021,40895.05
Sin paquete turístico,Gasto total,2022,106847.42
Sin paquete turístico,Gasto total,2023,86692.95
Sin paquete turístico,Gasto medio por persona,2016,609.88
Sin paquete turístico,Gasto medio por persona,2017,776.68
Sin paquete turístico,Gasto medio por persona,2018,694.95
Sin paquete turístico,Gasto medio por persona,2019,641.97
Sin paquete turístico,Gasto medio por persona,2020,481.43
Sin paquete turístico,Gasto medio por persona,2021,872.81
Sin paquete turístico,Gasto medio por persona,2022,966.06
Sin paquete turístico,Gasto medio por persona,2023,733.78
Sin paquete turístico,Gasto medio diario por persona,2016,92.55
Sin paquete turístico,Gasto medio diario por persona,2017,98.31
Sin paquete turístico,Gasto medio diario por persona,2018,102.47
Sin paquete turístico,Gasto medio diario por persona,2019,95.8
Sin paquete turístico,Gasto medio diario por persona,2020,73.44
Sin paquete turístico,Gasto medio diario por persona,2021,115.13
Sin paquete turístico,Gasto medio diario por persona,2022,133.46
Sin paquete turístico,Gasto medio diario por persona,2023,132.03
Sin paquete turístico,Duración media de los viajes,2016,6.59
Sin paquete turístico,Duración media de los viajes,2017,7.9
Sin paquete turístico,Duración media de los viajes,2018,6.78
Sin paquete turístico,Duración media de los viajes,2019,6.7
Sin paquete turístico,Duración media de los viajes,2020,6.56
Sin paquete turístico,Duración media de los viajes,2021,7.58
Sin paquete turístico,Duración media de los viajes,2022,7.24
Sin paquete turístico,Duración media de los viajes,2023,5.56
