Via de acceso,Indicador,Periodo,DATA
TOTAL,Gasto total,2016,93087.88
TOTAL,Gasto total,2017,101962.17
TOTAL,Gasto total,2018,101126.5
TOTAL,Gasto total,2019,98201.73
TOTAL,Gasto total,2020,21835.28
TOTAL,Gasto total,2021,42027.48
TOTAL,Gasto total,2022,108604.09
TOTAL,Gasto total,2023,86729.82
TOTAL,Gasto medio por persona,2016,650.63
TOTAL,Gasto medio por persona,2017,778.49
TOTAL,Gasto medio por persona,2018,707.54
TOTAL,Gasto medio por persona,2019,703.97
TOTAL,Gasto medio por persona,2020,481.43
TOTAL,Gasto medio por persona,2021,877.16
TOTAL,Gasto medio por persona,2022,966.32
TOTAL,Gasto medio por persona,2023,733.71
TOTAL,Gasto medio diario por persona,2016,98.8
TOTAL,Gasto medio diario por persona,2017,99.29
TOTAL,Gasto medio diario por persona,2018,104.29
TOTAL,Gasto medio diario por persona,2019,103.32
TOTAL,Gasto medio diario por persona,2020,73.44
TOTAL,Gasto medio diario por persona,2021,116.83
TOTAL,Gasto medio diario por persona,2022,134.45
TOTAL,Gasto medio diario por persona,2023,131.99
TOTAL,Duración media de los viajes,2016,6.59
TOTAL,Duración media de los viajes,2017,7.84
TOTAL,Duración media de los viajes,2018,6.78
TOTAL,Duración media de los viajes,2019,6.81
TOTAL,Duración media de los viajes,2020,6.56
TOTAL,Duración media de los viajes,2021,7.51
TOTAL,Duración media de los viajes,2022,7.19
TOTAL,Duración media de los viajes,2023,5.56
Carretera,Gasto total,2016,31196.19
Carretera,Gasto total,2017,26409.08
Carretera,Gasto total,2018,36415.05
Carretera,Gasto total,2019,32418.47
Carretera,Gasto total,2020,13537.0
Carretera,Gasto total,2021,12859.47
Carretera,Gasto total,2022,31930.1
Carretera,Gasto total,2023,29843.42
Carretera,Gasto medio por persona,2016,343.04
Carretera,Gasto medio por persona,2017,348.13
Carretera,Gasto medio por persona,2018,433.11
Carretera,Gasto medio por persona,2019,379.26
Carretera,Gasto medio por persona,2020,383.8
Carretera,Gasto medio por persona,2021,435.23
Carretera,Gasto medio por persona,2022,514.8
Carretera,Gasto medio por persona,2023,408.22
Carretera,Gasto medio diario por persona,2016,75.68
Carretera,Gasto medio diario por persona,2017,72.46
Carretera,Gasto medio diario por persona,2018,68.98
Carretera,Gasto medio diario por persona,2019,63.62
Carretera,Gasto medio diario por persona,2020,56.85
Carretera,Gasto medio diario por persona,2021,85.87
Carretera,Gasto medio diario por persona,2022,109.3
Carretera,Gasto medio diario por persona,2023,102.53
Carretera,Duración media de los viajes,2016,4.53
Carretera,Duración media de los viajes,2017,4.8
Carretera,Duración media de los viajes,2018,6.28
Carretera,Duración media de los viajes,2019,5.96
Carretera,Duración media de los viajes,2020,6.75
Carretera,Duración media de los viajes,2021,5.07
Carretera,Duración media de los viajes,2022,4.71
Carretera,Duración media de los viajes,2023,3.98
Otra vía,Gasto total,2016,61891.69
Otra vía,Gasto total,2017,75553.09
Otra vía,Gasto total,2018,64711.44
Otra vía,Gasto total,2019,65783.26
Otra vía,Gasto total,2020,8298.28
Otra vía,Gasto total,2021,29168.02
Otra vía,Gasto total,2022,76674.0
Otra vía,Gasto total,2023,56886.39
Otra vía,Gasto medio por persona,2016,1187.2
Otra vía,Gasto medio por persona,2017,1370.82
Otra vía,Gasto medio por persona,2018,1099.64
Otra vía,Gasto medio por persona,2019,1217.79
Otra vía,Gasto medio por persona,2020,822.87
Otra vía,Gasto medio por persona,2021,1588.1
Otra vía,Gasto medio por persona,2022,1522.36
Otra vía,Gasto medio por persona,2023,1261.29
Otra vía,Gasto medio diario por persona,2016,116.78
Otra vía,Gasto medio diario por persona,2017,114.05
Otra vía,Gasto medio diario por persona,2018,146.5
Otra vía,Gasto medio diario por persona,2019,149.22
Otra vía,Gasto medio diario por persona,2020,140.17
Otra vía,Gasto medio diario por persona,2021,138.92
Otra vía,Gasto medio diario por persona,2022,148.7
Otra vía,Gasto medio diario por persona,2023,155.42
Otra vía,Duración media de los viajes,2016,10.17
Otra vía,Duración media de los viajes,2017,12.02
Otra vía,Duración media de los viajes,2018,7.51
Otra vía,Duración media de los viajes,2019,8.16
Otra vía,Duración media de los viajes,2020,5.87
Otra vía,Duración media de los viajes,2021,11.43
Otra vía,Duración media de los viajes,2022,10.24
Otra vía,Duración media de los viajes,2023,8.12
