Municipio,Categoría turística,Indicador,Periodo,DATA
LA RIOJA,TOTAL,Plazas,2009,4613.0
LA RIOJA,TOTAL,Plazas,2010,4583.0
LA RIOJA,TOTAL,Plazas,2011,4583.0
LA RIOJA,TOTAL,Plazas,2012,4706.0
LA RIOJA,TOTAL,Plazas,2013,4713.0
LA RIOJA,TOTAL,Plazas,2014,4644.0
LA RIOJA,TOTAL,Plazas,2015,4706.0
LA RIOJA,TOTAL,Plazas,2016,4790.0
LA RIOJA,TOTAL,Plazas,2017,4790.0
LA RIOJA,TOTAL,Plazas,2018,4885.0
LA RIOJA,TOTAL,Plazas,2019,4964.0
LA RIOJA,TOTAL,Plazas,2020,4873.0
LA RIOJA,TOTAL,Plazas,2021,4784.0
LA RIOJA,TOTAL,Plazas,2022,5179.0
LA RIOJA,TOTAL,Plazas,2023,4936.0
LA RIOJA,TOTAL,Plazas,2024,4998.0
LA RIOJA,TOTAL,Habitaciones,2009,2509.0
LA RIOJA,TOTAL,Habitaciones,2010,2505.0
LA RIOJA,TOTAL,Habitaciones,2011,2505.0
LA RIOJA,TOTAL,Habitaciones,2012,2562.0
LA RIOJA,TOTAL,Habitaciones,2013,2549.0
LA RIOJA,TOTAL,Habitaciones,2014,2630.0
LA RIOJA,TOTAL,Habitaciones,2015,2649.0
LA RIOJA,TOTAL,Habitaciones,2016,2693.0
LA RIOJA,TOTAL,Habitaciones,2017,2693.0
LA RIOJA,TOTAL,Habitaciones,2018,2741.0
LA RIOJA,TOTAL,Habitaciones,2019,2783.0
LA RIOJA,TOTAL,Habitaciones,2020,2731.0
LA RIOJA,TOTAL,Habitaciones,2021,2573.0
LA RIOJA,TOTAL,Habitaciones,2022,2912.0
LA RIOJA,TOTAL,Habitaciones,2023,2673.0
LA RIOJA,TOTAL,Habitaciones,2024,2693.0
LA RIOJA,TOTAL,Establecimientos,2009,63.0
LA RIOJA,TOTAL,Establecimientos,2010,63.0
LA RIOJA,TOTAL,Establecimientos,2011,63.0
LA RIOJA,TOTAL,Establecimientos,2012,66.0
LA RIOJA,TOTAL,Establecimientos,2013,70.0
LA RIOJA,TOTAL,Establecimientos,2014,67.0
LA RIOJA,TOTAL,Establecimientos,2015,70.0
LA RIOJA,TOTAL,Establecimientos,2016,73.0
LA RIOJA,TOTAL,Establecimientos,2017,73.0
LA RIOJA,TOTAL,Establecimientos,2018,74.0
LA RIOJA,TOTAL,Establecimientos,2019,76.0
LA RIOJA,TOTAL,Establecimientos,2020,75.0
LA RIOJA,TOTAL,Establecimientos,2021,77.0
LA RIOJA,TOTAL,Establecimientos,2022,83.0
LA RIOJA,TOTAL,Establecimientos,2023,78.0
LA RIOJA,TOTAL,Establecimientos,2024,79.0
LA RIOJA,Una estrella,Plazas,2009,293.0
LA RIOJA,Una estrella,Plazas,2010,325.0
LA RIOJA,Una estrella,Plazas,2011,325.0
LA RIOJA,Una estrella,Plazas,2012,325.0
LA RIOJA,Una estrella,Plazas,2013,361.0
LA RIOJA,Una estrella,Plazas,2014,349.0
LA RIOJA,Una estrella,Plazas,2015,349.0
LA RIOJA,Una estrella,Plazas,2016,396.0
LA RIOJA,Una estrella,Plazas,2017,396.0
LA RIOJA,Una estrella,Plazas,2018,396.0
LA RIOJA,Una estrella,Plazas,2019,396.0
LA RIOJA,Una estrella,Plazas,2020,396.0
LA RIOJA,Una estrella,Plazas,2021,406.0
LA RIOJA,Una estrella,Plazas,2022,406.0
LA RIOJA,Una estrella,Plazas,2023,406.0
LA RIOJA,Una estrella,Plazas,2024,406.0
LA RIOJA,Una estrella,Habitaciones,2009,168.0
LA RIOJA,Una estrella,Habitaciones,2010,189.0
LA RIOJA,Una estrella,Habitaciones,2011,189.0
LA RIOJA,Una estrella,Habitaciones,2012,189.0
LA RIOJA,Una estrella,Habitaciones,2013,207.0
LA RIOJA,Una estrella,Habitaciones,2014,199.0
LA RIOJA,Una estrella,Habitaciones,2015,199.0
LA RIOJA,Una estrella,Habitaciones,2016,224.0
LA RIOJA,Una estrella,Habitaciones,2017,224.0
LA RIOJA,Una estrella,Habitaciones,2018,224.0
LA RIOJA,Una estrella,Habitaciones,2019,224.0
LA RIOJA,Una estrella,Habitaciones,2020,224.0
LA RIOJA,Una estrella,Habitaciones,2021,229.0
LA RIOJA,Una estrella,Habitaciones,2022,229.0
LA RIOJA,Una estrella,Habitaciones,2023,229.0
LA RIOJA,Una estrella,Habitaciones,2024,229.0
LA RIOJA,Una estrella,Establecimientos,2009,8.0
LA RIOJA,Una estrella,Establecimientos,2010,9.0
LA RIOJA,Una estrella,Establecimientos,2011,9.0
LA RIOJA,Una estrella,Establecimientos,2012,9.0
LA RIOJA,Una estrella,Establecimientos,2013,11.0
LA RIOJA,Una estrella,Establecimientos,2014,10.0
LA RIOJA,Una estrella,Establecimientos,2015,10.0
LA RIOJA,Una estrella,Establecimientos,2016,11.0
LA RIOJA,Una estrella,Establecimientos,2017,11.0
LA RIOJA,Una estrella,Establecimientos,2018,11.0
LA RIOJA,Una estrella,Establecimientos,2019,11.0
LA RIOJA,Una estrella,Establecimientos,2020,11.0
LA RIOJA,Una estrella,Establecimientos,2021,12.0
LA RIOJA,Una estrella,Establecimientos,2022,12.0
LA RIOJA,Una estrella,Establecimientos,2023,12.0
LA RIOJA,Una estrella,Establecimientos,2024,12.0
LA RIOJA,Dos estrellas,Plazas,2009,381.0
LA RIOJA,Dos estrellas,Plazas,2010,409.0
LA RIOJA,Dos estrellas,Plazas,2011,409.0
LA RIOJA,Dos estrellas,Plazas,2012,409.0
LA RIOJA,Dos estrellas,Plazas,2013,350.0
LA RIOJA,Dos estrellas,Plazas,2014,328.0
LA RIOJA,Dos estrellas,Plazas,2015,210.0
LA RIOJA,Dos estrellas,Plazas,2016,223.0
LA RIOJA,Dos estrellas,Plazas,2017,223.0
LA RIOJA,Dos estrellas,Plazas,2018,223.0
LA RIOJA,Dos estrellas,Plazas,2019,253.0
LA RIOJA,Dos estrellas,Plazas,2020,253.0
LA RIOJA,Dos estrellas,Plazas,2021,269.0
LA RIOJA,Dos estrellas,Plazas,2022,287.0
LA RIOJA,Dos estrellas,Plazas,2023,265.0
LA RIOJA,Dos estrellas,Plazas,2024,265.0
LA RIOJA,Dos estrellas,Habitaciones,2009,246.0
LA RIOJA,Dos estrellas,Habitaciones,2010,260.0
LA RIOJA,Dos estrellas,Habitaciones,2011,260.0
LA RIOJA,Dos estrellas,Habitaciones,2012,260.0
LA RIOJA,Dos estrellas,Habitaciones,2013,214.0
LA RIOJA,Dos estrellas,Habitaciones,2014,203.0
LA RIOJA,Dos estrellas,Habitaciones,2015,117.0
LA RIOJA,Dos estrellas,Habitaciones,2016,124.0
LA RIOJA,Dos estrellas,Habitaciones,2017,124.0
