Grupo actividad sector turístico,Indicador,Periodo,DATA
TOTAL SECTOR SERVICIOS,Sueldos y salarios,2008,675273.907
TOTAL SECTOR SERVICIOS,Sueldos y salarios,2009,618180.322
TOTAL SECTOR SERVICIOS,Sueldos y salarios,2010,615968.456
TOTAL SECTOR SERVICIOS,Sueldos y salarios,2011,631114.561
TOTAL SECTOR SERVICIOS,Sueldos y salarios,2012,608698.047
TOTAL SECTOR SERVICIOS,Sueldos y salarios,2013,598617.505
TOTAL SECTOR SERVICIOS,Sueldos y salarios,2014,610768.261
TOTAL SECTOR SERVICIOS,Productividad por persona,2008,31934.399
TOTAL SECTOR SERVICIOS,Productividad por persona,2009,30192.831
TOTAL SECTOR SERVICIOS,Productividad por persona,2010,31056.691
TOTAL SECTOR SERVICIOS,Productividad por persona,2011,29868.682
TOTAL SECTOR SERVICIOS,Productividad por persona,2012,28202.15
TOTAL SECTOR SERVICIOS,Productividad por persona,2013,27115.244
TOTAL SECTOR SERVICIOS,Productividad por persona,2014,27289.273
TOTAL SECTOR SERVICIOS,Salario medio,2008,18638.043
TOTAL SECTOR SERVICIOS,Salario medio,2009,19373.369
TOTAL SECTOR SERVICIOS,Salario medio,2010,18957.079
TOTAL SECTOR SERVICIOS,Salario medio,2011,18892.935
TOTAL SECTOR SERVICIOS,Salario medio,2012,18944.543
TOTAL SECTOR SERVICIOS,Salario medio,2013,18219.011
TOTAL SECTOR SERVICIOS,Salario medio,2014,17856.704
TOTAL SECTOR SERVICIOS,Gastos de personal,2008,864914.157
TOTAL SECTOR SERVICIOS,Gastos de personal,2009,792767.455
TOTAL SECTOR SERVICIOS,Gastos de personal,2010,790914.771
TOTAL SECTOR SERVICIOS,Gastos de personal,2011,819003.377
TOTAL SECTOR SERVICIOS,Gastos de personal,2012,791978.309
TOTAL SECTOR SERVICIOS,Gastos de personal,2013,771737.063
TOTAL SECTOR SERVICIOS,Gastos de personal,2014,783888.508
SECTOR TURÍSTICOS,Sueldos y salarios,2008,118942.027
SECTOR TURÍSTICOS,Sueldos y salarios,2009,108104.625
SECTOR TURÍSTICOS,Sueldos y salarios,2010,106460.615
SECTOR TURÍSTICOS,Sueldos y salarios,2011,113834.859
SECTOR TURÍSTICOS,Sueldos y salarios,2012,110057.716
SECTOR TURÍSTICOS,Sueldos y salarios,2013,109576.911
SECTOR TURÍSTICOS,Sueldos y salarios,2014,104330.958
