Grupo actividad sector turístico,Indicador,Periodo,DATA
TOTAL SECTOR SERVICIOS,Salario medio,2015,19892.923
TOTAL SECTOR SERVICIOS,Salario medio,2016,19070.827
TOTAL SECTOR SERVICIOS,Salario medio,2017,19229.551
TOTAL SECTOR SERVICIOS,Salario medio,2018,20211.762
TOTAL SECTOR SERVICIOS,Salario medio,2019,21067.722
TOTAL SECTOR SERVICIOS,Salario medio,2020,20004.585
TOTAL SECTOR SERVICIOS,Gasto de personal,2015,25232.934
TOTAL SECTOR SERVICIOS,Gasto de personal,2016,24191.093
TOTAL SECTOR SERVICIOS,Gasto de personal,2017,24447.246
TOTAL SECTOR SERVICIOS,Gasto de personal,2018,25707.348
TOTAL SECTOR SERVICIOS,Gasto de personal,2019,26842.034
TOTAL SECTOR SERVICIOS,Gasto de personal,2020,25555.809
TOTAL SECTOR SERVICIOS,Tasa de valor ańadido,2015,60.969
TOTAL SECTOR SERVICIOS,Tasa de valor ańadido,2016,60.75
TOTAL SECTOR SERVICIOS,Tasa de valor ańadido,2017,60.043
TOTAL SECTOR SERVICIOS,Tasa de valor ańadido,2018,59.827
TOTAL SECTOR SERVICIOS,Tasa de valor ańadido,2019,60.219
TOTAL SECTOR SERVICIOS,Tasa de valor ańadido,2020,59.482
TOTAL SECTOR SERVICIOS,Tasa bruta de explotación,2015,11.957
TOTAL SECTOR SERVICIOS,Tasa bruta de explotación,2016,12.0
TOTAL SECTOR SERVICIOS,Tasa bruta de explotación,2017,11.223
TOTAL SECTOR SERVICIOS,Tasa bruta de explotación,2018,11.168
TOTAL SECTOR SERVICIOS,Tasa bruta de explotación,2019,11.262
TOTAL SECTOR SERVICIOS,Tasa bruta de explotación,2020,10.171
TOTAL SECTOR SERVICIOS,Tasa de inversión,2015,12.09
TOTAL SECTOR SERVICIOS,Tasa de inversión,2016,13.82
TOTAL SECTOR SERVICIOS,Tasa de inversión,2017,13.548
TOTAL SECTOR SERVICIOS,Tasa de inversión,2018,15.177
