Periodo,Variable,DATA
2016M01,Índice,217.98
2016M01,Var (%) anual,1.64
2016M02,Índice,207.84
2016M02,Var (%) anual,-1.4
2016M03,Índice,143.65
2016M03,Var (%) anual,3.82
2016M04,Índice,153.75
2016M04,Var (%) anual,6.16
2016M05,Índice,158.72
2016M05,Var (%) anual,2.07
2016M06,Índice,149.89
2016M06,Var (%) anual,-1.36
2016M07,Índice,155.52
2016M07,Var (%) anual,1.29
2016M08,Índice,173.21
2016M08,Var (%) anual,7.44
2016M09,Índice,160.97
2016M09,Var (%) anual,5.16
2016M10,Índice,158.58
2016M10,Var (%) anual,1.7
2016M11,Índice,252.46
2016M11,Var (%) anual,0.06
2016M12,Índice,151.67
2016M12,Var (%) anual,6.5
2017M01,Índice,217.0
2017M01,Var (%) anual,-0.45
2017M02,Índice,253.94
2017M02,Var (%) anual,22.18
2017M03,Índice,156.01
2017M03,Var (%) anual,8.6
2017M04,Índice,136.59
2017M04,Var (%) anual,7.9
2017M05,Índice,168.92
2017M05,Var (%) anual,6.43
2017M06,Índice,159.1
2017M06,Var (%) anual,6.14
2017M07,Índice,161.18
2017M07,Var (%) anual,3.64
2017M08,Índice,173.67
2017M08,Var (%) anual,0.26
2017M09,Índice,163.74
2017M09,Var (%) anual,1.72
2017M10,Índice,162.6
2017M10,Var (%) anual,2.53
2017M11,Índice,270.21
2017M11,Var (%) anual,7.03
2017M12,Índice,151.53
2017M12,Var (%) anual,-0.09
2018M01,Índice,246.11
2018M01,Var (%) anual,13.41
2018M02,Índice,260.36
2018M02,Var (%) anual,2.53
2018M03,Índice,162.47
2018M03,Var (%) anual,4.14
2018M04,Índice,169.51
2018M04,Var (%) anual,2.18
2018M05,Índice,170.91
2018M05,Var (%) anual,1.18
2018M06,Índice,162.0
2018M06,Var (%) anual,1.82
2018M07,Índice,151.84
2018M07,Var (%) anual,-5.79
2018M08,Índice,174.73
2018M08,Var (%) anual,0.61
2018M09,Índice,164.41
2018M09,Var (%) anual,0.41
2018M10,Índice,153.12
2018M10,Var (%) anual,-5.83
2018M11,Índice,267.58
2018M11,Var (%) anual,-0.97
2018M12,Índice,165.18
2018M12,Var (%) anual,9.01
2019M01,Índice,239.04
2019M01,Var (%) anual,-2.87
2019M02,Índice,280.4
2019M02,Var (%) anual,7.7
2019M03,Índice,159.47
2019M03,Var (%) anual,-1.84
2019M04,Índice,171.99
2019M04,Var (%) anual,1.47
2019M05,Índice,174.54
2019M05,Var (%) anual,2.12
2019M06,Índice,162.38
2019M06,Var (%) anual,0.24
2019M07,Índice,167.89
2019M07,Var (%) anual,10.57
2019M08,Índice,166.18
2019M08,Var (%) anual,-4.89
2019M09,Índice,155.66
2019M09,Var (%) anual,-5.33
2019M10,Índice,177.38
2019M10,Var (%) anual,15.84
2019M11,Índice,263.43
2019M11,Var (%) anual,-1.55
2020M01,Índice,278.15
2020M01,Var (%) anual,16.36
2020M02,Índice,157.96
2020M02,Var (%) anual,152.39
2020M03,Índice,155.05
2020M03,Var (%) anual,-2.77
2020M04,Índice,171.99
2020M04,Var (%) anual,0.0
2020M07,Índice,172.05
2020M07,Var (%) anual,2.48
2020M08,Índice,181.61
2020M08,Var (%) anual,9.28
2020M09,Índice,165.53
2020M09,Var (%) anual,6.34
2020M10,Índice,171.58
2020M10,Var (%) anual,-3.27
2020M11,Índice,260.97
2020M11,Var (%) anual,-0.93
2020M12,Índice,165.64
2020M12,Var (%) anual,-0.94
2021M01,Índice,280.03
2021M01,Var (%) anual,0.68
2021M02,Índice,271.07
2021M02,Var (%) anual,2.91
2021M03,Índice,120.75
2021M03,Var (%) anual,-22.12
2021M04,Índice,177.1
2021M04,Var (%) anual,2.97
2021M05,Índice,287.09
2021M05,Var (%) anual,0.0
2021M06,Índice,154.38
2021M06,Var (%) anual,0.0
2021M07,Índice,178.16
2021M07,Var (%) anual,3.55
2021M08,Índice,187.75
2021M08,Var (%) anual,3.38
2021M09,Índice,169.09
2021M09,Var (%) anual,2.16
2021M10,Índice,172.95
2021M10,Var (%) anual,0.8
2021M11,Índice,269.24
2021M11,Var (%) anual,3.17
2021M12,Índice,206.15
2021M12,Var (%) anual,24.45
2022M01,Índice,311.19
2022M01,Var (%) anual,11.12
2022M02,Índice,293.33
2022M02,Var (%) anual,8.21
2022M03,Índice,126.5
2022M03,Var (%) anual,4.76
2022M04,Índice,171.82
2022M04,Var (%) anual,-2.98
2022M05,Índice,296.66
2022M05,Var (%) anual,3.33
2022M06,Índice,160.3
2022M06,Var (%) anual,3.83
2022M07,Índice,181.72
2022M07,Var (%) anual,2.0
2022M08,Índice,192.25
2022M08,Var (%) anual,2.39
2022M09,Índice,173.46
2022M09,Var (%) anual,2.58
