Periodo,Tarifa,Variable,DATA
2016M01,TOTAL,Índice,150.89
2016M01,TOTAL,Var (%) anual,2.06
2016M01,Normal,Índice,147.67
2016M01,Normal,Var (%) anual,3.17
2016M01,Fin de semana,Índice,150.13
2016M01,Fin de semana,Var (%) anual,1.48
2016M02,TOTAL,Índice,133.72
2016M02,TOTAL,Var (%) anual,3.3
2016M02,Normal,Índice,138.17
2016M02,Normal,Var (%) anual,5.09
2016M02,Fin de semana,Índice,125.42
2016M02,Fin de semana,Var (%) anual,3.19
2016M03,TOTAL,Índice,137.36
2016M03,TOTAL,Var (%) anual,2.47
2016M03,Normal,Índice,124.72
2016M03,Normal,Var (%) anual,2.62
2016M03,Fin de semana,Índice,142.05
2016M03,Fin de semana,Var (%) anual,2.43
2016M04,TOTAL,Índice,132.45
2016M04,TOTAL,Var (%) anual,2.07
2016M04,Normal,Índice,134.08
2016M04,Normal,Var (%) anual,2.21
2016M04,Fin de semana,Índice,131.26
2016M04,Fin de semana,Var (%) anual,1.98
2016M05,TOTAL,Índice,120.17
2016M05,TOTAL,Var (%) anual,1.32
2016M05,Normal,Índice,133.02
2016M05,Normal,Var (%) anual,2.92
2016M05,Fin de semana,Índice,119.42
2016M05,Fin de semana,Var (%) anual,1.18
2016M06,TOTAL,Índice,122.16
2016M06,TOTAL,Var (%) anual,3.34
2016M06,Normal,Índice,136.13
2016M06,Normal,Var (%) anual,2.31
2016M06,Fin de semana,Índice,122.57
2016M06,Fin de semana,Var (%) anual,3.73
2016M07,TOTAL,Índice,133.58
2016M07,TOTAL,Var (%) anual,4.66
2016M07,Normal,Índice,132.74
2016M07,Normal,Var (%) anual,4.7
2016M07,Fin de semana,Índice,133.97
2016M07,Fin de semana,Var (%) anual,4.62
2016M08,TOTAL,Índice,126.39
2016M08,TOTAL,Var (%) anual,2.39
2016M08,Normal,Índice,128.49
2016M08,Normal,Var (%) anual,2.28
2016M08,Fin de semana,Índice,127.8
2016M08,Fin de semana,Var (%) anual,2.57
2016M09,TOTAL,Índice,115.63
2016M09,TOTAL,Var (%) anual,1.06
2016M09,Normal,Índice,118.43
2016M09,Normal,Var (%) anual,-0.0
2016M09,Fin de semana,Índice,115.74
2016M09,Fin de semana,Var (%) anual,1.44
2016M10,TOTAL,Índice,130.63
2016M10,TOTAL,Var (%) anual,2.36
2016M10,Normal,Índice,141.27
2016M10,Normal,Var (%) anual,2.75
2016M10,Fin de semana,Índice,128.99
2016M10,Fin de semana,Var (%) anual,2.23
2016M11,TOTAL,Índice,132.25
2016M11,TOTAL,Var (%) anual,3.31
2016M11,Normal,Índice,131.09
2016M11,Normal,Var (%) anual,2.76
2016M11,Fin de semana,Índice,130.23
2016M11,Fin de semana,Var (%) anual,3.37
2016M12,TOTAL,Índice,128.78
