Grupo actividad sector turístico,Indicador,Periodo,DATA
TOTAL SECTOR SERVICIOS,Excedente bruto de explotación (miles de euros),2008,721640.388
TOTAL SECTOR SERVICIOS,Excedente bruto de explotación (miles de euros),2009,578728.125
TOTAL SECTOR SERVICIOS,Excedente bruto de explotación (miles de euros),2010,612539.06
TOTAL SECTOR SERVICIOS,Excedente bruto de explotación (miles de euros),2011,544651.389
TOTAL SECTOR SERVICIOS,Excedente bruto de explotación (miles de euros),2012,467381.413
TOTAL SECTOR SERVICIOS,Excedente bruto de explotación (miles de euros),2013,478132.734
TOTAL SECTOR SERVICIOS,Excedente bruto de explotación (miles de euros),2014,513433.482
TOTAL SECTOR SERVICIOS,Cifra de negocio,2008,5871380.893
TOTAL SECTOR SERVICIOS,Cifra de negocio,2009,5046512.048
TOTAL SECTOR SERVICIOS,Cifra de negocio,2010,5086720.457
TOTAL SECTOR SERVICIOS,Cifra de negocio,2011,4897665.371
TOTAL SECTOR SERVICIOS,Cifra de negocio,2012,4531812.442
TOTAL SECTOR SERVICIOS,Cifra de negocio,2013,4584039.704
TOTAL SECTOR SERVICIOS,Cifra de negocio,2014,4677023.988
TOTAL SECTOR SERVICIOS,Producción a precios básicos,2008,2891289.625
TOTAL SECTOR SERVICIOS,Producción a precios básicos,2009,2500144.805
TOTAL SECTOR SERVICIOS,Producción a precios básicos,2010,2562817.696
TOTAL SECTOR SERVICIOS,Producción a precios básicos,2011,2523719.194
TOTAL SECTOR SERVICIOS,Producción a precios básicos,2012,2332537.971
TOTAL SECTOR SERVICIOS,Producción a precios básicos,2013,2347585.883
TOTAL SECTOR SERVICIOS,Producción a precios básicos,2014,2354494.209
TOTAL SECTOR SERVICIOS,VAB a precios básicos,2008,1568574.988
TOTAL SECTOR SERVICIOS,VAB a precios básicos,2009,1346685.157
TOTAL SECTOR SERVICIOS,VAB a precios básicos,2010,1392224.079
TOTAL SECTOR SERVICIOS,VAB a precios básicos,2011,1349856.8
TOTAL SECTOR SERVICIOS,VAB a precios básicos,2012,1247401.373
TOTAL SECTOR SERVICIOS,VAB a precios básicos,2013,1221687.392
TOTAL SECTOR SERVICIOS,VAB a precios básicos,2014,1256925.84
TOTAL SECTOR SERVICIOS,VAB cifra de negocio,2008,1586554.494
TOTAL SECTOR SERVICIOS,VAB cifra de negocio,2009,1371495.549
TOTAL SECTOR SERVICIOS,VAB cifra de negocio,2010,1403453.797
TOTAL SECTOR SERVICIOS,VAB cifra de negocio,2011,1363654.711
TOTAL SECTOR SERVICIOS,VAB cifra de negocio,2012,1259359.688
TOTAL SECTOR SERVICIOS,VAB cifra de negocio,2013,1249869.775
TOTAL SECTOR SERVICIOS,VAB cifra de negocio,2014,1297321.985
SECTOR TURÍSTICOS,Excedente bruto de explotación (miles de euros),2008,108312.323
SECTOR TURÍSTICOS,Excedente bruto de explotación (miles de euros),2009,98208.191
SECTOR TURÍSTICOS,Excedente bruto de explotación (miles de euros),2010,97669.952
SECTOR TURÍSTICOS,Excedente bruto de explotación (miles de euros),2011,79443.326
SECTOR TURÍSTICOS,Excedente bruto de explotación (miles de euros),2012,76319.594
SECTOR TURÍSTICOS,Excedente bruto de explotación (miles de euros),2013,85271.201
SECTOR TURÍSTICOS,Excedente bruto de explotación (miles de euros),2014,70383.83
SECTOR TURÍSTICOS,Cifra de negocio,2008,622803.763
SECTOR TURÍSTICOS,Cifra de negocio,2009,586921.016
SECTOR TURÍSTICOS,Cifra de negocio,2010,557679.968
SECTOR TURÍSTICOS,Cifra de negocio,2011,575963.947
SECTOR TURÍSTICOS,Cifra de negocio,2012,524634.878
SECTOR TURÍSTICOS,Cifra de negocio,2013,530188.898
SECTOR TURÍSTICOS,Cifra de negocio,2014,449538.716
SECTOR TURÍSTICOS,Producción a precios básicos,2008,598001.454
SECTOR TURÍSTICOS,Producción a precios básicos,2009,540439.588
SECTOR TURÍSTICOS,Producción a precios básicos,2010,523446.425
SECTOR TURÍSTICOS,Producción a precios básicos,2011,540855.92
SECTOR TURÍSTICOS,Producción a precios básicos,2012,496328.787
SECTOR TURÍSTICOS,Producción a precios básicos,2013,513421.225
SECTOR TURÍSTICOS,Producción a precios básicos,2014,437458.606
SECTOR TURÍSTICOS,VAB a precios básicos,2008,260403.291
SECTOR TURÍSTICOS,VAB a precios básicos,2009,235072.52
