Grupo actividad sector turístico,Indicador,Periodo,DATA
TOTAL SECTOR SERVICIOS,Consumos Intermedios,2015,912114.465
TOTAL SECTOR SERVICIOS,Consumos Intermedios,2016,964596.809
TOTAL SECTOR SERVICIOS,Consumos Intermedios,2017,998496.867
TOTAL SECTOR SERVICIOS,Consumos Intermedios,2018,1088201.83
TOTAL SECTOR SERVICIOS,Consumos Intermedios,2019,1134462.299
TOTAL SECTOR SERVICIOS,Consumos Intermedios,2020,1074577.649
TOTAL SECTOR SERVICIOS,Volumen de negocio,2015,4785087.917
TOTAL SECTOR SERVICIOS,Volumen de negocio,2016,5268427.308
TOTAL SECTOR SERVICIOS,Volumen de negocio,2017,5464057.097
TOTAL SECTOR SERVICIOS,Volumen de negocio,2018,5906808.335
TOTAL SECTOR SERVICIOS,Volumen de negocio,2019,5934800.353
TOTAL SECTOR SERVICIOS,Volumen de negocio,2020,5707848.805
TOTAL SECTOR SERVICIOS,Producción a precios básicos,2015,2261242.518
TOTAL SECTOR SERVICIOS,Producción a precios básicos,2016,2435281.775
TOTAL SECTOR SERVICIOS,Producción a precios básicos,2017,2489542.698
TOTAL SECTOR SERVICIOS,Producción a precios básicos,2018,2689493.783
TOTAL SECTOR SERVICIOS,Producción a precios básicos,2019,2805611.412
TOTAL SECTOR SERVICIOS,Producción a precios básicos,2020,2615216.513
TOTAL SECTOR SERVICIOS,VAB cifra de negocio,2015,1378659.924
TOTAL SECTOR SERVICIOS,VAB cifra de negocio,2016,1479421.938
TOTAL SECTOR SERVICIOS,VAB cifra de negocio,2017,1494792.556
TOTAL SECTOR SERVICIOS,VAB cifra de negocio,2018,1609052.141
TOTAL SECTOR SERVICIOS,VAB cifra de negocio,2019,1689513.544
TOTAL SECTOR SERVICIOS,VAB cifra de negocio,2020,1555588.581
TOTAL SECTOR SERVICIOS,VAB a precios básicos,2015,1349128.053
TOTAL SECTOR SERVICIOS,VAB a precios básicos,2016,1470684.966
TOTAL SECTOR SERVICIOS,VAB a precios básicos,2017,1491045.831
TOTAL SECTOR SERVICIOS,VAB a precios básicos,2018,1601291.953
TOTAL SECTOR SERVICIOS,VAB a precios básicos,2019,1671149.113
TOTAL SECTOR SERVICIOS,VAB a precios básicos,2020,1540638.864
TOTAL SECTOR SERVICIOS,Excedente bruto de explotación,2015,572413.828
TOTAL SECTOR SERVICIOS,Excedente bruto de explotación,2016,632209.159
