Grupo actividad sector turístico,Indicador,Periodo,DATA
TOTAL SECTOR SERVICIOS,Número de empresas,2008,16501.0
TOTAL SECTOR SERVICIOS,Número de empresas,2009,16522.0
TOTAL SECTOR SERVICIOS,Número de empresas,2010,16666.0
TOTAL SECTOR SERVICIOS,Número de empresas,2011,16614.0
TOTAL SECTOR SERVICIOS,Número de empresas,2012,16508.0
TOTAL SECTOR SERVICIOS,Número de empresas,2013,16625.0
TOTAL SECTOR SERVICIOS,Número de empresas,2014,16741.0
TOTAL SECTOR SERVICIOS,Número de empresas,2015,17609.0
TOTAL SECTOR SERVICIOS,Número de empresas,2016,17715.0
TOTAL SECTOR SERVICIOS,Número de empresas,2017,17906.0
TOTAL SECTOR SERVICIOS,Número de empresas,2018,17940.0
TOTAL SECTOR SERVICIOS,Número de empresas,2019,17573.0
TOTAL SECTOR SERVICIOS,Número de empresas,2020,17692.0
TOTAL SECTOR SERVICIOS,Número de empresas,2021,17398.0
TOTAL SECTOR SERVICIOS,Número de locales,2008,1901.0
TOTAL SECTOR SERVICIOS,Número de locales,2009,1901.0
TOTAL SECTOR SERVICIOS,Número de locales,2010,19318.0
TOTAL SECTOR SERVICIOS,Número de locales,2011,19233.0
TOTAL SECTOR SERVICIOS,Número de locales,2012,19000.0
TOTAL SECTOR SERVICIOS,Número de locales,2013,19204.0
TOTAL SECTOR SERVICIOS,Número de locales,2014,19268.0
TOTAL SECTOR SERVICIOS,Número de locales,2015,20154.0
TOTAL SECTOR SERVICIOS,Número de locales,2016,20313.0
TOTAL SECTOR SERVICIOS,Número de locales,2017,20560.0
TOTAL SECTOR SERVICIOS,Número de locales,2018,20619.0
TOTAL SECTOR SERVICIOS,Número de locales,2019,20548.0
TOTAL SECTOR SERVICIOS,Número de locales,2020,20720.0
TOTAL SECTOR SERVICIOS,Número de locales,2021,20419.0
SECTOR TURÍSTICOS,Número de empresas,2008,2891.0
SECTOR TURÍSTICOS,Número de empresas,2009,2903.0
SECTOR TURÍSTICOS,Número de empresas,2010,2894.0
SECTOR TURÍSTICOS,Número de empresas,2011,2872.0
SECTOR TURÍSTICOS,Número de empresas,2012,2891.0
SECTOR TURÍSTICOS,Número de empresas,2013,2897.0
SECTOR TURÍSTICOS,Número de empresas,2014,2856.0
SECTOR TURÍSTICOS,Número de empresas,2015,2837.0
SECTOR TURÍSTICOS,Número de empresas,2016,2865.0
SECTOR TURÍSTICOS,Número de empresas,2017,2907.0
SECTOR TURÍSTICOS,Número de empresas,2018,2946.0
SECTOR TURÍSTICOS,Número de empresas,2019,2922.0
SECTOR TURÍSTICOS,Número de empresas,2020,3021.0
SECTOR TURÍSTICOS,Número de empresas,2021,2939.0
SECTOR TURÍSTICOS,Número de locales,2008,1901.0
SECTOR TURÍSTICOS,Número de locales,2009,1901.0
SECTOR TURÍSTICOS,Número de locales,2010,3196.0
SECTOR TURÍSTICOS,Número de locales,2011,3168.0
SECTOR TURÍSTICOS,Número de locales,2012,3179.0
SECTOR TURÍSTICOS,Número de locales,2013,3200.0
SECTOR TURÍSTICOS,Número de locales,2014,3143.0
SECTOR TURÍSTICOS,Número de locales,2015,3152.0
SECTOR TURÍSTICOS,Número de locales,2016,3186.0
SECTOR TURÍSTICOS,Número de locales,2017,3235.0
SECTOR TURÍSTICOS,Número de locales,2018,3265.0
SECTOR TURÍSTICOS,Número de locales,2019,3294.0
SECTOR TURÍSTICOS,Número de locales,2020,3433.0
SECTOR TURÍSTICOS,Número de locales,2021,3349.0
55 Servicios de alojamiento,Número de empresas,2008,181.0
55 Servicios de alojamiento,Número de empresas,2009,181.0
55 Servicios de alojamiento,Número de empresas,2010,183.0
55 Servicios de alojamiento,Número de empresas,2011,177.0
55 Servicios de alojamiento,Número de empresas,2012,182.0
55 Servicios de alojamiento,Número de empresas,2013,189.0
55 Servicios de alojamiento,Número de empresas,2014,187.0
55 Servicios de alojamiento,Número de empresas,2015,202.0
55 Servicios de alojamiento,Número de empresas,2016,200.0
55 Servicios de alojamiento,Número de empresas,2017,207.0
55 Servicios de alojamiento,Número de empresas,2018,215.0
55 Servicios de alojamiento,Número de empresas,2019,213.0
55 Servicios de alojamiento,Número de empresas,2020,232.0
55 Servicios de alojamiento,Número de empresas,2021,233.0
55 Servicios de alojamiento,Número de locales,2008,1901.0
55 Servicios de alojamiento,Número de locales,2009,1901.0
55 Servicios de alojamiento,Número de locales,2010,204.0
55 Servicios de alojamiento,Número de locales,2011,200.0
55 Servicios de alojamiento,Número de locales,2012,207.0
