Grupo actividad sector turístico,Indicador,Periodo,DATA
TOTAL SECTOR SERVICIOS,Personal no remunerado,2008,12887.719
TOTAL SECTOR SERVICIOS,Personal no remunerado,2009,12694.03
TOTAL SECTOR SERVICIOS,Personal no remunerado,2010,12335.67
TOTAL SECTOR SERVICIOS,Personal no remunerado,2011,11788.248
TOTAL SECTOR SERVICIOS,Personal no remunerado,2012,12100.205
TOTAL SECTOR SERVICIOS,Personal no remunerado,2013,12198.62
TOTAL SECTOR SERVICIOS,Personal no remunerado,2014,11855.481
TOTAL SECTOR SERVICIOS,Personal ocupado,2008,49118.663
TOTAL SECTOR SERVICIOS,Personal ocupado,2009,44602.812
TOTAL SECTOR SERVICIOS,Personal ocupado,2010,44828.475
TOTAL SECTOR SERVICIOS,Personal ocupado,2011,45193.048
TOTAL SECTOR SERVICIOS,Personal ocupado,2012,44230.719
TOTAL SECTOR SERVICIOS,Personal ocupado,2013,45055.371
TOTAL SECTOR SERVICIOS,Personal ocupado,2014,46059.338
TOTAL SECTOR SERVICIOS,Personal remunerado,2008,36230.945
TOTAL SECTOR SERVICIOS,Personal remunerado,2009,31908.767
TOTAL SECTOR SERVICIOS,Personal remunerado,2010,32492.793
TOTAL SECTOR SERVICIOS,Personal remunerado,2011,33404.792
TOTAL SECTOR SERVICIOS,Personal remunerado,2012,32130.522
TOTAL SECTOR SERVICIOS,Personal remunerado,2013,32856.75
TOTAL SECTOR SERVICIOS,Personal remunerado,2014,34203.864
SECTOR TURÍSTICOS,Personal no remunerado,2008,2902.41
SECTOR TURÍSTICOS,Personal no remunerado,2009,2781.645
SECTOR TURÍSTICOS,Personal no remunerado,2010,2851.237
SECTOR TURÍSTICOS,Personal no remunerado,2011,2854.356
SECTOR TURÍSTICOS,Personal no remunerado,2012,3277.524
SECTOR TURÍSTICOS,Personal no remunerado,2013,2956.214
SECTOR TURÍSTICOS,Personal no remunerado,2014,2790.825
SECTOR TURÍSTICOS,Personal ocupado,2008,10607.412
SECTOR TURÍSTICOS,Personal ocupado,2009,9694.967
SECTOR TURÍSTICOS,Personal ocupado,2010,9951.054
SECTOR TURÍSTICOS,Personal ocupado,2011,10541.519
SECTOR TURÍSTICOS,Personal ocupado,2012,10949.625
SECTOR TURÍSTICOS,Personal ocupado,2013,11457.076
SECTOR TURÍSTICOS,Personal ocupado,2014,11052.403
SECTOR TURÍSTICOS,Personal remunerado,2008,7705.002
SECTOR TURÍSTICOS,Personal remunerado,2009,6913.327
SECTOR TURÍSTICOS,Personal remunerado,2010,7099.831
SECTOR TURÍSTICOS,Personal remunerado,2011,7687.17
SECTOR TURÍSTICOS,Personal remunerado,2012,7672.103
SECTOR TURÍSTICOS,Personal remunerado,2013,8500.859
SECTOR TURÍSTICOS,Personal remunerado,2014,8261.566
55 Servicios de alojamiento,Personal no remunerado,2008,180.232
55 Servicios de alojamiento,Personal no remunerado,2009,140.0
55 Servicios de alojamiento,Personal no remunerado,2010,168.809
55 Servicios de alojamiento,Personal no remunerado,2011,156.777
55 Servicios de alojamiento,Personal no remunerado,2012,183.791
55 Servicios de alojamiento,Personal no remunerado,2013,138.955
55 Servicios de alojamiento,Personal no remunerado,2014,138.468
55 Servicios de alojamiento,Personal ocupado,2008,1293.157
55 Servicios de alojamiento,Personal ocupado,2009,1141.665
55 Servicios de alojamiento,Personal ocupado,2010,1242.585
55 Servicios de alojamiento,Personal ocupado,2011,1328.809
55 Servicios de alojamiento,Personal ocupado,2012,1091.072
55 Servicios de alojamiento,Personal ocupado,2013,1064.37
55 Servicios de alojamiento,Personal ocupado,2014,1069.508
55 Servicios de alojamiento,Personal remunerado,2008,1112.923
55 Servicios de alojamiento,Personal remunerado,2009,1001.666
55 Servicios de alojamiento,Personal remunerado,2010,1073.777
55 Servicios de alojamiento,Personal remunerado,2011,1172.032
55 Servicios de alojamiento,Personal remunerado,2012,907.28
55 Servicios de alojamiento,Personal remunerado,2013,925.415
55 Servicios de alojamiento,Personal remunerado,2014,931.04
56 Servicios de comidas y bebidas,Personal no remunerado,2008,2431.77
56 Servicios de comidas y bebidas,Personal no remunerado,2009,2368.18
56 Servicios de comidas y bebidas,Personal no remunerado,2010,2403.939
56 Servicios de comidas y bebidas,Personal no remunerado,2011,2426.12
56 Servicios de comidas y bebidas,Personal no remunerado,2012,2820.098
56 Servicios de comidas y bebidas,Personal no remunerado,2013,2551.38
56 Servicios de comidas y bebidas,Personal no remunerado,2014,2374.072
56 Servicios de comidas y bebidas,Personal ocupado,2008,7845.977
56 Servicios de comidas y bebidas,Personal ocupado,2009,7057.064
56 Servicios de comidas y bebidas,Personal ocupado,2010,7204.936
56 Servicios de comidas y bebidas,Personal ocupado,2011,7560.179
56 Servicios de comidas y bebidas,Personal ocupado,2012,8443.243
56 Servicios de comidas y bebidas,Personal ocupado,2013,9073.38
56 Servicios de comidas y bebidas,Personal ocupado,2014,8656.018
56 Servicios de comidas y bebidas,Personal remunerado,2008,5414.207
56 Servicios de comidas y bebidas,Personal remunerado,2009,4688.888
56 Servicios de comidas y bebidas,Personal remunerado,2010,4801.011
56 Servicios de comidas y bebidas,Personal remunerado,2011,5134.065
56 Servicios de comidas y bebidas,Personal remunerado,2012,5623.147
