Grupo actividad sector turístico,Indicador,Periodo,DATA
TOTAL SECTOR SERVICIOS,Personal no remunerado,2015,11672.532
TOTAL SECTOR SERVICIOS,Personal no remunerado,2016,13379.933
TOTAL SECTOR SERVICIOS,Personal no remunerado,2017,12161.933
TOTAL SECTOR SERVICIOS,Personal no remunerado,2018,11939.725
TOTAL SECTOR SERVICIOS,Personal no remunerado,2019,11646.349
TOTAL SECTOR SERVICIOS,Personal no remunerado,2020,12471.311
TOTAL SECTOR SERVICIOS,Personal ocupado,2015,43624.655
TOTAL SECTOR SERVICIOS,Personal ocupado,2016,48401.585
TOTAL SECTOR SERVICIOS,Personal ocupado,2017,48159.273
TOTAL SECTOR SERVICIOS,Personal ocupado,2018,48861.851
TOTAL SECTOR SERVICIOS,Personal ocupado,2019,49664.429
TOTAL SECTOR SERVICIOS,Personal ocupado,2020,50604.499
TOTAL SECTOR SERVICIOS,Personal remunerado,2015,31952.134
TOTAL SECTOR SERVICIOS,Personal remunerado,2016,35021.682
TOTAL SECTOR SERVICIOS,Personal remunerado,2017,35997.356
TOTAL SECTOR SERVICIOS,Personal remunerado,2018,36922.164
TOTAL SECTOR SERVICIOS,Personal remunerado,2019,38018.07
TOTAL SECTOR SERVICIOS,Personal remunerado,2020,38133.233
SECTOR TURÍSTICOS,Personal no remunerado,2015,2342.805
SECTOR TURÍSTICOS,Personal no remunerado,2016,2999.497
SECTOR TURÍSTICOS,Personal no remunerado,2017,2477.314
SECTOR TURÍSTICOS,Personal no remunerado,2018,2260.528
SECTOR TURÍSTICOS,Personal no remunerado,2019,2107.737
SECTOR TURÍSTICOS,Personal no remunerado,2020,2289.097
SECTOR TURÍSTICOS,Personal ocupado,2015,8805.92
SECTOR TURÍSTICOS,Personal ocupado,2016,10891.556
SECTOR TURÍSTICOS,Personal ocupado,2017,10808.225
SECTOR TURÍSTICOS,Personal ocupado,2018,10272.919
SECTOR TURÍSTICOS,Personal ocupado,2019,10332.693
SECTOR TURÍSTICOS,Personal ocupado,2020,9780.716
SECTOR TURÍSTICOS,Personal remunerado,2015,6463.104
SECTOR TURÍSTICOS,Personal remunerado,2016,7892.061
SECTOR TURÍSTICOS,Personal remunerado,2017,8330.91
SECTOR TURÍSTICOS,Personal remunerado,2018,8012.393
SECTOR TURÍSTICOS,Personal remunerado,2019,8224.953
SECTOR TURÍSTICOS,Personal remunerado,2020,7491.631
55 Servicios de alojamiento,Personal no remunerado,2015,167.449
55 Servicios de alojamiento,Personal no remunerado,2016,154.608
55 Servicios de alojamiento,Personal no remunerado,2017,179.168
55 Servicios de alojamiento,Personal no remunerado,2018,120.095
55 Servicios de alojamiento,Personal no remunerado,2019,158.049
55 Servicios de alojamiento,Personal no remunerado,2020,135.729
55 Servicios de alojamiento,Personal ocupado,2015,913.52
55 Servicios de alojamiento,Personal ocupado,2016,1077.634
55 Servicios de alojamiento,Personal ocupado,2017,1068.229
55 Servicios de alojamiento,Personal ocupado,2018,1088.876
55 Servicios de alojamiento,Personal ocupado,2019,1110.005
55 Servicios de alojamiento,Personal ocupado,2020,971.41
55 Servicios de alojamiento,Personal remunerado,2015,746.071
55 Servicios de alojamiento,Personal remunerado,2016,923.026
55 Servicios de alojamiento,Personal remunerado,2017,889.063
55 Servicios de alojamiento,Personal remunerado,2018,968.778
55 Servicios de alojamiento,Personal remunerado,2019,951.957
55 Servicios de alojamiento,Personal remunerado,2020,835.682
56 Servicios de comidas y bebidas,Personal no remunerado,2015,1891.906
56 Servicios de comidas y bebidas,Personal no remunerado,2016,2505.251
56 Servicios de comidas y bebidas,Personal no remunerado,2017,1948.175
56 Servicios de comidas y bebidas,Personal no remunerado,2018,1819.21
56 Servicios de comidas y bebidas,Personal no remunerado,2019,1674.875
56 Servicios de comidas y bebidas,Personal no remunerado,2020,1809.725
56 Servicios de comidas y bebidas,Personal ocupado,2015,6652.876
56 Servicios de comidas y bebidas,Personal ocupado,2016,8379.46
56 Servicios de comidas y bebidas,Personal ocupado,2017,8320.978
56 Servicios de comidas y bebidas,Personal ocupado,2018,7729.579
56 Servicios de comidas y bebidas,Personal ocupado,2019,7751.956
56 Servicios de comidas y bebidas,Personal ocupado,2020,7229.119
56 Servicios de comidas y bebidas,Personal remunerado,2015,4760.958
56 Servicios de comidas y bebidas,Personal remunerado,2016,5874.212
56 Servicios de comidas y bebidas,Personal remunerado,2017,6372.801
56 Servicios de comidas y bebidas,Personal remunerado,2018,5910.37
56 Servicios de comidas y bebidas,Personal remunerado,2019,6077.079
56 Servicios de comidas y bebidas,Personal remunerado,2020,5419.403
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal no remunerado,2015,189.966
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal no remunerado,2016,232.871
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal no remunerado,2017,168.285
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal no remunerado,2018,178.923
