Municipio,Indicador,Periodo,DATA
LA RIOJA,Plazas Totales,2009,14491.0
LA RIOJA,Plazas Totales,2010,14686.0
LA RIOJA,Plazas Totales,2011,14686.0
LA RIOJA,Plazas Totales,2012,15075.0
LA RIOJA,Plazas Totales,2013,15337.0
LA RIOJA,Plazas Totales,2014,15826.0
LA RIOJA,Plazas Totales,2015,16007.0
LA RIOJA,Plazas Totales,2016,17578.0
LA RIOJA,Plazas Totales,2017,17778.0
LA RIOJA,Plazas Totales,2018,17487.0
LA RIOJA,Plazas Totales,2019,18031.0
LA RIOJA,Plazas Totales,2020,18275.0
LA RIOJA,Plazas Totales,2021,18403.0
LA RIOJA,Plazas Totales,2022,18952.0
LA RIOJA,Plazas Totales,2023,18927.0
LA RIOJA,Plazas Totales,2024,19108.0
LA RIOJA,Plazas / 1000 habitantes,2009,45.04
LA RIOJA,Plazas / 1000 habitantes,2010,45.55
LA RIOJA,Plazas / 1000 habitantes,2011,45.47
LA RIOJA,Plazas / 1000 habitantes,2012,46.58
LA RIOJA,Plazas / 1000 habitantes,2013,47.63
LA RIOJA,Plazas / 1000 habitantes,2014,49.61
LA RIOJA,Plazas / 1000 habitantes,2015,50.49
LA RIOJA,Plazas / 1000 habitantes,2016,55.66
LA RIOJA,Plazas / 1000 habitantes,2017,56.37
LA RIOJA,Plazas / 1000 habitantes,2018,55.4
LA RIOJA,Plazas / 1000 habitantes,2019,56.92
LA RIOJA,Plazas / 1000 habitantes,2020,57.12
LA RIOJA,Plazas / 1000 habitantes,2021,57.55
LA RIOJA,Plazas / 1000 habitantes,2022,59.24
LA RIOJA,Plazas / 1000 habitantes,2023,58.73
LA RIOJA,Plazas / 1000 habitantes,2024,60.61
Ábalos,Plazas Totales,2009,45.0
Ábalos,Plazas Totales,2010,55.0
Ábalos,Plazas Totales,2011,55.0
Ábalos,Plazas Totales,2012,55.0
Ábalos,Plazas Totales,2013,55.0
Ábalos,Plazas Totales,2014,55.0
Ábalos,Plazas Totales,2015,55.0
Ábalos,Plazas Totales,2016,55.0
Ábalos,Plazas Totales,2017,55.0
Ábalos,Plazas Totales,2018,55.0
Ábalos,Plazas Totales,2019,55.0
Ábalos,Plazas Totales,2020,67.0
Ábalos,Plazas Totales,2021,67.0
Ábalos,Plazas Totales,2022,67.0
Ábalos,Plazas Totales,2023,57.0
Ábalos,Plazas Totales,2024,57.0
Ábalos,Plazas / 1000 habitantes,2009,116.28
Ábalos,Plazas / 1000 habitantes,2010,149.05
Ábalos,Plazas / 1000 habitantes,2011,151.1
Ábalos,Plazas / 1000 habitantes,2012,154.06
Ábalos,Plazas / 1000 habitantes,2013,158.05
Ábalos,Plazas / 1000 habitantes,2014,187.07
Ábalos,Plazas / 1000 habitantes,2015,218.25
Ábalos,Plazas / 1000 habitantes,2016,220.88
Ábalos,Plazas / 1000 habitantes,2017,220.88
Ábalos,Plazas / 1000 habitantes,2018,215.69
Ábalos,Plazas / 1000 habitantes,2019,214.01
Ábalos,Plazas / 1000 habitantes,2020,262.75
Ábalos,Plazas / 1000 habitantes,2021,270.16
Ábalos,Plazas / 1000 habitantes,2022,257.69
Ábalos,Plazas / 1000 habitantes,2023,219.23
Ábalos,Plazas / 1000 habitantes,2024,60.61
Agoncillo,Plazas Totales,2009,62.0
Agoncillo,Plazas Totales,2010,62.0
Agoncillo,Plazas Totales,2011,62.0
Agoncillo,Plazas Totales,2012,62.0
Agoncillo,Plazas Totales,2013,62.0
Agoncillo,Plazas Totales,2014,62.0
Agoncillo,Plazas Totales,2015,62.0
Agoncillo,Plazas Totales,2016,62.0
Agoncillo,Plazas Totales,2017,62.0
Agoncillo,Plazas Totales,2018,62.0
Agoncillo,Plazas Totales,2019,62.0
Agoncillo,Plazas Totales,2020,62.0
Agoncillo,Plazas Totales,2021,62.0
Agoncillo,Plazas Totales,2022,62.0
Agoncillo,Plazas Totales,2023,62.0
Agoncillo,Plazas Totales,2024,62.0
Agoncillo,Plazas / 1000 habitantes,2009,52.06
Agoncillo,Plazas / 1000 habitantes,2010,56.26
Agoncillo,Plazas / 1000 habitantes,2011,53.49
Agoncillo,Plazas / 1000 habitantes,2012,53.26
Agoncillo,Plazas / 1000 habitantes,2013,53.4
Agoncillo,Plazas / 1000 habitantes,2014,52.86
Agoncillo,Plazas / 1000 habitantes,2015,55.21
Agoncillo,Plazas / 1000 habitantes,2016,56.21
Agoncillo,Plazas / 1000 habitantes,2017,57.84
Agoncillo,Plazas / 1000 habitantes,2018,56.11
Agoncillo,Plazas / 1000 habitantes,2019,56.26
Agoncillo,Plazas / 1000 habitantes,2020,56.57
Agoncillo,Plazas / 1000 habitantes,2021,53.77
Agoncillo,Plazas / 1000 habitantes,2022,52.77
Agoncillo,Plazas / 1000 habitantes,2023,50.37
Agoncillo,Plazas / 1000 habitantes,2024,60.61
Aguilar del Río Alhama,Plazas Totales,2009,20.0
Aguilar del Río Alhama,Plazas Totales,2010,20.0
Aguilar del Río Alhama,Plazas Totales,2011,20.0
Aguilar del Río Alhama,Plazas Totales,2012,29.0
Aguilar del Río Alhama,Plazas Totales,2013,29.0
Aguilar del Río Alhama,Plazas Totales,2014,29.0
Aguilar del Río Alhama,Plazas Totales,2015,29.0
Aguilar del Río Alhama,Plazas Totales,2016,29.0
Aguilar del Río Alhama,Plazas Totales,2017,29.0
Aguilar del Río Alhama,Plazas Totales,2018,29.0
Aguilar del Río Alhama,Plazas Totales,2019,29.0
Aguilar del Río Alhama,Plazas Totales,2020,29.0
Aguilar del Río Alhama,Plazas Totales,2021,29.0
Aguilar del Río Alhama,Plazas Totales,2022,29.0
Aguilar del Río Alhama,Plazas Totales,2023,29.0
Aguilar del Río Alhama,Plazas Totales,2024,29.0
Aguilar del Río Alhama,Plazas / 1000 habitantes,2009,34.9
Aguilar del Río Alhama,Plazas / 1000 habitantes,2010,34.9
Aguilar del Río Alhama,Plazas / 1000 habitantes,2011,36.43
Aguilar del Río Alhama,Plazas / 1000 habitantes,2012,53.11
Aguilar del Río Alhama,Plazas / 1000 habitantes,2013,54.41
Aguilar del Río Alhama,Plazas / 1000 habitantes,2014,56.75
Aguilar del Río Alhama,Plazas / 1000 habitantes,2015,56.97
Aguilar del Río Alhama,Plazas / 1000 habitantes,2016,58.23
Aguilar del Río Alhama,Plazas / 1000 habitantes,2017,60.54
Aguilar del Río Alhama,Plazas / 1000 habitantes,2018,61.7
Aguilar del Río Alhama,Plazas / 1000 habitantes,2019,63.04
Aguilar del Río Alhama,Plazas / 1000 habitantes,2020,63.18
Aguilar del Río Alhama,Plazas / 1000 habitantes,2021,63.46
Aguilar del Río Alhama,Plazas / 1000 habitantes,2022,65.61
Aguilar del Río Alhama,Plazas / 1000 habitantes,2023,66.97
Aguilar del Río Alhama,Plazas / 1000 habitantes,2024,60.61
Ajamil de Cameros,Plazas Totales,2009,60.61
Ajamil de Cameros,Plazas Totales,2010,60.61
Ajamil de Cameros,Plazas Totales,2011,60.61
Ajamil de Cameros,Plazas Totales,2012,60.61
Ajamil de Cameros,Plazas Totales,2013,60.61
Ajamil de Cameros,Plazas Totales,2014,60.61
Ajamil de Cameros,Plazas Totales,2015,60.61
Ajamil de Cameros,Plazas Totales,2016,60.61
Ajamil de Cameros,Plazas Totales,2017,60.61
Ajamil de Cameros,Plazas Totales,2018,20.0
Ajamil de Cameros,Plazas Totales,2019,20.0
Ajamil de Cameros,Plazas Totales,2020,20.0
Ajamil de Cameros,Plazas Totales,2021,20.0
Ajamil de Cameros,Plazas Totales,2022,20.0
Ajamil de Cameros,Plazas Totales,2023,20.0
Ajamil de Cameros,Plazas Totales,2024,20.0
Ajamil de Cameros,Plazas / 1000 habitantes,2009,60.61
Ajamil de Cameros,Plazas / 1000 habitantes,2010,60.61
Ajamil de Cameros,Plazas / 1000 habitantes,2011,60.61
Ajamil de Cameros,Plazas / 1000 habitantes,2012,60.61
Ajamil de Cameros,Plazas / 1000 habitantes,2013,60.61
Ajamil de Cameros,Plazas / 1000 habitantes,2014,60.61
Ajamil de Cameros,Plazas / 1000 habitantes,2015,60.61
Ajamil de Cameros,Plazas / 1000 habitantes,2016,60.61
Ajamil de Cameros,Plazas / 1000 habitantes,2017,60.61
Ajamil de Cameros,Plazas / 1000 habitantes,2018,322.58
Ajamil de Cameros,Plazas / 1000 habitantes,2019,303.03
Ajamil de Cameros,Plazas / 1000 habitantes,2020,294.12
Ajamil de Cameros,Plazas / 1000 habitantes,2021,298.51
Ajamil de Cameros,Plazas / 1000 habitantes,2022,294.12
Ajamil de Cameros,Plazas / 1000 habitantes,2023,219.78
Ajamil de Cameros,Plazas / 1000 habitantes,2024,60.61
Albelda de Iregua,Plazas Totales,2009,58.0
Albelda de Iregua,Plazas Totales,2010,58.0
Albelda de Iregua,Plazas Totales,2011,58.0
Albelda de Iregua,Plazas Totales,2012,58.0
Albelda de Iregua,Plazas Totales,2013,58.0
Albelda de Iregua,Plazas Totales,2014,58.0
Albelda de Iregua,Plazas Totales,2015,58.0
Albelda de Iregua,Plazas Totales,2016,58.0
Albelda de Iregua,Plazas Totales,2017,58.0
Albelda de Iregua,Plazas Totales,2018,58.0
Albelda de Iregua,Plazas Totales,2019,58.0
Albelda de Iregua,Plazas Totales,2020,70.0
Albelda de Iregua,Plazas Totales,2021,70.0
Albelda de Iregua,Plazas Totales,2022,70.0
Albelda de Iregua,Plazas Totales,2023,70.0
Albelda de Iregua,Plazas Totales,2024,70.0
Albelda de Iregua,Plazas / 1000 habitantes,2009,18.86
Albelda de Iregua,Plazas / 1000 habitantes,2010,17.62
Albelda de Iregua,Plazas / 1000 habitantes,2011,17.37
Albelda de Iregua,Plazas / 1000 habitantes,2012,17.09
Albelda de Iregua,Plazas / 1000 habitantes,2013,17.39
Albelda de Iregua,Plazas / 1000 habitantes,2014,17.74
Albelda de Iregua,Plazas / 1000 habitantes,2015,17.66
Albelda de Iregua,Plazas / 1000 habitantes,2016,17.48
Albelda de Iregua,Plazas / 1000 habitantes,2017,17.02
Albelda de Iregua,Plazas / 1000 habitantes,2018,16.75
Albelda de Iregua,Plazas / 1000 habitantes,2019,16.83
Albelda de Iregua,Plazas / 1000 habitantes,2020,20.11
Albelda de Iregua,Plazas / 1000 habitantes,2021,20.09
Albelda de Iregua,Plazas / 1000 habitantes,2022,19.49
Albelda de Iregua,Plazas / 1000 habitantes,2023,18.72
Albelda de Iregua,Plazas / 1000 habitantes,2024,60.61
Alberite,Plazas Totales,2009,60.61
Alberite,Plazas Totales,2010,60.61
Alberite,Plazas Totales,2011,60.61
Alberite,Plazas Totales,2012,60.61
Alberite,Plazas Totales,2013,60.61
Alberite,Plazas Totales,2014,60.61
Alberite,Plazas Totales,2015,60.61
Alberite,Plazas Totales,2016,60.61
Alberite,Plazas Totales,2017,60.61
Alberite,Plazas Totales,2018,60.61
Alberite,Plazas Totales,2019,60.61
Alberite,Plazas Totales,2020,60.61
Alberite,Plazas Totales,2021,60.61
Alberite,Plazas Totales,2022,60.61
Alberite,Plazas Totales,2023,60.61
Alberite,Plazas Totales,2024,60.61
Alberite,Plazas / 1000 habitantes,2009,60.61
Alberite,Plazas / 1000 habitantes,2010,60.61
Alberite,Plazas / 1000 habitantes,2011,60.61
Alberite,Plazas / 1000 habitantes,2012,60.61
Alberite,Plazas / 1000 habitantes,2013,60.61
Alberite,Plazas / 1000 habitantes,2014,60.61
Alberite,Plazas / 1000 habitantes,2015,60.61
Alberite,Plazas / 1000 habitantes,2016,60.61
Alberite,Plazas / 1000 habitantes,2017,60.61
Alberite,Plazas / 1000 habitantes,2018,60.61
Alberite,Plazas / 1000 habitantes,2019,60.61
Alberite,Plazas / 1000 habitantes,2020,60.61
Alberite,Plazas / 1000 habitantes,2021,60.61
Alberite,Plazas / 1000 habitantes,2022,60.61
Alberite,Plazas / 1000 habitantes,2023,60.61
Alberite,Plazas / 1000 habitantes,2024,60.61
Alcanadre,Plazas Totales,2009,24.0
Alcanadre,Plazas Totales,2010,50.0
Alcanadre,Plazas Totales,2011,50.0
Alcanadre,Plazas Totales,2012,56.0
Alcanadre,Plazas Totales,2013,56.0
Alcanadre,Plazas Totales,2014,58.0
Alcanadre,Plazas Totales,2015,58.0
Alcanadre,Plazas Totales,2016,58.0
Alcanadre,Plazas Totales,2017,58.0
Alcanadre,Plazas Totales,2018,40.0
Alcanadre,Plazas Totales,2019,42.0
Alcanadre,Plazas Totales,2020,42.0
Alcanadre,Plazas Totales,2021,42.0
Alcanadre,Plazas Totales,2022,42.0
Alcanadre,Plazas Totales,2023,42.0
Alcanadre,Plazas Totales,2024,42.0
Alcanadre,Plazas / 1000 habitantes,2009,31.83
Alcanadre,Plazas / 1000 habitantes,2010,65.45
Alcanadre,Plazas / 1000 habitantes,2011,67.11
Alcanadre,Plazas / 1000 habitantes,2012,74.87
Alcanadre,Plazas / 1000 habitantes,2013,77.03
Alcanadre,Plazas / 1000 habitantes,2014,82.74
Alcanadre,Plazas / 1000 habitantes,2015,81.69
Alcanadre,Plazas / 1000 habitantes,2016,83.45
Alcanadre,Plazas / 1000 habitantes,2017,87.48
Alcanadre,Plazas / 1000 habitantes,2018,62.11
Alcanadre,Plazas / 1000 habitantes,2019,65.32
Alcanadre,Plazas / 1000 habitantes,2020,65.83
Alcanadre,Plazas / 1000 habitantes,2021,64.91
Alcanadre,Plazas / 1000 habitantes,2022,64.91
Alcanadre,Plazas / 1000 habitantes,2023,62.87
Alcanadre,Plazas / 1000 habitantes,2024,60.61
Aldeanueva de Ebro,Plazas Totales,2009,16.0
Aldeanueva de Ebro,Plazas Totales,2010,16.0
Aldeanueva de Ebro,Plazas Totales,2011,16.0
Aldeanueva de Ebro,Plazas Totales,2012,24.0
Aldeanueva de Ebro,Plazas Totales,2013,24.0
Aldeanueva de Ebro,Plazas Totales,2014,24.0
Aldeanueva de Ebro,Plazas Totales,2015,24.0
Aldeanueva de Ebro,Plazas Totales,2016,24.0
Aldeanueva de Ebro,Plazas Totales,2017,24.0
Aldeanueva de Ebro,Plazas Totales,2018,16.0
Aldeanueva de Ebro,Plazas Totales,2019,16.0
Aldeanueva de Ebro,Plazas Totales,2020,16.0
Aldeanueva de Ebro,Plazas Totales,2021,16.0
Aldeanueva de Ebro,Plazas Totales,2022,16.0
Aldeanueva de Ebro,Plazas Totales,2023,16.0
Aldeanueva de Ebro,Plazas Totales,2024,16.0
Aldeanueva de Ebro,Plazas / 1000 habitantes,2009,5.69
Aldeanueva de Ebro,Plazas / 1000 habitantes,2010,5.68
Aldeanueva de Ebro,Plazas / 1000 habitantes,2011,5.68
Aldeanueva de Ebro,Plazas / 1000 habitantes,2012,8.53
Aldeanueva de Ebro,Plazas / 1000 habitantes,2013,8.52
Aldeanueva de Ebro,Plazas / 1000 habitantes,2014,8.56
Aldeanueva de Ebro,Plazas / 1000 habitantes,2015,8.64
Aldeanueva de Ebro,Plazas / 1000 habitantes,2016,8.75
Aldeanueva de Ebro,Plazas / 1000 habitantes,2017,8.79
Aldeanueva de Ebro,Plazas / 1000 habitantes,2018,5.86
Aldeanueva de Ebro,Plazas / 1000 habitantes,2019,5.8
Aldeanueva de Ebro,Plazas / 1000 habitantes,2020,5.8
Aldeanueva de Ebro,Plazas / 1000 habitantes,2021,5.73
Aldeanueva de Ebro,Plazas / 1000 habitantes,2022,5.74
Aldeanueva de Ebro,Plazas / 1000 habitantes,2023,5.83
Aldeanueva de Ebro,Plazas / 1000 habitantes,2024,60.61
Alesanco,Plazas Totales,2009,25.0
Alesanco,Plazas Totales,2010,25.0
Alesanco,Plazas Totales,2011,25.0
Alesanco,Plazas Totales,2012,25.0
Alesanco,Plazas Totales,2013,25.0
Alesanco,Plazas Totales,2014,31.0
Alesanco,Plazas Totales,2015,31.0
Alesanco,Plazas Totales,2016,31.0
Alesanco,Plazas Totales,2017,31.0
Alesanco,Plazas Totales,2018,25.0
Alesanco,Plazas Totales,2019,8.0
Alesanco,Plazas Totales,2020,20.0
Alesanco,Plazas Totales,2021,24.0
Alesanco,Plazas Totales,2022,24.0
Alesanco,Plazas Totales,2023,28.0
Alesanco,Plazas Totales,2024,28.0
Alesanco,Plazas / 1000 habitantes,2009,51.87
Alesanco,Plazas / 1000 habitantes,2010,49.12
Alesanco,Plazas / 1000 habitantes,2011,44.48
Alesanco,Plazas / 1000 habitantes,2012,46.21
Alesanco,Plazas / 1000 habitantes,2013,46.55
Alesanco,Plazas / 1000 habitantes,2014,58.71
Alesanco,Plazas / 1000 habitantes,2015,61.39
Alesanco,Plazas / 1000 habitantes,2016,61.14
Alesanco,Plazas / 1000 habitantes,2017,61.02
Alesanco,Plazas / 1000 habitantes,2018,49.8
Alesanco,Plazas / 1000 habitantes,2019,15.84
Alesanco,Plazas / 1000 habitantes,2020,39.68
Alesanco,Plazas / 1000 habitantes,2021,48.0
Alesanco,Plazas / 1000 habitantes,2022,49.9
Alesanco,Plazas / 1000 habitantes,2023,59.07
Alesanco,Plazas / 1000 habitantes,2024,60.61
Alesón,Plazas Totales,2009,79.0
Alesón,Plazas Totales,2010,79.0
Alesón,Plazas Totales,2011,79.0
Alesón,Plazas Totales,2012,79.0
Alesón,Plazas Totales,2013,84.0
Alesón,Plazas Totales,2014,75.0
Alesón,Plazas Totales,2015,75.0
Alesón,Plazas Totales,2016,75.0
Alesón,Plazas Totales,2017,75.0
Alesón,Plazas Totales,2018,70.0
Alesón,Plazas Totales,2019,70.0
Alesón,Plazas Totales,2020,70.0
Alesón,Plazas Totales,2021,70.0
Alesón,Plazas Totales,2022,70.0
Alesón,Plazas Totales,2023,70.0
Alesón,Plazas Totales,2024,70.0
Alesón,Plazas / 1000 habitantes,2009,598.48
Alesón,Plazas / 1000 habitantes,2010,681.03
Alesón,Plazas / 1000 habitantes,2011,675.21
Alesón,Plazas / 1000 habitantes,2012,724.77
Alesón,Plazas / 1000 habitantes,2013,730.43
Alesón,Plazas / 1000 habitantes,2014,641.03
Alesón,Plazas / 1000 habitantes,2015,604.84
Alesón,Plazas / 1000 habitantes,2016,652.17
Alesón,Plazas / 1000 habitantes,2017,700.93
Alesón,Plazas / 1000 habitantes,2018,686.27
Alesón,Plazas / 1000 habitantes,2019,707.07
Alesón,Plazas / 1000 habitantes,2020,744.68
Alesón,Plazas / 1000 habitantes,2021,760.87
Alesón,Plazas / 1000 habitantes,2022,777.78
Alesón,Plazas / 1000 habitantes,2023,714.29
Alesón,Plazas / 1000 habitantes,2024,60.61
Alfaro,Plazas Totales,2009,142.0
Alfaro,Plazas Totales,2010,174.0
Alfaro,Plazas Totales,2011,174.0
Alfaro,Plazas Totales,2012,150.0
Alfaro,Plazas Totales,2013,150.0
Alfaro,Plazas Totales,2014,150.0
Alfaro,Plazas Totales,2015,137.0
Alfaro,Plazas Totales,2016,143.0
Alfaro,Plazas Totales,2017,143.0
Alfaro,Plazas Totales,2018,137.0
Alfaro,Plazas Totales,2019,137.0
Alfaro,Plazas Totales,2020,137.0
Alfaro,Plazas Totales,2021,137.0
Alfaro,Plazas Totales,2022,137.0
Alfaro,Plazas Totales,2023,137.0
Alfaro,Plazas Totales,2024,137.0
Alfaro,Plazas / 1000 habitantes,2009,14.37
Alfaro,Plazas / 1000 habitantes,2010,17.73
Alfaro,Plazas / 1000 habitantes,2011,17.71
Alfaro,Plazas / 1000 habitantes,2012,15.23
Alfaro,Plazas / 1000 habitantes,2013,15.29
