Periodo,Categoría,DATA
2016-01-01,TOTAL,85.32
2016-01-01,4 estrellas de oro,90.27
2016-01-01,3 estrellas de oro,81.61
2016-01-01,1 estrella de oro,96.86
2016-01-01,2 y 3 estrellas de plata,66.79
2016-01-01,1 estrella de plata,90.13
2016-01-01,2 estrellas de oro,92.19
2016-02-01,TOTAL,87.86
2016-02-01,4 estrellas de oro,95.9
2016-02-01,3 estrellas de oro,83.91
2016-02-01,1 estrella de oro,90.7
2016-02-01,2 y 3 estrellas de plata,70.04
2016-02-01,1 estrella de plata,90.91
2016-02-01,2 estrellas de oro,69.78
2016-03-01,TOTAL,87.77
2016-03-01,4 estrellas de oro,87.12
2016-03-01,3 estrellas de oro,89.43
2016-03-01,1 estrella de oro,110.89
2016-03-01,2 y 3 estrellas de plata,87.47
2016-03-01,1 estrella de plata,99.42
2016-03-01,2 estrellas de oro,74.4
2016-04-01,TOTAL,87.34
2016-04-01,4 estrellas de oro,86.45
2016-04-01,3 estrellas de oro,90.28
2016-04-01,1 estrella de oro,78.3
2016-04-01,2 y 3 estrellas de plata,79.92
2016-04-01,1 estrella de plata,92.82
2016-04-01,2 estrellas de oro,73.92
2016-05-01,TOTAL,89.28
2016-05-01,4 estrellas de oro,88.92
2016-05-01,3 estrellas de oro,91.05
2016-05-01,1 estrella de oro,82.9
2016-05-01,2 y 3 estrellas de plata,86.15
2016-05-01,1 estrella de plata,85.51
2016-05-01,2 estrellas de oro,76.66
2016-06-01,TOTAL,81.59
2016-06-01,4 estrellas de oro,80.81
2016-06-01,3 estrellas de oro,84.13
2016-06-01,1 estrella de oro,72.06
2016-06-01,2 y 3 estrellas de plata,74.35
2016-06-01,1 estrella de plata,87.21
2016-06-01,2 estrellas de oro,82.57
2016-07-01,TOTAL,85.97
2016-07-01,4 estrellas de oro,80.17
2016-07-01,3 estrellas de oro,90.66
2016-07-01,1 estrella de oro,76.97
2016-07-01,2 y 3 estrellas de plata,83.03
2016-07-01,1 estrella de plata,102.96
2016-07-01,2 estrellas de oro,71.98
2016-08-01,TOTAL,93.4
2016-08-01,4 estrellas de oro,89.68
2016-08-01,3 estrellas de oro,98.49
2016-08-01,1 estrella de oro,82.33
2016-08-01,2 y 3 estrellas de plata,84.98
2016-08-01,1 estrella de plata,86.61
2016-08-01,2 estrellas de oro,83.28
2016-09-01,TOTAL,92.94
2016-09-01,4 estrellas de oro,91.56
2016-09-01,3 estrellas de oro,97.53
2016-09-01,1 estrella de oro,77.96
2016-09-01,2 y 3 estrellas de plata,81.26
2016-09-01,1 estrella de plata,91.04
2016-09-01,2 estrellas de oro,89.5
2016-10-01,TOTAL,93.97
2016-10-01,4 estrellas de oro,95.05
2016-10-01,3 estrellas de oro,94.41
2016-10-01,1 estrella de oro,82.84
2016-10-01,2 y 3 estrellas de plata,90.8
2016-10-01,1 estrella de plata,95.75
2016-10-01,2 estrellas de oro,92.54
2016-11-01,TOTAL,90.7
2016-11-01,4 estrellas de oro,93.13
2016-11-01,3 estrellas de oro,90.83
2016-11-01,1 estrella de oro,86.44
2016-11-01,2 y 3 estrellas de plata,90.71
2016-11-01,1 estrella de plata,94.99
2016-11-01,2 estrellas de oro,77.8
2016-12-01,TOTAL,91.25
2016-12-01,4 estrellas de oro,98.05
2016-12-01,3 estrellas de oro,88.76
2016-12-01,1 estrella de oro,94.8
2016-12-01,2 y 3 estrellas de plata,77.93
2016-12-01,1 estrella de plata,102.85
2016-12-01,2 estrellas de oro,92.19
2017-01-01,TOTAL,88.32
2017-01-01,4 estrellas de oro,96.15
2017-01-01,3 estrellas de oro,82.04
2017-01-01,1 estrella de oro,99.47
2017-01-01,2 y 3 estrellas de plata,67.5
2017-01-01,1 estrella de plata,99.67
2017-01-01,2 estrellas de oro,107.61
2017-02-01,TOTAL,86.82
2017-02-01,4 estrellas de oro,94.51
2017-02-01,3 estrellas de oro,81.16
2017-02-01,1 estrella de oro,107.11
2017-02-01,2 y 3 estrellas de plata,76.13
2017-02-01,1 estrella de plata,101.18
2017-02-01,2 estrellas de oro,59.74
2017-03-01,TOTAL,82.57
2017-03-01,4 estrellas de oro,82.08
2017-03-01,3 estrellas de oro,84.19
2017-03-01,1 estrella de oro,107.25
2017-03-01,2 y 3 estrellas de plata,81.0
2017-03-01,1 estrella de plata,88.93
2017-03-01,2 estrellas de oro,84.49
2017-04-01,TOTAL,89.66
2017-04-01,4 estrellas de oro,84.68
2017-04-01,3 estrellas de oro,94.15
2017-04-01,1 estrella de oro,88.0
2017-04-01,2 y 3 estrellas de plata,90.67
2017-04-01,1 estrella de plata,102.45
2017-04-01,2 estrellas de oro,83.16
2017-05-01,TOTAL,87.63
2017-05-01,4 estrellas de oro,84.46
2017-05-01,3 estrellas de oro,90.39
2017-05-01,1 estrella de oro,90.06
2017-05-01,2 y 3 estrellas de plata,82.15
2017-05-01,1 estrella de plata,90.2
2017-05-01,2 estrellas de oro,81.83
2017-06-01,TOTAL,83.32
2017-06-01,4 estrellas de oro,83.39
2017-06-01,3 estrellas de oro,84.01
2017-06-01,1 estrella de oro,84.58
2017-06-01,2 y 3 estrellas de plata,80.79
2017-06-01,1 estrella de plata,92.89
2017-06-01,2 estrellas de oro,70.46
2017-07-01,TOTAL,85.25
2017-07-01,4 estrellas de oro,83.3
2017-07-01,3 estrellas de oro,87.75
2017-07-01,1 estrella de oro,85.21
2017-07-01,2 y 3 estrellas de plata,82.25
2017-07-01,1 estrella de plata,89.22
2017-07-01,2 estrellas de oro,88.22
2017-08-01,TOTAL,92.77
2017-08-01,4 estrellas de oro,92.35
2017-08-01,3 estrellas de oro,94.85
2017-08-01,1 estrella de oro,88.66
2017-08-01,2 y 3 estrellas de plata,80.7
2017-08-01,1 estrella de plata,87.7
2017-08-01,2 estrellas de oro,100.19
2017-09-01,TOTAL,90.19
2017-09-01,4 estrellas de oro,92.23
2017-09-01,3 estrellas de oro,91.22
2017-09-01,1 estrella de oro,84.28
2017-09-01,2 y 3 estrellas de plata,79.07
2017-09-01,1 estrella de plata,92.94
2017-09-01,2 estrellas de oro,85.22
2017-10-01,TOTAL,93.54
2017-10-01,4 estrellas de oro,98.57
2017-10-01,3 estrellas de oro,91.51
2017-10-01,1 estrella de oro,81.72
2017-10-01,2 y 3 estrellas de plata,81.88
2017-10-01,1 estrella de plata,97.41
2017-10-01,2 estrellas de oro,103.75
2017-11-01,TOTAL,89.19
2017-11-01,4 estrellas de oro,89.94
2017-11-01,3 estrellas de oro,90.69
2017-11-01,1 estrella de oro,91.79
2017-11-01,2 y 3 estrellas de plata,88.69
2017-11-01,1 estrella de plata,89.71
2017-11-01,2 estrellas de oro,81.44
2017-12-01,TOTAL,92.11
2017-12-01,4 estrellas de oro,98.44
2017-12-01,3 estrellas de oro,91.14
2017-12-01,1 estrella de oro,87.6
2017-12-01,2 y 3 estrellas de plata,80.03
2017-12-01,1 estrella de plata,96.01
2017-12-01,2 estrellas de oro,92.19
2018-01-01,TOTAL,87.8
2018-01-01,4 estrellas de oro,95.72
2018-01-01,3 estrellas de oro,81.76
2018-01-01,1 estrella de oro,114.13
2018-01-01,2 y 3 estrellas de plata,72.13
2018-01-01,1 estrella de plata,90.58
2018-01-01,2 estrellas de oro,92.19
2018-02-01,TOTAL,88.61
2018-02-01,4 estrellas de oro,97.86
2018-02-01,3 estrellas de oro,82.19
2018-02-01,1 estrella de oro,111.64
2018-02-01,2 y 3 estrellas de plata,78.09
2018-02-01,1 estrella de plata,98.81
2018-02-01,2 estrellas de oro,75.36
2018-03-01,TOTAL,88.33
2018-03-01,4 estrellas de oro,89.59
2018-03-01,3 estrellas de oro,89.65
2018-03-01,1 estrella de oro,107.51
2018-03-01,2 y 3 estrellas de plata,84.65
2018-03-01,1 estrella de plata,89.89
2018-03-01,2 estrellas de oro,92.19
2018-04-01,TOTAL,89.25
2018-04-01,4 estrellas de oro,87.31
2018-04-01,3 estrellas de oro,91.82
2018-04-01,1 estrella de oro,83.0
2018-04-01,2 y 3 estrellas de plata,96.37
2018-04-01,1 estrella de plata,99.27
2018-04-01,2 estrellas de oro,74.35
2018-05-01,TOTAL,90.9
2018-05-01,4 estrellas de oro,88.64
2018-05-01,3 estrellas de oro,93.38
2018-05-01,1 estrella de oro,87.13
2018-05-01,2 y 3 estrellas de plata,89.02
2018-05-01,1 estrella de plata,93.6
2018-05-01,2 estrellas de oro,82.7
2018-06-01,TOTAL,83.66
2018-06-01,4 estrellas de oro,85.68
2018-06-01,3 estrellas de oro,82.6
2018-06-01,1 estrella de oro,78.82
2018-06-01,2 y 3 estrellas de plata,78.93
2018-06-01,1 estrella de plata,97.42
2018-06-01,2 estrellas de oro,82.71
2018-07-01,TOTAL,86.82
2018-07-01,4 estrellas de oro,83.44
2018-07-01,3 estrellas de oro,89.95
2018-07-01,1 estrella de oro,81.2
2018-07-01,2 y 3 estrellas de plata,88.8
2018-07-01,1 estrella de plata,95.31
2018-07-01,2 estrellas de oro,81.13
2018-08-01,TOTAL,93.54
2018-08-01,4 estrellas de oro,93.95
2018-08-01,3 estrellas de oro,96.08
2018-08-01,1 estrella de oro,81.38
2018-08-01,2 y 3 estrellas de plata,85.07
2018-08-01,1 estrella de plata,82.88
2018-08-01,2 estrellas de oro,93.39
2018-09-01,TOTAL,92.27
2018-09-01,4 estrellas de oro,95.39
2018-09-01,3 estrellas de oro,93.9
2018-09-01,1 estrella de oro,88.11
2018-09-01,2 y 3 estrellas de plata,78.99
2018-09-01,1 estrella de plata,85.2
2018-09-01,2 estrellas de oro,86.68
2018-10-01,TOTAL,94.01
2018-10-01,4 estrellas de oro,74.64
2018-10-01,3 estrellas de oro,89.28
2018-10-01,1 estrella de oro,87.88
2018-10-01,2 y 3 estrellas de plata,92.32
2018-10-01,1 estrella de plata,99.9
2018-10-01,2 estrellas de oro,101.32
2018-11-01,TOTAL,91.73
2018-11-01,4 estrellas de oro,95.95
2018-11-01,3 estrellas de oro,91.1
