Duración del viaje,Indicador,Periodo,DATA
TOTAL,Gasto total,2016,93087.88
TOTAL,Gasto total,2017,101962.17
TOTAL,Gasto total,2018,101126.5
TOTAL,Gasto total,2019,98201.73
TOTAL,Gasto total,2020,21835.28
TOTAL,Gasto total,2021,42027.48
TOTAL,Gasto total,2022,108604.09
TOTAL,Gasto total,2023,86729.82
TOTAL,Gasto medio por persona,2016,650.63
TOTAL,Gasto medio por persona,2017,778.49
TOTAL,Gasto medio por persona,2018,707.54
TOTAL,Gasto medio por persona,2019,703.97
TOTAL,Gasto medio por persona,2020,481.43
TOTAL,Gasto medio por persona,2021,877.16
TOTAL,Gasto medio por persona,2022,966.32
TOTAL,Gasto medio por persona,2023,733.71
TOTAL,Gasto medio diario por persona,2016,98.8
TOTAL,Gasto medio diario por persona,2017,99.29
TOTAL,Gasto medio diario por persona,2018,104.29
TOTAL,Gasto medio diario por persona,2019,103.32
TOTAL,Gasto medio diario por persona,2020,73.44
TOTAL,Gasto medio diario por persona,2021,116.83
TOTAL,Gasto medio diario por persona,2022,134.45
TOTAL,Gasto medio diario por persona,2023,131.99
TOTAL,Duración media de los viajes,2016,6.59
TOTAL,Duración media de los viajes,2017,7.84
TOTAL,Duración media de los viajes,2018,6.78
TOTAL,Duración media de los viajes,2019,6.81
TOTAL,Duración media de los viajes,2020,6.56
TOTAL,Duración media de los viajes,2021,7.51
TOTAL,Duración media de los viajes,2022,7.19
TOTAL,Duración media de los viajes,2023,5.56
De 1 a 3 noches,Gasto total,2016,23493.61
De 1 a 3 noches,Gasto total,2017,31398.8
De 1 a 3 noches,Gasto total,2018,29500.06
De 1 a 3 noches,Gasto total,2019,20183.82
De 1 a 3 noches,Gasto total,2020,6951.42
De 1 a 3 noches,Gasto total,2021,4119.38
De 1 a 3 noches,Gasto total,2022,19789.83
De 1 a 3 noches,Gasto total,2023,23685.71
De 1 a 3 noches,Gasto medio por persona,2016,283.94
De 1 a 3 noches,Gasto medio por persona,2017,463.79
De 1 a 3 noches,Gasto medio por persona,2018,398.45
De 1 a 3 noches,Gasto medio por persona,2019,328.83
De 1 a 3 noches,Gasto medio por persona,2020,300.14
De 1 a 3 noches,Gasto medio por persona,2021,302.51
De 1 a 3 noches,Gasto medio por persona,2022,419.41
De 1 a 3 noches,Gasto medio por persona,2023,423.93
De 1 a 3 noches,Gasto medio diario por persona,2016,156.56
De 1 a 3 noches,Gasto medio diario por persona,2017,265.65
De 1 a 3 noches,Gasto medio diario por persona,2018,181.34
De 1 a 3 noches,Gasto medio diario por persona,2019,158.71
De 1 a 3 noches,Gasto medio diario por persona,2020,206.71
De 1 a 3 noches,Gasto medio diario por persona,2021,167.81
De 1 a 3 noches,Gasto medio diario por persona,2022,208.42
De 1 a 3 noches,Gasto medio diario por persona,2023,240.49
De 1 a 3 noches,Duración media de los viajes,2016,1.81
De 1 a 3 noches,Duración media de los viajes,2017,1.75
De 1 a 3 noches,Duración media de los viajes,2018,2.2
De 1 a 3 noches,Duración media de los viajes,2019,2.07
De 1 a 3 noches,Duración media de los viajes,2020,1.45
De 1 a 3 noches,Duración media de los viajes,2021,1.8
De 1 a 3 noches,Duración media de los viajes,2022,2.01
De 1 a 3 noches,Duración media de los viajes,2023,1.76
Más de 3 noches,Gasto total,2016,69594.27
Más de 3 noches,Gasto total,2017,70563.37
Más de 3 noches,Gasto total,2018,71626.44
Más de 3 noches,Gasto total,2019,78017.91
Más de 3 noches,Gasto total,2020,14883.86
Más de 3 noches,Gasto total,2021,37908.1
Más de 3 noches,Gasto total,2022,88814.27
Más de 3 noches,Gasto total,2023,63044.1
Más de 3 noches,Gasto medio por persona,2016,1153.52
Más de 3 noches,Gasto medio por persona,2017,1115.22
Más de 3 noches,Gasto medio por persona,2018,1039.74
Más de 3 noches,Gasto medio por persona,2019,998.74
Más de 3 noches,Gasto medio por persona,2020,670.6
Más de 3 noches,Gasto medio por persona,2021,1105.34
Más de 3 noches,Gasto medio por persona,2022,1362.1
Más de 3 noches,Gasto medio por persona,2023,1011.37
Más de 3 noches,Gasto medio diario por persona,2016,87.85
Más de 3 noches,Gasto medio diario por persona,2017,77.65
Más de 3 noches,Gasto medio diario por persona,2018,88.76
Más de 3 noches,Gasto medio diario por persona,2019,94.77
Más de 3 noches,Gasto medio diario por persona,2020,56.44
Más de 3 noches,Gasto medio diario por persona,2021,113.1
Más de 3 noches,Gasto medio diario por persona,2022,124.6
Más de 3 noches,Gasto medio diario por persona,2023,112.86
Más de 3 noches,Duración media de los viajes,2016,13.13
Más de 3 noches,Duración media de los viajes,2017,14.36
Más de 3 noches,Duración media de los viajes,2018,11.71
Más de 3 noches,Duración media de los viajes,2019,10.54
Más de 3 noches,Duración media de los viajes,2020,11.88
Más de 3 noches,Duración media de los viajes,2021,9.77
Más de 3 noches,Duración media de los viajes,2022,10.93
Más de 3 noches,Duración media de los viajes,2023,8.96
