País de residencia,Indicador,Periodo,DATA
TOTAL,Gasto total,2016,93087.88
TOTAL,Gasto total,2017,101962.17
TOTAL,Gasto total,2018,101126.5
TOTAL,Gasto total,2019,98201.73
TOTAL,Gasto total,2020,21835.28
TOTAL,Gasto total,2021,42027.48
TOTAL,Gasto total,2022,108604.09
TOTAL,Gasto total,2023,86729.82
TOTAL,Gasto medio por persona,2016,650.63
TOTAL,Gasto medio por persona,2017,778.49
TOTAL,Gasto medio por persona,2018,707.54
TOTAL,Gasto medio por persona,2019,703.97
TOTAL,Gasto medio por persona,2020,481.43
TOTAL,Gasto medio por persona,2021,877.16
TOTAL,Gasto medio por persona,2022,966.32
TOTAL,Gasto medio por persona,2023,733.71
TOTAL,Gasto medio diario por persona,2016,98.8
TOTAL,Gasto medio diario por persona,2017,99.29
TOTAL,Gasto medio diario por persona,2018,104.29
TOTAL,Gasto medio diario por persona,2019,103.32
TOTAL,Gasto medio diario por persona,2020,73.44
TOTAL,Gasto medio diario por persona,2021,116.83
TOTAL,Gasto medio diario por persona,2022,134.45
TOTAL,Gasto medio diario por persona,2023,131.99
TOTAL,Duración media de los viajes,2016,6.59
TOTAL,Duración media de los viajes,2017,7.84
TOTAL,Duración media de los viajes,2018,6.78
TOTAL,Duración media de los viajes,2019,6.81
TOTAL,Duración media de los viajes,2020,6.56
TOTAL,Duración media de los viajes,2021,7.51
TOTAL,Duración media de los viajes,2022,7.19
TOTAL,Duración media de los viajes,2023,5.56
Europa,Gasto total,2016,70761.65
Europa,Gasto total,2017,69466.08
Europa,Gasto total,2018,65460.43
Europa,Gasto total,2019,69067.23
Europa,Gasto total,2020,20310.76
Europa,Gasto total,2021,34618.2
Europa,Gasto total,2022,66763.06
Europa,Gasto total,2023,53890.06
Europa,Gasto medio por persona,2016,540.33
Europa,Gasto medio por persona,2017,618.53
Europa,Gasto medio por persona,2018,523.74
Europa,Gasto medio por persona,2019,541.52
Europa,Gasto medio por persona,2020,455.21
Europa,Gasto medio por persona,2021,769.45
Europa,Gasto medio por persona,2022,719.03
Europa,Gasto medio por persona,2023,532.85
Europa,Gasto medio diario por persona,2016,87.64
Europa,Gasto medio diario por persona,2017,77.69
Europa,Gasto medio diario por persona,2018,81.29
Europa,Gasto medio diario por persona,2019,86.53
Europa,Gasto medio diario por persona,2020,69.42
Europa,Gasto medio diario por persona,2021,108.8
Europa,Gasto medio diario por persona,2022,103.29
Europa,Gasto medio diario por persona,2023,114.55
Europa,Duración media de los viajes,2016,6.16
Europa,Duración media de los viajes,2017,7.96
Europa,Duración media de los viajes,2018,6.44
Europa,Duración media de los viajes,2019,6.26
Europa,Duración media de los viajes,2020,6.56
Europa,Duración media de los viajes,2021,7.07
Europa,Duración media de los viajes,2022,6.96
Europa,Duración media de los viajes,2023,4.65
- UE27,Gasto total,2016,48868.58
- UE27,Gasto total,2017,58885.12
- UE27,Gasto total,2018,50301.76
- UE27,Gasto total,2019,55014.79
- UE27,Gasto total,2020,17453.08
- UE27,Gasto total,2021,23535.87
- UE27,Gasto total,2022,55293.79
- UE27,Gasto total,2023,43048.05
