Municipio,Tipo de establecimiento,Periodo,DATA
LA RIOJA,Viviendas de uso turístico,2018,480.0
LA RIOJA,Viviendas de uso turístico,2019,796.0
LA RIOJA,Viviendas de uso turístico,2020,1042.0
LA RIOJA,Viviendas de uso turístico,2021,1072.0
LA RIOJA,Viviendas de uso turístico,2022,1094.0
LA RIOJA,Viviendas de uso turístico,2023,1272.0
LA RIOJA,Viviendas de uso turístico,2024,1354.0
Ábalos,Viviendas de uso turístico,2018,2.0
Ábalos,Viviendas de uso turístico,2019,2.0
Ábalos,Viviendas de uso turístico,2020,2.0
Ábalos,Viviendas de uso turístico,2021,1.0
Ábalos,Viviendas de uso turístico,2022,1.0
Ábalos,Viviendas de uso turístico,2023,3.0
Ábalos,Viviendas de uso turístico,2024,3.0
Agoncillo,Viviendas de uso turístico,2018,2.0
Agoncillo,Viviendas de uso turístico,2019,7.0
Agoncillo,Viviendas de uso turístico,2020,3.0
Agoncillo,Viviendas de uso turístico,2021,3.0
Agoncillo,Viviendas de uso turístico,2022,7.0
Agoncillo,Viviendas de uso turístico,2023,7.0
Agoncillo,Viviendas de uso turístico,2024,7.0
Aguilar del Río Alhama,Viviendas de uso turístico,2018,2.0
Aguilar del Río Alhama,Viviendas de uso turístico,2019,2.0
Aguilar del Río Alhama,Viviendas de uso turístico,2020,2.0
Aguilar del Río Alhama,Viviendas de uso turístico,2021,2.0
Aguilar del Río Alhama,Viviendas de uso turístico,2022,2.0
Aguilar del Río Alhama,Viviendas de uso turístico,2023,1.0
Aguilar del Río Alhama,Viviendas de uso turístico,2024,1.0
Ajamil de Cameros,Viviendas de uso turístico,2018,2.0
Ajamil de Cameros,Viviendas de uso turístico,2019,2.0
Ajamil de Cameros,Viviendas de uso turístico,2020,2.0
Ajamil de Cameros,Viviendas de uso turístico,2021,2.0
Ajamil de Cameros,Viviendas de uso turístico,2022,2.0
Ajamil de Cameros,Viviendas de uso turístico,2023,2.0
Ajamil de Cameros,Viviendas de uso turístico,2024,2.0
Albelda de Iregua,Viviendas de uso turístico,2018,4.0
Albelda de Iregua,Viviendas de uso turístico,2019,3.0
Albelda de Iregua,Viviendas de uso turístico,2020,4.0
Albelda de Iregua,Viviendas de uso turístico,2021,5.0
Albelda de Iregua,Viviendas de uso turístico,2022,5.0
Albelda de Iregua,Viviendas de uso turístico,2023,5.0
Albelda de Iregua,Viviendas de uso turístico,2024,5.0
Alberite,Viviendas de uso turístico,2018,3.0
Alberite,Viviendas de uso turístico,2019,4.0
Alberite,Viviendas de uso turístico,2020,4.0
Alberite,Viviendas de uso turístico,2021,5.0
Alberite,Viviendas de uso turístico,2022,5.0
Alberite,Viviendas de uso turístico,2023,2.0
Alberite,Viviendas de uso turístico,2024,2.0
Alcanadre,Viviendas de uso turístico,2018,3.0
Alcanadre,Viviendas de uso turístico,2019,3.0
