"Año";"Periodo";"Evolución del nº de personas empleadas en hoteles"
"1999";"Mayo";"832"
"2000";"Mayo";"793"
"2001";"Mayo";"723"
"2002";"Mayo";"765"
"2003";"Mayo";"730"
"2004";"Mayo";"845"
"2005";"Mayo";"901"
"2006";"Mayo";"994"
"2007";"Mayo";"1.052"
"2008";"Mayo";"1.085"
"2009";"Mayo";"936"
"2010";"Mayo";"898"
"2011";"Mayo";"903"
"2012";"Mayo";"876"
"2013";"Mayo";"844"
"2014";"Mayo";"853"
"2015";"Mayo";"837"
"2016";"Mayo";"896"
"2017";"Mayo";"840"
"2018";"Mayo";"855"
"2019";"Mayo";"831"
"2020";"Mayo";"50"
"2021";"Mayo";"481"
"2022";"Mayo";"749"
"2023";"Mayo";"870"
"2024";"Mayo";"872"
;;
;;
"Métrica":"Evolución del nº de personas empleadas en hoteles"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personal empleado"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-personas-empleadas-hoteles-comunidad/2411c8ec-22b6-4c24-a2bd-e57991de4020/rioja/303"
"Titulo":"Evolución del nº de personas empleadas en los hoteles de La Rioja﻿"
"Subtitulo":"Personal empleado en los establecimientos hoteleros de la comunidad"
