"Año";"Periodo";"Andalucía"
"2001";"Mayo";"4.758"
"2002";"Mayo";"4.877"
"2003";"Mayo";"5.345"
"2004";"Mayo";"5.632"
"2005";"Mayo";"5.596"
"2006";"Mayo";"5.521"
"2007";"Mayo";"5.761"
"2008";"Mayo";"6.185"
"2009";"Mayo";"6.156"
"2010";"Mayo";"6.141"
"2011";"Mayo";"6.297"
"2012";"Mayo";"6.062"
"2013";"Mayo";"6.210"
"2014";"Mayo";"6.064"
"2015";"Mayo";"6.160"
"2016";"Mayo";"6.203"
"2017";"Mayo";"6.505"
"2018";"Mayo";"6.429"
"2019";"Mayo";"6.495"
"2020";"Mayo";"708"
"2021";"Mayo";"4.910"
"2022";"Mayo";"6.272"
"2023";"Mayo";"6.720"
"2024";"Mayo";"7.028"
;;
;;
"Métrica":"Andalucía"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de plazas estimadas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-plazas-hoteles-comunidad/3b79da2a-b192-484f-bbbc-412db7544466/rioja/303"
"Titulo":"Evolución del nº de plazas en hoteles de la comunidad"
"Subtitulo":""
