"Año";"Periodo";"Nº de establecimientos hoteleros"
"2001";"Mayo";"112"
"2002";"Mayo";"106"
"2003";"Mayo";"117"
"2004";"Mayo";"118"
"2005";"Mayo";"112"
"2006";"Mayo";"106"
"2007";"Mayo";"110"
"2008";"Mayo";"142"
"2009";"Mayo";"140"
"2010";"Mayo";"140"
"2011";"Mayo";"144"
"2012";"Mayo";"135"
"2013";"Mayo";"144"
"2014";"Mayo";"142"
"2015";"Mayo";"148"
"2016";"Mayo";"155"
"2017";"Mayo";"156"
"2018";"Mayo";"152"
"2019";"Mayo";"156"
"2020";"Mayo";"18"
"2021";"Mayo";"116"
"2022";"Mayo";"154"
"2023";"Mayo";"154"
"2024";"Mayo";"164"
;;
;;
"Métrica":"Nº de establecimientos hoteleros"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de establecimientos abiertos estimados"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/establecimientos-hoteleros-abiertos-comunidad/272bbedd-4fc0-4f0e-a5db-9ba5ed70547d/rioja/303"
"Titulo":"Nº de establecimientos hoteleros abiertos en La Rioja﻿"
"Subtitulo":"Estimación de establecimientos hoteleros abiertos en la comunidad"
