"Año";"Periodo";"Andalucía"
"1999";"Junio";"27.394"
"2000";"Junio";"26.679"
"2001";"Junio";"29.919"
"2002";"Junio";"27.641"
"2003";"Junio";"31.244"
"2004";"Junio";"31.860"
"2005";"Junio";"33.975"
"2006";"Junio";"36.588"
"2007";"Junio";"37.804"
"2008";"Junio";"37.566"
"2009";"Junio";"35.608"
"2010";"Junio";"34.544"
"2011";"Junio";"38.836"
"2012";"Junio";"35.411"
"2013";"Junio";"35.170"
"2014";"Junio";"36.437"
"2015";"Junio";"39.060"
"2016";"Junio";"36.590"
"2017";"Junio";"38.034"
"2018";"Junio";"37.220"
"2019";"Junio";"37.572"
"2020";"Junio";"5.184"
"2021";"Junio";"23.854"
"2022";"Junio";"34.665"
"2023";"Junio";"38.265"
"2024";"Junio";"38.626"
;;
;;
"Métrica":"Andalucía"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Viajeros"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/viajeros-espanoles-alojado-hoteles-comunidad/91de0947-5b26-49ad-ab44-5b104bcc4c54/rioja/303"
"Titulo":"Nº de viajeros españoles que se han alojado en hoteles de la comunidad"
"Subtitulo":""
