"Año";"Periodo";"Andalucía"
"2019";"Mayo";"-0,59"
"2019";"Junio";"-1,69"
"2019";"Julio";"-2,23"
"2019";"Agosto";"-4,4"
"2019";"Septiembre";"-0,56"
"2019";"Octubre";"-2,75"
"2019";"Noviembre";"-3,28"
"2019";"Diciembre";"0"
"2020";"Enero";"-5,78"
"2020";"Febrero";"4,82"
"2020";"Marzo";"7,39"
"2020";"Abril";"-100"
"2020";"Mayo";"12,43"
"2020";"Junio";"0,57"
"2020";"Julio";"0"
"2020";"Agosto";"1,15"
"2020";"Septiembre";"-1,14"
"2020";"Octubre";"-1,13"
"2020";"Noviembre";"6,21"
"2020";"Diciembre";"-6,78"
"2021";"Enero";"11,66"
"2021";"Febrero";"7,47"
"2021";"Marzo";"-6,88"
"2021";"Mayo";"-13,16"
"2021";"Junio";"-2,86"
"2021";"Julio";"-1,14"
"2021";"Agosto";"-2,27"
"2021";"Septiembre";"-8,05"
"2021";"Octubre";"-0,57"
"2021";"Noviembre";"-7,98"
"2021";"Diciembre";"9,7"
"2022";"Enero";"-9,34"
"2022";"Febrero";"-11,76"
"2022";"Marzo";"-2,27"
"2022";"Abril";"-0,57"
"2022";"Mayo";"0"
"2022";"Junio";"0,59"
"2022";"Julio";"-0,58"
"2022";"Agosto";"4,07"
"2022";"Septiembre";"8,75"
"2022";"Octubre";"4,02"
"2022";"Noviembre";"0,58"
"2022";"Diciembre";"1,1"
"2023";"Enero";"1,21"
"2023";"Febrero";"6,67"
"2023";"Marzo";"4,65"
"2023";"Abril";"2,87"
"2023";"Mayo";"7,27"
"2023";"Junio";"7,02"
"2023";"Julio";"3,49"
"2023";"Agosto";"-4,47"
"2023";"Septiembre";"1,72"
"2024";"Abril";"-2,79"
;;
;;
"Métrica":"Andalucía"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Días de estancia media"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/variacion-estancia-media-viajeros-alojaron-hoteles-comunidad/2638dc5e-5f6f-456e-b6af-3d6534c33d8c/rioja/303"
"Titulo":"Variación de la estancia media de los viajeros que se alojaron en hoteles de la comunidad"
"Subtitulo":""
