"Año";"Periodo";"Andalucía"
"2019";"Junio";"0,29"
"2019";"Julio";"0,09"
"2019";"Agosto";"-2,47"
"2019";"Septiembre";"-1,73"
"2019";"Octubre";"-1,77"
"2019";"Noviembre";"1"
"2019";"Diciembre";"1,26"
"2020";"Enero";"1,49"
"2020";"Febrero";"0,48"
"2020";"Marzo";"-30,23"
"2020";"Abril";"-100"
"2020";"Mayo";"-89,1"
"2020";"Junio";"-63,42"
"2020";"Julio";"-21,02"
"2020";"Agosto";"-18,41"
"2020";"Septiembre";"-14,43"
"2020";"Octubre";"-16,49"
"2020";"Noviembre";"-43,04"
"2020";"Diciembre";"-35,96"
"2021";"Enero";"-38,31"
"2021";"Febrero";"-45,32"
"2021";"Marzo";"-4,41"
"2021";"Mayo";"593,5"
"2021";"Junio";"140,24"
"2021";"Julio";"16,47"
"2021";"Agosto";"16,24"
"2021";"Septiembre";"11,48"
"2021";"Octubre";"13,82"
"2021";"Noviembre";"64,36"
"2021";"Diciembre";"51,24"
"2022";"Enero";"54,97"
"2022";"Febrero";"78,38"
"2022";"Marzo";"52,56"
"2022";"Abril";"51,41"
"2022";"Mayo";"27,74"
"2022";"Junio";"12,39"
"2022";"Julio";"5,56"
"2022";"Agosto";"2,82"
"2022";"Septiembre";"4,22"
"2022";"Octubre";"3,92"
"2022";"Noviembre";"4,43"
"2022";"Diciembre";"2,15"
"2023";"Enero";"-7,89"
"2023";"Febrero";"-0,05"
"2023";"Marzo";"-1,95"
"2023";"Abril";"-0,33"
"2023";"Mayo";"7,14"
"2023";"Junio";"0,81"
"2023";"Julio";"3,79"
"2023";"Agosto";"2,77"
"2023";"Septiembre";"3,69"
"2023";"Octubre";"4,84"
"2023";"Noviembre";"6,14"
"2023";"Diciembre";"6,35"
"2024";"Enero";"14,55"
"2024";"Febrero";"6,92"
"2024";"Marzo";"16,38"
"2024";"Abril";"9,87"
"2024";"Mayo";"4,58"
;;
;;
"Métrica":"Andalucía"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de plazas estimadas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/variacion-interanual-plazas-disponibles-hoteles-comunidad/76999ba9-f1c9-42b4-960a-dd7cb2a792ab/rioja/303"
"Titulo":"Variación interanual del nº de plazas disponibles en los hoteles de la comunidad"
"Subtitulo":""
