"Año";"Periodo";"Andalucía"
"2019";"Julio";"-4,21"
"2019";"Agosto";"5,33"
"2019";"Septiembre";"-3,12"
"2019";"Octubre";"-1,53"
"2019";"Noviembre";"-5,79"
"2019";"Diciembre";"-5,63"
"2020";"Enero";"9,37"
"2020";"Febrero";"20,26"
"2020";"Marzo";"-74,09"
"2020";"Abril";"-100"
"2020";"Mayo";"-97,85"
"2020";"Junio";"-86,2"
"2020";"Julio";"-37,7"
"2020";"Agosto";"-42,11"
"2020";"Septiembre";"-50,05"
"2020";"Octubre";"-64,55"
"2020";"Noviembre";"-86,23"
"2020";"Diciembre";"-80,29"
"2021";"Enero";"-83,53"
"2021";"Febrero";"-86,51"
"2021";"Marzo";"-3,57"
"2021";"Mayo";"2.072,37"
"2021";"Junio";"360,15"
"2021";"Julio";"48,26"
"2021";"Agosto";"82,75"
"2021";"Septiembre";"104,63"
"2021";"Octubre";"195,67"
"2021";"Noviembre";"540,63"
"2021";"Diciembre";"314,98"
"2022";"Enero";"301,77"
"2022";"Febrero";"450,55"
"2022";"Marzo";"200,75"
"2022";"Abril";"358,72"
"2022";"Mayo";"97,97"
"2022";"Junio";"45,32"
"2022";"Julio";"11,62"
"2022";"Agosto";"-11,16"
"2022";"Septiembre";"-2,8"
"2022";"Octubre";"-5,71"
"2022";"Noviembre";"0,54"
"2022";"Diciembre";"12,25"
"2023";"Enero";"30,84"
"2023";"Febrero";"13,28"
"2023";"Marzo";"20,18"
"2023";"Abril";"5,88"
"2023";"Mayo";"-1,46"
"2023";"Junio";"10,39"
"2023";"Julio";"1,15"
"2023";"Agosto";"0,11"
"2023";"Septiembre";"1,03"
"2023";"Octubre";"-3,11"
"2023";"Noviembre";"2,25"
"2023";"Diciembre";"2,07"
"2024";"Enero";"5,6"
"2024";"Febrero";"3,08"
"2024";"Marzo";"22,17"
"2024";"Abril";"-12,32"
"2024";"Mayo";"15,86"
"2024";"Junio";"0,94"
;;
;;
"Métrica":"Andalucía"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Viajeros"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/variacion-interanual-viajeros-espanoles-alojados-hoteles-comunidad/b8634da3-ed43-462c-a8a4-5092fd573eaa/rioja/303"
"Titulo":"Variación interanual del nº de viajeros españoles alojados en hoteles de la comunidad"
"Subtitulo":""
