Subcategoria,Indicador,Periodo,Gastos/Estancia,Categoria,Tipo de gasto,Fecha
TOTAL,Gasto total,2016,93087.88,Via de acceso,No disponible,2016-01-01
TOTAL,Gasto total,2017,101962.17,Via de acceso,No disponible,2017-01-01
TOTAL,Gasto total,2018,101126.5,Via de acceso,No disponible,2018-01-01
TOTAL,Gasto total,2019,98201.73,Via de acceso,No disponible,2019-01-01
TOTAL,Gasto total,2020,21835.28,Via de acceso,No disponible,2020-01-01
TOTAL,Gasto total,2021,42027.48,Via de acceso,No disponible,2021-01-01
TOTAL,Gasto total,2022,108604.09,Via de acceso,No disponible,2022-01-01
TOTAL,Gasto total,2023,86729.82,Via de acceso,No disponible,2023-01-01
TOTAL,Gasto medio por persona,2016,650.63,Via de acceso,No disponible,2016-01-01
TOTAL,Gasto medio por persona,2017,778.49,Via de acceso,No disponible,2017-01-01
TOTAL,Gasto medio por persona,2018,707.54,Via de acceso,No disponible,2018-01-01
TOTAL,Gasto medio por persona,2019,703.97,Via de acceso,No disponible,2019-01-01
TOTAL,Gasto medio por persona,2020,481.43,Via de acceso,No disponible,2020-01-01
TOTAL,Gasto medio por persona,2021,877.16,Via de acceso,No disponible,2021-01-01
TOTAL,Gasto medio por persona,2022,966.32,Via de acceso,No disponible,2022-01-01
TOTAL,Gasto medio por persona,2023,733.71,Via de acceso,No disponible,2023-01-01
TOTAL,Gasto medio diario por persona,2016,98.8,Via de acceso,No disponible,2016-01-01
TOTAL,Gasto medio diario por persona,2017,99.29,Via de acceso,No disponible,2017-01-01
TOTAL,Gasto medio diario por persona,2018,104.29,Via de acceso,No disponible,2018-01-01
TOTAL,Gasto medio diario por persona,2019,103.32,Via de acceso,No disponible,2019-01-01
TOTAL,Gasto medio diario por persona,2020,73.44,Via de acceso,No disponible,2020-01-01
TOTAL,Gasto medio diario por persona,2021,116.83,Via de acceso,No disponible,2021-01-01
TOTAL,Gasto medio diario por persona,2022,134.45,Via de acceso,No disponible,2022-01-01
TOTAL,Gasto medio diario por persona,2023,131.99,Via de acceso,No disponible,2023-01-01
TOTAL,Duración media de los viajes,2016,6.59,Via de acceso,No disponible,2016-01-01
TOTAL,Duración media de los viajes,2017,7.84,Via de acceso,No disponible,2017-01-01
TOTAL,Duración media de los viajes,2018,6.78,Via de acceso,No disponible,2018-01-01
TOTAL,Duración media de los viajes,2019,6.81,Via de acceso,No disponible,2019-01-01
TOTAL,Duración media de los viajes,2020,6.56,Via de acceso,No disponible,2020-01-01
TOTAL,Duración media de los viajes,2021,7.51,Via de acceso,No disponible,2021-01-01
