Subcategoria,Periodo,Numero de Turistas,Categoria,Fecha,Indicador,Gastos/Estancia,Tipo de gasto
TOTAL,2016,150778.8,Via de acceso,2016-01-01,No disponible,No disponible,No disponible
TOTAL,2017,124188.8,Via de acceso,2017-01-01,No disponible,No disponible,No disponible
TOTAL,2018,142926.4,Via de acceso,2018-01-01,No disponible,No disponible,No disponible
TOTAL,2019,139497.3,Via de acceso,2019-01-01,No disponible,No disponible,No disponible
TOTAL,2020,45355.2,Via de acceso,2020-01-01,No disponible,No disponible,No disponible
TOTAL,2021,47913.0,Via de acceso,2021-01-01,No disponible,No disponible,No disponible
TOTAL,2022,105909.8,Via de acceso,2022-01-01,No disponible,No disponible,No disponible
TOTAL,2023,118207.9,Via de acceso,2023-01-01,No disponible,No disponible,No disponible
Carretera,2016,75866.4,Via de acceso,2016-01-01,No disponible,No disponible,No disponible
Carretera,2017,64393.2,Via de acceso,2017-01-01,No disponible,No disponible,No disponible
Carretera,2018,85380.3,Via de acceso,2018-01-01,No disponible,No disponible,No disponible
Carretera,2019,75282.2,Via de acceso,2019-01-01,No disponible,No disponible,No disponible
Carretera,2020,33919.3,Via de acceso,2020-01-01,No disponible,No disponible,No disponible
Carretera,2021,33188.7,Via de acceso,2021-01-01,No disponible,No disponible,No disponible
Carretera,2022,53083.2,Via de acceso,2022-01-01,No disponible,No disponible,No disponible
Carretera,2023,76892.9,Via de acceso,2023-01-01,No disponible,No disponible,No disponible
Otra vía,2016,74912.4,Via de acceso,2016-01-01,No disponible,No disponible,No disponible
Otra vía,2017,59795.7,Via de acceso,2017-01-01,No disponible,No disponible,No disponible
Otra vía,2018,57546.1,Via de acceso,2018-01-01,No disponible,No disponible,No disponible
Otra vía,2019,64215.2,Via de acceso,2019-01-01,No disponible,No disponible,No disponible
Otra vía,2020,11436.0,Via de acceso,2020-01-01,No disponible,No disponible,No disponible
Otra vía,2021,14724.3,Via de acceso,2021-01-01,No disponible,No disponible,No disponible
Otra vía,2022,52826.6,Via de acceso,2022-01-01,No disponible,No disponible,No disponible
Otra vía,2023,41315.0,Via de acceso,2023-01-01,No disponible,No disponible,No disponible
TOTAL,2016,150778.8,Tipo de alojamiento,2016-01-01,No disponible,No disponible,No disponible
TOTAL,2017,124188.8,Tipo de alojamiento,2017-01-01,No disponible,No disponible,No disponible
TOTAL,2018,142926.4,Tipo de alojamiento,2018-01-01,No disponible,No disponible,No disponible
TOTAL,2019,139497.3,Tipo de alojamiento,2019-01-01,No disponible,No disponible,No disponible
TOTAL,2020,45355.2,Tipo de alojamiento,2020-01-01,No disponible,No disponible,No disponible
TOTAL,2021,47913.0,Tipo de alojamiento,2021-01-01,No disponible,No disponible,No disponible
TOTAL,2022,105909.8,Tipo de alojamiento,2022-01-01,No disponible,No disponible,No disponible
TOTAL,2023,118207.9,Tipo de alojamiento,2023-01-01,No disponible,No disponible,No disponible
De Mercado,2016,104346.3,Tipo de alojamiento,2016-01-01,No disponible,No disponible,No disponible
De Mercado,2017,68325.4,Tipo de alojamiento,2017-01-01,No disponible,No disponible,No disponible
De Mercado,2018,99113.8,Tipo de alojamiento,2018-01-01,No disponible,No disponible,No disponible
De Mercado,2019,95501.2,Tipo de alojamiento,2019-01-01,No disponible,No disponible,No disponible
