Municipio,Tipo de establecimiento,Periodo,DATA
LA RIOJA,Agencias de viajes,2009,93
LA RIOJA,Agencias de viajes,2010,88
LA RIOJA,Agencias de viajes,2011,88
LA RIOJA,Agencias de viajes,2012,90
LA RIOJA,Agencias de viajes,2013,89
LA RIOJA,Agencias de viajes,2014,82
LA RIOJA,Agencias de viajes,2015,81
LA RIOJA,Agencias de viajes,2016,81
LA RIOJA,Agencias de viajes,2017,82
LA RIOJA,Agencias de viajes,2018,85
LA RIOJA,Agencias de viajes,2019,82
LA RIOJA,Agencias de viajes,2020,82
LA RIOJA,Agencias de viajes,2021,72
LA RIOJA,Agencias de viajes,2022,68
LA RIOJA,Agencias de viajes,2023,70
LA RIOJA,Agencias de viajes,2024,69
LA RIOJA,Empresas organizadoras de congresos y reuniones,2009,18
LA RIOJA,Empresas organizadoras de congresos y reuniones,2010,18
LA RIOJA,Empresas organizadoras de congresos y reuniones,2011,18
LA RIOJA,Empresas organizadoras de congresos y reuniones,2012,19
LA RIOJA,Empresas organizadoras de congresos y reuniones,2013,19
LA RIOJA,Empresas organizadoras de congresos y reuniones,2014,13
LA RIOJA,Empresas organizadoras de congresos y reuniones,2015,13
LA RIOJA,Empresas organizadoras de congresos y reuniones,2016,13
LA RIOJA,Empresas organizadoras de congresos y reuniones,2017,13
LA RIOJA,Empresas organizadoras de congresos y reuniones,2018,8
LA RIOJA,Empresas organizadoras de congresos y reuniones,2019,8
LA RIOJA,Empresas organizadoras de congresos y reuniones,2020,8
LA RIOJA,Empresas organizadoras de congresos y reuniones,2021,8
LA RIOJA,Empresas organizadoras de congresos y reuniones,2022,8
LA RIOJA,Empresas organizadoras de congresos y reuniones,2023,8
LA RIOJA,Empresas organizadoras de congresos y reuniones,2024,8
LA RIOJA,Turismo activo,2009,19
LA RIOJA,Turismo activo,2010,19
LA RIOJA,Turismo activo,2011,21
LA RIOJA,Turismo activo,2012,22
LA RIOJA,Turismo activo,2013,25
LA RIOJA,Turismo activo,2014,28
LA RIOJA,Turismo activo,2015,32
LA RIOJA,Turismo activo,2016,32
LA RIOJA,Turismo activo,2017,33
LA RIOJA,Turismo activo,2018,33
LA RIOJA,Turismo activo,2019,33
LA RIOJA,Turismo activo,2020,34
LA RIOJA,Turismo activo,2021,34
LA RIOJA,Turismo activo,2022,36
LA RIOJA,Turismo activo,2023,36
LA RIOJA,Turismo activo,2024,35
Ábalos,Agencias de viajes,2009,
Ábalos,Agencias de viajes,2010,
Ábalos,Agencias de viajes,2011,
Ábalos,Agencias de viajes,2012,
Ábalos,Agencias de viajes,2013,
Ábalos,Agencias de viajes,2014,
Ábalos,Agencias de viajes,2015,
Ábalos,Agencias de viajes,2016,
Ábalos,Agencias de viajes,2017,
Ábalos,Agencias de viajes,2018,
Ábalos,Agencias de viajes,2019,
Ábalos,Agencias de viajes,2020,
Ábalos,Agencias de viajes,2021,
Ábalos,Agencias de viajes,2022,
Ábalos,Agencias de viajes,2023,
Ábalos,Agencias de viajes,2024,
Ábalos,Empresas organizadoras de congresos y reuniones,2009,
Ábalos,Empresas organizadoras de congresos y reuniones,2010,
Ábalos,Empresas organizadoras de congresos y reuniones,2011,
Ábalos,Empresas organizadoras de congresos y reuniones,2012,
Ábalos,Empresas organizadoras de congresos y reuniones,2013,
Ábalos,Empresas organizadoras de congresos y reuniones,2014,
Ábalos,Empresas organizadoras de congresos y reuniones,2015,
Ábalos,Empresas organizadoras de congresos y reuniones,2016,
Ábalos,Empresas organizadoras de congresos y reuniones,2017,
Ábalos,Empresas organizadoras de congresos y reuniones,2018,
Ábalos,Empresas organizadoras de congresos y reuniones,2019,
Ábalos,Empresas organizadoras de congresos y reuniones,2020,
Ábalos,Empresas organizadoras de congresos y reuniones,2021,
Ábalos,Empresas organizadoras de congresos y reuniones,2022,
Ábalos,Empresas organizadoras de congresos y reuniones,2023,
Ábalos,Empresas organizadoras de congresos y reuniones,2024,
Ábalos,Turismo activo,2009,
Ábalos,Turismo activo,2010,
Ábalos,Turismo activo,2011,
Ábalos,Turismo activo,2012,
Ábalos,Turismo activo,2013,
Ábalos,Turismo activo,2014,
Ábalos,Turismo activo,2015,
Ábalos,Turismo activo,2016,
Ábalos,Turismo activo,2017,
Ábalos,Turismo activo,2018,
Ábalos,Turismo activo,2019,
Ábalos,Turismo activo,2020,
Ábalos,Turismo activo,2021,
Ábalos,Turismo activo,2022,
Ábalos,Turismo activo,2023,
Ábalos,Turismo activo,2024,
Agoncillo,Agencias de viajes,2009,
Agoncillo,Agencias de viajes,2010,
Agoncillo,Agencias de viajes,2011,
Agoncillo,Agencias de viajes,2012,
Agoncillo,Agencias de viajes,2013,
Agoncillo,Agencias de viajes,2014,
Agoncillo,Agencias de viajes,2015,
Agoncillo,Agencias de viajes,2016,
Agoncillo,Agencias de viajes,2017,
Agoncillo,Agencias de viajes,2018,
Agoncillo,Agencias de viajes,2019,
Agoncillo,Agencias de viajes,2020,
Agoncillo,Agencias de viajes,2021,
Agoncillo,Agencias de viajes,2022,
Agoncillo,Agencias de viajes,2023,
Agoncillo,Agencias de viajes,2024,
Agoncillo,Empresas organizadoras de congresos y reuniones,2009,
Agoncillo,Empresas organizadoras de congresos y reuniones,2010,
Agoncillo,Empresas organizadoras de congresos y reuniones,2011,
Agoncillo,Empresas organizadoras de congresos y reuniones,2012,
Agoncillo,Empresas organizadoras de congresos y reuniones,2013,
Agoncillo,Empresas organizadoras de congresos y reuniones,2014,
Agoncillo,Empresas organizadoras de congresos y reuniones,2015,
Agoncillo,Empresas organizadoras de congresos y reuniones,2016,
Agoncillo,Empresas organizadoras de congresos y reuniones,2017,
Agoncillo,Empresas organizadoras de congresos y reuniones,2018,
Agoncillo,Empresas organizadoras de congresos y reuniones,2019,
Agoncillo,Empresas organizadoras de congresos y reuniones,2020,
Agoncillo,Empresas organizadoras de congresos y reuniones,2021,
Agoncillo,Empresas organizadoras de congresos y reuniones,2022,
Agoncillo,Empresas organizadoras de congresos y reuniones,2023,
Agoncillo,Empresas organizadoras de congresos y reuniones,2024,
Agoncillo,Turismo activo,2009,
Agoncillo,Turismo activo,2010,
Agoncillo,Turismo activo,2011,
Agoncillo,Turismo activo,2012,
Agoncillo,Turismo activo,2013,
Agoncillo,Turismo activo,2014,
Agoncillo,Turismo activo,2015,
Agoncillo,Turismo activo,2016,
Agoncillo,Turismo activo,2017,
Agoncillo,Turismo activo,2018,
Agoncillo,Turismo activo,2019,
Agoncillo,Turismo activo,2020,
Agoncillo,Turismo activo,2021,
Agoncillo,Turismo activo,2022,
Agoncillo,Turismo activo,2023,
Agoncillo,Turismo activo,2024,
Aguilar del Río Alhama,Agencias de viajes,2009,
Aguilar del Río Alhama,Agencias de viajes,2010,
Aguilar del Río Alhama,Agencias de viajes,2011,
Aguilar del Río Alhama,Agencias de viajes,2012,
Aguilar del Río Alhama,Agencias de viajes,2013,
Aguilar del Río Alhama,Agencias de viajes,2014,
Aguilar del Río Alhama,Agencias de viajes,2015,
Aguilar del Río Alhama,Agencias de viajes,2016,
Aguilar del Río Alhama,Agencias de viajes,2017,
Aguilar del Río Alhama,Agencias de viajes,2018,
Aguilar del Río Alhama,Agencias de viajes,2019,
Aguilar del Río Alhama,Agencias de viajes,2020,
Aguilar del Río Alhama,Agencias de viajes,2021,
Aguilar del Río Alhama,Agencias de viajes,2022,
Aguilar del Río Alhama,Agencias de viajes,2023,
Aguilar del Río Alhama,Agencias de viajes,2024,
Aguilar del Río Alhama,Empresas organizadoras de congresos y reuniones,2009,
Aguilar del Río Alhama,Empresas organizadoras de congresos y reuniones,2010,
Aguilar del Río Alhama,Empresas organizadoras de congresos y reuniones,2011,
Aguilar del Río Alhama,Empresas organizadoras de congresos y reuniones,2012,
Aguilar del Río Alhama,Empresas organizadoras de congresos y reuniones,2013,
Aguilar del Río Alhama,Empresas organizadoras de congresos y reuniones,2014,
Aguilar del Río Alhama,Empresas organizadoras de congresos y reuniones,2015,
Aguilar del Río Alhama,Empresas organizadoras de congresos y reuniones,2016,
Aguilar del Río Alhama,Empresas organizadoras de congresos y reuniones,2017,
Aguilar del Río Alhama,Empresas organizadoras de congresos y reuniones,2018,
Aguilar del Río Alhama,Empresas organizadoras de congresos y reuniones,2019,
Aguilar del Río Alhama,Empresas organizadoras de congresos y reuniones,2020,
Aguilar del Río Alhama,Empresas organizadoras de congresos y reuniones,2021,
Aguilar del Río Alhama,Empresas organizadoras de congresos y reuniones,2022,
Aguilar del Río Alhama,Empresas organizadoras de congresos y reuniones,2023,
Aguilar del Río Alhama,Empresas organizadoras de congresos y reuniones,2024,
Aguilar del Río Alhama,Turismo activo,2009,1
Aguilar del Río Alhama,Turismo activo,2010,1
Aguilar del Río Alhama,Turismo activo,2011,1
Aguilar del Río Alhama,Turismo activo,2012,1
Aguilar del Río Alhama,Turismo activo,2013,1
Aguilar del Río Alhama,Turismo activo,2014,1
Aguilar del Río Alhama,Turismo activo,2015,1
Aguilar del Río Alhama,Turismo activo,2016,1
Aguilar del Río Alhama,Turismo activo,2017,1
Aguilar del Río Alhama,Turismo activo,2018,1
Aguilar del Río Alhama,Turismo activo,2019,1
Aguilar del Río Alhama,Turismo activo,2020,1
Aguilar del Río Alhama,Turismo activo,2021,1
Aguilar del Río Alhama,Turismo activo,2022,1
Aguilar del Río Alhama,Turismo activo,2023,1
Aguilar del Río Alhama,Turismo activo,2024,1
Ajamil de Cameros,Agencias de viajes,2009,
Ajamil de Cameros,Agencias de viajes,2010,
Ajamil de Cameros,Agencias de viajes,2011,
Ajamil de Cameros,Agencias de viajes,2012,
Ajamil de Cameros,Agencias de viajes,2013,
Ajamil de Cameros,Agencias de viajes,2014,
Ajamil de Cameros,Agencias de viajes,2015,
Ajamil de Cameros,Agencias de viajes,2016,
Ajamil de Cameros,Agencias de viajes,2017,
Ajamil de Cameros,Agencias de viajes,2018,
Ajamil de Cameros,Agencias de viajes,2019,
Ajamil de Cameros,Agencias de viajes,2020,
Ajamil de Cameros,Agencias de viajes,2021,
Ajamil de Cameros,Agencias de viajes,2022,
Ajamil de Cameros,Agencias de viajes,2023,
Ajamil de Cameros,Agencias de viajes,2024,
Ajamil de Cameros,Empresas organizadoras de congresos y reuniones,2009,
Ajamil de Cameros,Empresas organizadoras de congresos y reuniones,2010,
Ajamil de Cameros,Empresas organizadoras de congresos y reuniones,2011,
Ajamil de Cameros,Empresas organizadoras de congresos y reuniones,2012,
Ajamil de Cameros,Empresas organizadoras de congresos y reuniones,2013,
Ajamil de Cameros,Empresas organizadoras de congresos y reuniones,2014,
Ajamil de Cameros,Empresas organizadoras de congresos y reuniones,2015,
Ajamil de Cameros,Empresas organizadoras de congresos y reuniones,2016,
Ajamil de Cameros,Empresas organizadoras de congresos y reuniones,2017,
Ajamil de Cameros,Empresas organizadoras de congresos y reuniones,2018,
Ajamil de Cameros,Empresas organizadoras de congresos y reuniones,2019,
Ajamil de Cameros,Empresas organizadoras de congresos y reuniones,2020,
Ajamil de Cameros,Empresas organizadoras de congresos y reuniones,2021,
Ajamil de Cameros,Empresas organizadoras de congresos y reuniones,2022,
Ajamil de Cameros,Empresas organizadoras de congresos y reuniones,2023,
Ajamil de Cameros,Empresas organizadoras de congresos y reuniones,2024,
Ajamil de Cameros,Turismo activo,2009,
Ajamil de Cameros,Turismo activo,2010,
Ajamil de Cameros,Turismo activo,2011,
Ajamil de Cameros,Turismo activo,2012,
Ajamil de Cameros,Turismo activo,2013,
Ajamil de Cameros,Turismo activo,2014,
Ajamil de Cameros,Turismo activo,2015,
Ajamil de Cameros,Turismo activo,2016,
Ajamil de Cameros,Turismo activo,2017,
Ajamil de Cameros,Turismo activo,2018,
Ajamil de Cameros,Turismo activo,2019,
Ajamil de Cameros,Turismo activo,2020,
Ajamil de Cameros,Turismo activo,2021,
Ajamil de Cameros,Turismo activo,2022,
Ajamil de Cameros,Turismo activo,2023,
Ajamil de Cameros,Turismo activo,2024,
Albelda de Iregua,Agencias de viajes,2009,
Albelda de Iregua,Agencias de viajes,2010,
Albelda de Iregua,Agencias de viajes,2011,
Albelda de Iregua,Agencias de viajes,2012,
Albelda de Iregua,Agencias de viajes,2013,
Albelda de Iregua,Agencias de viajes,2014,
Albelda de Iregua,Agencias de viajes,2015,
Albelda de Iregua,Agencias de viajes,2016,
Albelda de Iregua,Agencias de viajes,2017,
Albelda de Iregua,Agencias de viajes,2018,
Albelda de Iregua,Agencias de viajes,2019,
Albelda de Iregua,Agencias de viajes,2020,
Albelda de Iregua,Agencias de viajes,2021,
Albelda de Iregua,Agencias de viajes,2022,
Albelda de Iregua,Agencias de viajes,2023,
Albelda de Iregua,Agencias de viajes,2024,
Albelda de Iregua,Empresas organizadoras de congresos y reuniones,2009,
Albelda de Iregua,Empresas organizadoras de congresos y reuniones,2010,
Albelda de Iregua,Empresas organizadoras de congresos y reuniones,2011,
Albelda de Iregua,Empresas organizadoras de congresos y reuniones,2012,
Albelda de Iregua,Empresas organizadoras de congresos y reuniones,2013,
Albelda de Iregua,Empresas organizadoras de congresos y reuniones,2014,
Albelda de Iregua,Empresas organizadoras de congresos y reuniones,2015,
Albelda de Iregua,Empresas organizadoras de congresos y reuniones,2016,
Albelda de Iregua,Empresas organizadoras de congresos y reuniones,2017,
Albelda de Iregua,Empresas organizadoras de congresos y reuniones,2018,
Albelda de Iregua,Empresas organizadoras de congresos y reuniones,2019,
Albelda de Iregua,Empresas organizadoras de congresos y reuniones,2020,
Albelda de Iregua,Empresas organizadoras de congresos y reuniones,2021,
Albelda de Iregua,Empresas organizadoras de congresos y reuniones,2022,
Albelda de Iregua,Empresas organizadoras de congresos y reuniones,2023,
Albelda de Iregua,Empresas organizadoras de congresos y reuniones,2024,
Albelda de Iregua,Turismo activo,2009,
Albelda de Iregua,Turismo activo,2010,
Albelda de Iregua,Turismo activo,2011,
Albelda de Iregua,Turismo activo,2012,
Albelda de Iregua,Turismo activo,2013,
Albelda de Iregua,Turismo activo,2014,
Albelda de Iregua,Turismo activo,2015,
Albelda de Iregua,Turismo activo,2016,
Albelda de Iregua,Turismo activo,2017,
Albelda de Iregua,Turismo activo,2018,
Albelda de Iregua,Turismo activo,2019,
Albelda de Iregua,Turismo activo,2020,
Albelda de Iregua,Turismo activo,2021,
Albelda de Iregua,Turismo activo,2022,
Albelda de Iregua,Turismo activo,2023,
Albelda de Iregua,Turismo activo,2024,
Alberite,Agencias de viajes,2009,
Alberite,Agencias de viajes,2010,
Alberite,Agencias de viajes,2011,
Alberite,Agencias de viajes,2012,1
Alberite,Agencias de viajes,2013,
Alberite,Agencias de viajes,2014,
Alberite,Agencias de viajes,2015,
Alberite,Agencias de viajes,2016,
Alberite,Agencias de viajes,2017,
Alberite,Agencias de viajes,2018,
Alberite,Agencias de viajes,2019,
Alberite,Agencias de viajes,2020,
Alberite,Agencias de viajes,2021,
Alberite,Agencias de viajes,2022,
Alberite,Agencias de viajes,2023,
Alberite,Agencias de viajes,2024,
Alberite,Empresas organizadoras de congresos y reuniones,2009,
Alberite,Empresas organizadoras de congresos y reuniones,2010,
Alberite,Empresas organizadoras de congresos y reuniones,2011,
Alberite,Empresas organizadoras de congresos y reuniones,2012,
Alberite,Empresas organizadoras de congresos y reuniones,2013,
Alberite,Empresas organizadoras de congresos y reuniones,2014,
Alberite,Empresas organizadoras de congresos y reuniones,2015,
Alberite,Empresas organizadoras de congresos y reuniones,2016,
Alberite,Empresas organizadoras de congresos y reuniones,2017,
Alberite,Empresas organizadoras de congresos y reuniones,2018,
