Municipio,Tipo de establecimiento,Indicador,Periodo,DATA
LA RIOJA,Hoteles,Establecimientos,2009,63
LA RIOJA,Hoteles,Establecimientos,2010,63
LA RIOJA,Hoteles,Establecimientos,2011,63
LA RIOJA,Hoteles,Establecimientos,2012,66
LA RIOJA,Hoteles,Establecimientos,2013,70
LA RIOJA,Hoteles,Establecimientos,2014,67
LA RIOJA,Hoteles,Establecimientos,2015,70
LA RIOJA,Hoteles,Establecimientos,2016,73
LA RIOJA,Hoteles,Establecimientos,2017,73
LA RIOJA,Hoteles,Establecimientos,2018,74
LA RIOJA,Hoteles,Establecimientos,2019,76
LA RIOJA,Hoteles,Establecimientos,2020,75
LA RIOJA,Hoteles,Establecimientos,2021,77
LA RIOJA,Hoteles,Establecimientos,2022,83
LA RIOJA,Hoteles,Establecimientos,2023,78
LA RIOJA,Hoteles,Establecimientos,2024,79
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2009,2509
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2010,2505
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2011,2505
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2012,2562
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2013,2549
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2014,2630
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2015,2649
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2016,2693
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2017,2693
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2018,2741
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2019,2783
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2020,2731
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2021,2573
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2022,2912
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2023,2673
LA RIOJA,Hoteles,Habitaciones/Apartamentos,2024,2693
LA RIOJA,Hoteles,Plazas,2009,4613
LA RIOJA,Hoteles,Plazas,2010,4583
LA RIOJA,Hoteles,Plazas,2011,4583
LA RIOJA,Hoteles,Plazas,2012,4706
LA RIOJA,Hoteles,Plazas,2013,4713
LA RIOJA,Hoteles,Plazas,2014,4644
LA RIOJA,Hoteles,Plazas,2015,4706
LA RIOJA,Hoteles,Plazas,2016,4790
LA RIOJA,Hoteles,Plazas,2017,4790
LA RIOJA,Hoteles,Plazas,2018,4885
LA RIOJA,Hoteles,Plazas,2019,4964
LA RIOJA,Hoteles,Plazas,2020,4873
LA RIOJA,Hoteles,Plazas,2021,4784
LA RIOJA,Hoteles,Plazas,2022,5179
LA RIOJA,Hoteles,Plazas,2023,4936
LA RIOJA,Hoteles,Plazas,2024,4998
LA RIOJA,Hostales,Establecimientos,2009,44
LA RIOJA,Hostales,Establecimientos,2010,43
LA RIOJA,Hostales,Establecimientos,2011,43
LA RIOJA,Hostales,Establecimientos,2012,42
LA RIOJA,Hostales,Establecimientos,2013,41
LA RIOJA,Hostales,Establecimientos,2014,40
LA RIOJA,Hostales,Establecimientos,2015,40
LA RIOJA,Hostales,Establecimientos,2016,39
LA RIOJA,Hostales,Establecimientos,2017,40
LA RIOJA,Hostales,Establecimientos,2018,40
LA RIOJA,Hostales,Establecimientos,2019,39
LA RIOJA,Hostales,Establecimientos,2020,39
LA RIOJA,Hostales,Establecimientos,2021,37
LA RIOJA,Hostales,Establecimientos,2022,36
LA RIOJA,Hostales,Establecimientos,2023,35
LA RIOJA,Hostales,Establecimientos,2024,36
LA RIOJA,Hostales,Habitaciones/Apartamentos,2009,612
LA RIOJA,Hostales,Habitaciones/Apartamentos,2010,587
LA RIOJA,Hostales,Habitaciones/Apartamentos,2011,587
LA RIOJA,Hostales,Habitaciones/Apartamentos,2012,572
LA RIOJA,Hostales,Habitaciones/Apartamentos,2013,556
LA RIOJA,Hostales,Habitaciones/Apartamentos,2014,538
LA RIOJA,Hostales,Habitaciones/Apartamentos,2015,537
LA RIOJA,Hostales,Habitaciones/Apartamentos,2016,513
LA RIOJA,Hostales,Habitaciones/Apartamentos,2017,524
LA RIOJA,Hostales,Habitaciones/Apartamentos,2018,529
LA RIOJA,Hostales,Habitaciones/Apartamentos,2019,521
LA RIOJA,Hostales,Habitaciones/Apartamentos,2020,524
LA RIOJA,Hostales,Habitaciones/Apartamentos,2021,505
LA RIOJA,Hostales,Habitaciones/Apartamentos,2022,494
LA RIOJA,Hostales,Habitaciones/Apartamentos,2023,489
LA RIOJA,Hostales,Habitaciones/Apartamentos,2024,508
LA RIOJA,Hostales,Plazas,2009,1078
LA RIOJA,Hostales,Plazas,2010,1031
LA RIOJA,Hostales,Plazas,2011,1031
LA RIOJA,Hostales,Plazas,2012,1007
LA RIOJA,Hostales,Plazas,2013,981
LA RIOJA,Hostales,Plazas,2014,953
LA RIOJA,Hostales,Plazas,2015,954
LA RIOJA,Hostales,Plazas,2016,908
