Municipio,Categoría turística,Indicador,Periodo,DATA
LA RIOJA,TOTAL,Plazas,2009,4613
LA RIOJA,TOTAL,Plazas,2010,4583
LA RIOJA,TOTAL,Plazas,2011,4583
LA RIOJA,TOTAL,Plazas,2012,4706
LA RIOJA,TOTAL,Plazas,2013,4713
LA RIOJA,TOTAL,Plazas,2014,4644
LA RIOJA,TOTAL,Plazas,2015,4706
LA RIOJA,TOTAL,Plazas,2016,4790
LA RIOJA,TOTAL,Plazas,2017,4790
LA RIOJA,TOTAL,Plazas,2018,4885
LA RIOJA,TOTAL,Plazas,2019,4964
LA RIOJA,TOTAL,Plazas,2020,4873
LA RIOJA,TOTAL,Plazas,2021,4784
LA RIOJA,TOTAL,Plazas,2022,5179
LA RIOJA,TOTAL,Plazas,2023,4936
LA RIOJA,TOTAL,Plazas,2024,4998
LA RIOJA,TOTAL,Habitaciones,2009,2509
LA RIOJA,TOTAL,Habitaciones,2010,2505
LA RIOJA,TOTAL,Habitaciones,2011,2505
LA RIOJA,TOTAL,Habitaciones,2012,2562
LA RIOJA,TOTAL,Habitaciones,2013,2549
LA RIOJA,TOTAL,Habitaciones,2014,2630
LA RIOJA,TOTAL,Habitaciones,2015,2649
LA RIOJA,TOTAL,Habitaciones,2016,2693
LA RIOJA,TOTAL,Habitaciones,2017,2693
LA RIOJA,TOTAL,Habitaciones,2018,2741
LA RIOJA,TOTAL,Habitaciones,2019,2783
LA RIOJA,TOTAL,Habitaciones,2020,2731
LA RIOJA,TOTAL,Habitaciones,2021,2573
LA RIOJA,TOTAL,Habitaciones,2022,2912
LA RIOJA,TOTAL,Habitaciones,2023,2673
LA RIOJA,TOTAL,Habitaciones,2024,2693
LA RIOJA,TOTAL,Establecimientos,2009,63
LA RIOJA,TOTAL,Establecimientos,2010,63
LA RIOJA,TOTAL,Establecimientos,2011,63
LA RIOJA,TOTAL,Establecimientos,2012,66
LA RIOJA,TOTAL,Establecimientos,2013,70
LA RIOJA,TOTAL,Establecimientos,2014,67
LA RIOJA,TOTAL,Establecimientos,2015,70
LA RIOJA,TOTAL,Establecimientos,2016,73
LA RIOJA,TOTAL,Establecimientos,2017,73
LA RIOJA,TOTAL,Establecimientos,2018,74
LA RIOJA,TOTAL,Establecimientos,2019,76
LA RIOJA,TOTAL,Establecimientos,2020,75
LA RIOJA,TOTAL,Establecimientos,2021,77
LA RIOJA,TOTAL,Establecimientos,2022,83
LA RIOJA,TOTAL,Establecimientos,2023,78
LA RIOJA,TOTAL,Establecimientos,2024,79
LA RIOJA,Una estrella,Plazas,2009,293
LA RIOJA,Una estrella,Plazas,2010,325
LA RIOJA,Una estrella,Plazas,2011,325
LA RIOJA,Una estrella,Plazas,2012,325
LA RIOJA,Una estrella,Plazas,2013,361
LA RIOJA,Una estrella,Plazas,2014,349
LA RIOJA,Una estrella,Plazas,2015,349
LA RIOJA,Una estrella,Plazas,2016,396
LA RIOJA,Una estrella,Plazas,2017,396
LA RIOJA,Una estrella,Plazas,2018,396
LA RIOJA,Una estrella,Plazas,2019,396
LA RIOJA,Una estrella,Plazas,2020,396
LA RIOJA,Una estrella,Plazas,2021,406
LA RIOJA,Una estrella,Plazas,2022,406
LA RIOJA,Una estrella,Plazas,2023,406
LA RIOJA,Una estrella,Plazas,2024,406
LA RIOJA,Una estrella,Habitaciones,2009,168
LA RIOJA,Una estrella,Habitaciones,2010,189
LA RIOJA,Una estrella,Habitaciones,2011,189
LA RIOJA,Una estrella,Habitaciones,2012,189
LA RIOJA,Una estrella,Habitaciones,2013,207
LA RIOJA,Una estrella,Habitaciones,2014,199
LA RIOJA,Una estrella,Habitaciones,2015,199
LA RIOJA,Una estrella,Habitaciones,2016,224
LA RIOJA,Una estrella,Habitaciones,2017,224
LA RIOJA,Una estrella,Habitaciones,2018,224
LA RIOJA,Una estrella,Habitaciones,2019,224
LA RIOJA,Una estrella,Habitaciones,2020,224
LA RIOJA,Una estrella,Habitaciones,2021,229
LA RIOJA,Una estrella,Habitaciones,2022,229
LA RIOJA,Una estrella,Habitaciones,2023,229
LA RIOJA,Una estrella,Habitaciones,2024,229
LA RIOJA,Una estrella,Establecimientos,2009,8
LA RIOJA,Una estrella,Establecimientos,2010,9
LA RIOJA,Una estrella,Establecimientos,2011,9
LA RIOJA,Una estrella,Establecimientos,2012,9
LA RIOJA,Una estrella,Establecimientos,2013,11
LA RIOJA,Una estrella,Establecimientos,2014,10
LA RIOJA,Una estrella,Establecimientos,2015,10
LA RIOJA,Una estrella,Establecimientos,2016,11
LA RIOJA,Una estrella,Establecimientos,2017,11
LA RIOJA,Una estrella,Establecimientos,2018,11
LA RIOJA,Una estrella,Establecimientos,2019,11
LA RIOJA,Una estrella,Establecimientos,2020,11
LA RIOJA,Una estrella,Establecimientos,2021,12
LA RIOJA,Una estrella,Establecimientos,2022,12
LA RIOJA,Una estrella,Establecimientos,2023,12
LA RIOJA,Una estrella,Establecimientos,2024,12
LA RIOJA,Dos estrellas,Plazas,2009,381
LA RIOJA,Dos estrellas,Plazas,2010,409
LA RIOJA,Dos estrellas,Plazas,2011,409
LA RIOJA,Dos estrellas,Plazas,2012,409
LA RIOJA,Dos estrellas,Plazas,2013,350
LA RIOJA,Dos estrellas,Plazas,2014,328
LA RIOJA,Dos estrellas,Plazas,2015,210
LA RIOJA,Dos estrellas,Plazas,2016,223
LA RIOJA,Dos estrellas,Plazas,2017,223
LA RIOJA,Dos estrellas,Plazas,2018,223
LA RIOJA,Dos estrellas,Plazas,2019,253
LA RIOJA,Dos estrellas,Plazas,2020,253
LA RIOJA,Dos estrellas,Plazas,2021,269
LA RIOJA,Dos estrellas,Plazas,2022,287
LA RIOJA,Dos estrellas,Plazas,2023,265
LA RIOJA,Dos estrellas,Plazas,2024,265
LA RIOJA,Dos estrellas,Habitaciones,2009,246
LA RIOJA,Dos estrellas,Habitaciones,2010,260
LA RIOJA,Dos estrellas,Habitaciones,2011,260
LA RIOJA,Dos estrellas,Habitaciones,2012,260
LA RIOJA,Dos estrellas,Habitaciones,2013,214
LA RIOJA,Dos estrellas,Habitaciones,2014,203
LA RIOJA,Dos estrellas,Habitaciones,2015,117
LA RIOJA,Dos estrellas,Habitaciones,2016,124
LA RIOJA,Dos estrellas,Habitaciones,2017,124
LA RIOJA,Dos estrellas,Habitaciones,2018,124
LA RIOJA,Dos estrellas,Habitaciones,2019,139
LA RIOJA,Dos estrellas,Habitaciones,2020,139
LA RIOJA,Dos estrellas,Habitaciones,2021,147
LA RIOJA,Dos estrellas,Habitaciones,2022,156
LA RIOJA,Dos estrellas,Habitaciones,2023,143
LA RIOJA,Dos estrellas,Habitaciones,2024,143
LA RIOJA,Dos estrellas,Establecimientos,2009,9
LA RIOJA,Dos estrellas,Establecimientos,2010,10
LA RIOJA,Dos estrellas,Establecimientos,2011,10
LA RIOJA,Dos estrellas,Establecimientos,2012,10
LA RIOJA,Dos estrellas,Establecimientos,2013,10
LA RIOJA,Dos estrellas,Establecimientos,2014,9
LA RIOJA,Dos estrellas,Establecimientos,2015,8
LA RIOJA,Dos estrellas,Establecimientos,2016,9
LA RIOJA,Dos estrellas,Establecimientos,2017,9
LA RIOJA,Dos estrellas,Establecimientos,2018,9
LA RIOJA,Dos estrellas,Establecimientos,2019,10
LA RIOJA,Dos estrellas,Establecimientos,2020,10
LA RIOJA,Dos estrellas,Establecimientos,2021,11
LA RIOJA,Dos estrellas,Establecimientos,2022,12
LA RIOJA,Dos estrellas,Establecimientos,2023,11
LA RIOJA,Dos estrellas,Establecimientos,2024,11
LA RIOJA,Tres estrellas,Plazas,2009,2226
LA RIOJA,Tres estrellas,Plazas,2010,2349
LA RIOJA,Tres estrellas,Plazas,2011,2349
LA RIOJA,Tres estrellas,Plazas,2012,2363
LA RIOJA,Tres estrellas,Plazas,2013,2387
LA RIOJA,Tres estrellas,Plazas,2014,2412
LA RIOJA,Tres estrellas,Plazas,2015,2503
LA RIOJA,Tres estrellas,Plazas,2016,2527
LA RIOJA,Tres estrellas,Plazas,2017,2527
LA RIOJA,Tres estrellas,Plazas,2018,2503
LA RIOJA,Tres estrellas,Plazas,2019,2407
LA RIOJA,Tres estrellas,Plazas,2020,2268
LA RIOJA,Tres estrellas,Plazas,2021,2059
LA RIOJA,Tres estrellas,Plazas,2022,2352
LA RIOJA,Tres estrellas,Plazas,2023,2219
LA RIOJA,Tres estrellas,Plazas,2024,2219
LA RIOJA,Tres estrellas,Habitaciones,2009,1205
LA RIOJA,Tres estrellas,Habitaciones,2010,1273
LA RIOJA,Tres estrellas,Habitaciones,2011,1273
LA RIOJA,Tres estrellas,Habitaciones,2012,1278
LA RIOJA,Tres estrellas,Habitaciones,2013,1290
LA RIOJA,Tres estrellas,Habitaciones,2014,1303
LA RIOJA,Tres estrellas,Habitaciones,2015,1362
LA RIOJA,Tres estrellas,Habitaciones,2016,1374
LA RIOJA,Tres estrellas,Habitaciones,2017,1374
LA RIOJA,Tres estrellas,Habitaciones,2018,1362
LA RIOJA,Tres estrellas,Habitaciones,2019,1311
LA RIOJA,Tres estrellas,Habitaciones,2020,1235
LA RIOJA,Tres estrellas,Habitaciones,2021,1125
LA RIOJA,Tres estrellas,Habitaciones,2022,1281
LA RIOJA,Tres estrellas,Habitaciones,2023,1211
LA RIOJA,Tres estrellas,Habitaciones,2024,1211
LA RIOJA,Tres estrellas,Establecimientos,2009,33
LA RIOJA,Tres estrellas,Establecimientos,2010,34
LA RIOJA,Tres estrellas,Establecimientos,2011,34
LA RIOJA,Tres estrellas,Establecimientos,2012,35
LA RIOJA,Tres estrellas,Establecimientos,2013,36
LA RIOJA,Tres estrellas,Establecimientos,2014,36
LA RIOJA,Tres estrellas,Establecimientos,2015,38
LA RIOJA,Tres estrellas,Establecimientos,2016,39
LA RIOJA,Tres estrellas,Establecimientos,2017,39
LA RIOJA,Tres estrellas,Establecimientos,2018,38
LA RIOJA,Tres estrellas,Establecimientos,2019,37
LA RIOJA,Tres estrellas,Establecimientos,2020,36
LA RIOJA,Tres estrellas,Establecimientos,2021,35
LA RIOJA,Tres estrellas,Establecimientos,2022,37
LA RIOJA,Tres estrellas,Establecimientos,2023,35
LA RIOJA,Tres estrellas,Establecimientos,2024,35
LA RIOJA,Cuatro estrellas,Plazas,2009,1693
LA RIOJA,Cuatro estrellas,Plazas,2010,1500
LA RIOJA,Cuatro estrellas,Plazas,2011,1500
LA RIOJA,Cuatro estrellas,Plazas,2012,1609
LA RIOJA,Cuatro estrellas,Plazas,2013,1615
LA RIOJA,Cuatro estrellas,Plazas,2014,1555
LA RIOJA,Cuatro estrellas,Plazas,2015,1644
LA RIOJA,Cuatro estrellas,Plazas,2016,1644
LA RIOJA,Cuatro estrellas,Plazas,2017,1644
LA RIOJA,Cuatro estrellas,Plazas,2018,1763
LA RIOJA,Cuatro estrellas,Plazas,2019,1908
LA RIOJA,Cuatro estrellas,Plazas,2020,1956
LA RIOJA,Cuatro estrellas,Plazas,2021,2050
LA RIOJA,Cuatro estrellas,Plazas,2022,2052
LA RIOJA,Cuatro estrellas,Plazas,2023,1964
LA RIOJA,Cuatro estrellas,Plazas,2024,2026
LA RIOJA,Cuatro estrellas,Habitaciones,2009,880
LA RIOJA,Cuatro estrellas,Habitaciones,2010,783
LA RIOJA,Cuatro estrellas,Habitaciones,2011,783
LA RIOJA,Cuatro estrellas,Habitaciones,2012,835
LA RIOJA,Cuatro estrellas,Habitaciones,2013,838
LA RIOJA,Cuatro estrellas,Habitaciones,2014,925
LA RIOJA,Cuatro estrellas,Habitaciones,2015,971
LA RIOJA,Cuatro estrellas,Habitaciones,2016,971
LA RIOJA,Cuatro estrellas,Habitaciones,2017,971
LA RIOJA,Cuatro estrellas,Habitaciones,2018,1031
LA RIOJA,Cuatro estrellas,Habitaciones,2019,1109
LA RIOJA,Cuatro estrellas,Habitaciones,2020,1133
LA RIOJA,Cuatro estrellas,Habitaciones,2021,1072
