Municipio,Categoría turística,Indicador,Periodo,DATA
LA RIOJA,TOTAL,Establecimientos,2009,37
LA RIOJA,TOTAL,Establecimientos,2010,44
LA RIOJA,TOTAL,Establecimientos,2011,44
LA RIOJA,TOTAL,Establecimientos,2012,50
LA RIOJA,TOTAL,Establecimientos,2013,62
LA RIOJA,TOTAL,Establecimientos,2014,80
LA RIOJA,TOTAL,Establecimientos,2015,83
LA RIOJA,TOTAL,Establecimientos,2016,99
LA RIOJA,TOTAL,Establecimientos,2017,102
LA RIOJA,TOTAL,Establecimientos,2018,40
LA RIOJA,TOTAL,Establecimientos,2019,48
LA RIOJA,TOTAL,Establecimientos,2020,57
LA RIOJA,TOTAL,Establecimientos,2021,64
LA RIOJA,TOTAL,Establecimientos,2022,70
LA RIOJA,TOTAL,Establecimientos,2023,77
LA RIOJA,TOTAL,Establecimientos,2024,79
LA RIOJA,TOTAL,Apartamentos,2009,144
LA RIOJA,TOTAL,Apartamentos,2010,154
LA RIOJA,TOTAL,Apartamentos,2011,154
LA RIOJA,TOTAL,Apartamentos,2012,198
LA RIOJA,TOTAL,Apartamentos,2013,233
LA RIOJA,TOTAL,Apartamentos,2014,286
LA RIOJA,TOTAL,Apartamentos,2015,298
LA RIOJA,TOTAL,Apartamentos,2016,323
LA RIOJA,TOTAL,Apartamentos,2017,344
LA RIOJA,TOTAL,Apartamentos,2018,269
LA RIOJA,TOTAL,Apartamentos,2019,318
LA RIOJA,TOTAL,Apartamentos,2020,376
LA RIOJA,TOTAL,Apartamentos,2021,418
LA RIOJA,TOTAL,Apartamentos,2022,445
LA RIOJA,TOTAL,Apartamentos,2023,530
LA RIOJA,TOTAL,Apartamentos,2024,542
LA RIOJA,TOTAL,Plazas,2009,637
LA RIOJA,TOTAL,Plazas,2010,717
LA RIOJA,TOTAL,Plazas,2011,717
LA RIOJA,TOTAL,Plazas,2012,885
LA RIOJA,TOTAL,Plazas,2013,1051
LA RIOJA,TOTAL,Plazas,2014,1254
LA RIOJA,TOTAL,Plazas,2015,1309
LA RIOJA,TOTAL,Plazas,2016,1474
LA RIOJA,TOTAL,Plazas,2017,1534
LA RIOJA,TOTAL,Plazas,2018,1085
LA RIOJA,TOTAL,Plazas,2019,1315
LA RIOJA,TOTAL,Plazas,2020,1583
LA RIOJA,TOTAL,Plazas,2021,1761
LA RIOJA,TOTAL,Plazas,2022,1880
LA RIOJA,TOTAL,Plazas,2023,2192
LA RIOJA,TOTAL,Plazas,2024,2268
LA RIOJA,Una llave,Establecimientos,2009,28
LA RIOJA,Una llave,Establecimientos,2010,33
LA RIOJA,Una llave,Establecimientos,2011,33
LA RIOJA,Una llave,Establecimientos,2012,37
LA RIOJA,Una llave,Establecimientos,2013,50
LA RIOJA,Una llave,Establecimientos,2014,68
LA RIOJA,Una llave,Establecimientos,2015,67
LA RIOJA,Una llave,Establecimientos,2016,82
LA RIOJA,Una llave,Establecimientos,2017,83
LA RIOJA,Una llave,Establecimientos,2018,34
LA RIOJA,Una llave,Establecimientos,2019,41
LA RIOJA,Una llave,Establecimientos,2020,44
LA RIOJA,Una llave,Establecimientos,2021,49
LA RIOJA,Una llave,Establecimientos,2022,55
LA RIOJA,Una llave,Establecimientos,2023,59
LA RIOJA,Una llave,Establecimientos,2024,61
LA RIOJA,Una llave,Apartamentos,2009,124
LA RIOJA,Una llave,Apartamentos,2010,127
LA RIOJA,Una llave,Apartamentos,2011,127
LA RIOJA,Una llave,Apartamentos,2012,167
LA RIOJA,Una llave,Apartamentos,2013,208
LA RIOJA,Una llave,Apartamentos,2014,261
LA RIOJA,Una llave,Apartamentos,2015,256
LA RIOJA,Una llave,Apartamentos,2016,280
LA RIOJA,Una llave,Apartamentos,2017,288
LA RIOJA,Una llave,Apartamentos,2018,234
LA RIOJA,Una llave,Apartamentos,2019,282
LA RIOJA,Una llave,Apartamentos,2020,286
LA RIOJA,Una llave,Apartamentos,2021,305
LA RIOJA,Una llave,Apartamentos,2022,332
LA RIOJA,Una llave,Apartamentos,2023,355
LA RIOJA,Una llave,Apartamentos,2024,367
LA RIOJA,Una llave,Plazas,2009,530
LA RIOJA,Una llave,Plazas,2010,560
LA RIOJA,Una llave,Plazas,2011,560
LA RIOJA,Una llave,Plazas,2012,701
LA RIOJA,Una llave,Plazas,2013,903
LA RIOJA,Una llave,Plazas,2014,1100
LA RIOJA,Una llave,Plazas,2015,1048
LA RIOJA,Una llave,Plazas,2016,1207
LA RIOJA,Una llave,Plazas,2017,1252
LA RIOJA,Una llave,Plazas,2018,913
LA RIOJA,Una llave,Plazas,2019,1162
LA RIOJA,Una llave,Plazas,2020,1169
LA RIOJA,Una llave,Plazas,2021,1258
LA RIOJA,Una llave,Plazas,2022,1377
LA RIOJA,Una llave,Plazas,2023,1470
LA RIOJA,Una llave,Plazas,2024,1546
LA RIOJA,Dos llaves,Establecimientos,2009,7
LA RIOJA,Dos llaves,Establecimientos,2010,8
LA RIOJA,Dos llaves,Establecimientos,2011,8
LA RIOJA,Dos llaves,Establecimientos,2012,10
LA RIOJA,Dos llaves,Establecimientos,2013,10
LA RIOJA,Dos llaves,Establecimientos,2014,11
LA RIOJA,Dos llaves,Establecimientos,2015,11
LA RIOJA,Dos llaves,Establecimientos,2016,11
LA RIOJA,Dos llaves,Establecimientos,2017,12
LA RIOJA,Dos llaves,Establecimientos,2018,4
LA RIOJA,Dos llaves,Establecimientos,2019,7
LA RIOJA,Dos llaves,Establecimientos,2020,7
LA RIOJA,Dos llaves,Establecimientos,2021,9
LA RIOJA,Dos llaves,Establecimientos,2022,9
LA RIOJA,Dos llaves,Establecimientos,2023,11
LA RIOJA,Dos llaves,Establecimientos,2024,11
LA RIOJA,Dos llaves,Apartamentos,2009,14
LA RIOJA,Dos llaves,Apartamentos,2010,15
LA RIOJA,Dos llaves,Apartamentos,2011,15
LA RIOJA,Dos llaves,Apartamentos,2012,19
LA RIOJA,Dos llaves,Apartamentos,2013,19
LA RIOJA,Dos llaves,Apartamentos,2014,21
LA RIOJA,Dos llaves,Apartamentos,2015,21
LA RIOJA,Dos llaves,Apartamentos,2016,21
LA RIOJA,Dos llaves,Apartamentos,2017,33
LA RIOJA,Dos llaves,Apartamentos,2018,20
LA RIOJA,Dos llaves,Apartamentos,2019,36
LA RIOJA,Dos llaves,Apartamentos,2020,36
LA RIOJA,Dos llaves,Apartamentos,2021,55
LA RIOJA,Dos llaves,Apartamentos,2022,55
LA RIOJA,Dos llaves,Apartamentos,2023,105
LA RIOJA,Dos llaves,Apartamentos,2024,105
LA RIOJA,Dos llaves,Plazas,2009,80
LA RIOJA,Dos llaves,Plazas,2010,94
LA RIOJA,Dos llaves,Plazas,2011,94
LA RIOJA,Dos llaves,Plazas,2012,121
LA RIOJA,Dos llaves,Plazas,2013,121
LA RIOJA,Dos llaves,Plazas,2014,139
LA RIOJA,Dos llaves,Plazas,2015,137
LA RIOJA,Dos llaves,Plazas,2016,137
LA RIOJA,Dos llaves,Plazas,2017,138
LA RIOJA,Dos llaves,Plazas,2018,82
LA RIOJA,Dos llaves,Plazas,2019,153
LA RIOJA,Dos llaves,Plazas,2020,153
LA RIOJA,Dos llaves,Plazas,2021,219
LA RIOJA,Dos llaves,Plazas,2022,219
LA RIOJA,Dos llaves,Plazas,2023,435
LA RIOJA,Dos llaves,Plazas,2024,435
LA RIOJA,Tres llaves,Establecimientos,2009,2
LA RIOJA,Tres llaves,Establecimientos,2010,3
LA RIOJA,Tres llaves,Establecimientos,2011,3
LA RIOJA,Tres llaves,Establecimientos,2012,3
LA RIOJA,Tres llaves,Establecimientos,2013,2
LA RIOJA,Tres llaves,Establecimientos,2014,1
LA RIOJA,Tres llaves,Establecimientos,2015,5
LA RIOJA,Tres llaves,Establecimientos,2016,6
LA RIOJA,Tres llaves,Establecimientos,2017,7
LA RIOJA,Tres llaves,Establecimientos,2018,2
LA RIOJA,Tres llaves,Establecimientos,2019,
LA RIOJA,Tres llaves,Establecimientos,2020,6
LA RIOJA,Tres llaves,Establecimientos,2021,6
LA RIOJA,Tres llaves,Establecimientos,2022,6
LA RIOJA,Tres llaves,Establecimientos,2023,7
LA RIOJA,Tres llaves,Establecimientos,2024,7
LA RIOJA,Tres llaves,Apartamentos,2009,6
LA RIOJA,Tres llaves,Apartamentos,2010,12
LA RIOJA,Tres llaves,Apartamentos,2011,12
