Municipio,Tipo de establecimiento,Periodo,DATA
LA RIOJA,Viviendas de uso turístico,2018,480
LA RIOJA,Viviendas de uso turístico,2019,796
LA RIOJA,Viviendas de uso turístico,2020,1042
LA RIOJA,Viviendas de uso turístico,2021,1072
LA RIOJA,Viviendas de uso turístico,2022,1094
LA RIOJA,Viviendas de uso turístico,2023,1272
LA RIOJA,Viviendas de uso turístico,2024,1354
Ábalos,Viviendas de uso turístico,2018,
Ábalos,Viviendas de uso turístico,2019,
Ábalos,Viviendas de uso turístico,2020,
Ábalos,Viviendas de uso turístico,2021,1
Ábalos,Viviendas de uso turístico,2022,1
Ábalos,Viviendas de uso turístico,2023,3
Ábalos,Viviendas de uso turístico,2024,3
Agoncillo,Viviendas de uso turístico,2018,2
Agoncillo,Viviendas de uso turístico,2019,7
Agoncillo,Viviendas de uso turístico,2020,3
Agoncillo,Viviendas de uso turístico,2021,3
Agoncillo,Viviendas de uso turístico,2022,7
Agoncillo,Viviendas de uso turístico,2023,7
Agoncillo,Viviendas de uso turístico,2024,7
Aguilar del Río Alhama,Viviendas de uso turístico,2018,
Aguilar del Río Alhama,Viviendas de uso turístico,2019,
Aguilar del Río Alhama,Viviendas de uso turístico,2020,
Aguilar del Río Alhama,Viviendas de uso turístico,2021,
Aguilar del Río Alhama,Viviendas de uso turístico,2022,
Aguilar del Río Alhama,Viviendas de uso turístico,2023,1
Aguilar del Río Alhama,Viviendas de uso turístico,2024,1
Ajamil de Cameros,Viviendas de uso turístico,2018,
Ajamil de Cameros,Viviendas de uso turístico,2019,
Ajamil de Cameros,Viviendas de uso turístico,2020,
Ajamil de Cameros,Viviendas de uso turístico,2021,
Ajamil de Cameros,Viviendas de uso turístico,2022,
Ajamil de Cameros,Viviendas de uso turístico,2023,
Ajamil de Cameros,Viviendas de uso turístico,2024,
Albelda de Iregua,Viviendas de uso turístico,2018,4
Albelda de Iregua,Viviendas de uso turístico,2019,3
Albelda de Iregua,Viviendas de uso turístico,2020,4
Albelda de Iregua,Viviendas de uso turístico,2021,5
Albelda de Iregua,Viviendas de uso turístico,2022,5
Albelda de Iregua,Viviendas de uso turístico,2023,5
Albelda de Iregua,Viviendas de uso turístico,2024,5
Alberite,Viviendas de uso turístico,2018,3
Alberite,Viviendas de uso turístico,2019,4
Alberite,Viviendas de uso turístico,2020,4
Alberite,Viviendas de uso turístico,2021,5
Alberite,Viviendas de uso turístico,2022,5
Alberite,Viviendas de uso turístico,2023,2
Alberite,Viviendas de uso turístico,2024,2
Alcanadre,Viviendas de uso turístico,2018,3
Alcanadre,Viviendas de uso turístico,2019,3
Alcanadre,Viviendas de uso turístico,2020,3
Alcanadre,Viviendas de uso turístico,2021,3
Alcanadre,Viviendas de uso turístico,2022,3
Alcanadre,Viviendas de uso turístico,2023,4
Alcanadre,Viviendas de uso turístico,2024,4
Aldeanueva de Ebro,Viviendas de uso turístico,2018,1
Aldeanueva de Ebro,Viviendas de uso turístico,2019,1
Aldeanueva de Ebro,Viviendas de uso turístico,2020,2
Aldeanueva de Ebro,Viviendas de uso turístico,2021,
Aldeanueva de Ebro,Viviendas de uso turístico,2022,
Aldeanueva de Ebro,Viviendas de uso turístico,2023,2
Aldeanueva de Ebro,Viviendas de uso turístico,2024,2
Alesanco,Viviendas de uso turístico,2018,2
Alesanco,Viviendas de uso turístico,2019,4
Alesanco,Viviendas de uso turístico,2020,3
Alesanco,Viviendas de uso turístico,2021,3
Alesanco,Viviendas de uso turístico,2022,3
Alesanco,Viviendas de uso turístico,2023,3
Alesanco,Viviendas de uso turístico,2024,3
Alesón,Viviendas de uso turístico,2018,1
Alesón,Viviendas de uso turístico,2019,1
Alesón,Viviendas de uso turístico,2020,1
Alesón,Viviendas de uso turístico,2021,1
Alesón,Viviendas de uso turístico,2022,1
Alesón,Viviendas de uso turístico,2023,1
Alesón,Viviendas de uso turístico,2024,1
Alfaro,Viviendas de uso turístico,2018,1
Alfaro,Viviendas de uso turístico,2019,3
Alfaro,Viviendas de uso turístico,2020,2
Alfaro,Viviendas de uso turístico,2021,2
Alfaro,Viviendas de uso turístico,2022,2
Alfaro,Viviendas de uso turístico,2023,4
Alfaro,Viviendas de uso turístico,2024,4
Almarza de Cameros,Viviendas de uso turístico,2018,
Almarza de Cameros,Viviendas de uso turístico,2019,
Almarza de Cameros,Viviendas de uso turístico,2020,
Almarza de Cameros,Viviendas de uso turístico,2021,
Almarza de Cameros,Viviendas de uso turístico,2022,
Almarza de Cameros,Viviendas de uso turístico,2023,
Almarza de Cameros,Viviendas de uso turístico,2024,
Anguciana,Viviendas de uso turístico,2018,
Anguciana,Viviendas de uso turístico,2019,2
Anguciana,Viviendas de uso turístico,2020,3
Anguciana,Viviendas de uso turístico,2021,3
Anguciana,Viviendas de uso turístico,2022,3
Anguciana,Viviendas de uso turístico,2023,4
Anguciana,Viviendas de uso turístico,2024,4
Anguiano,Viviendas de uso turístico,2018,1
Anguiano,Viviendas de uso turístico,2019,2
Anguiano,Viviendas de uso turístico,2020,1
Anguiano,Viviendas de uso turístico,2021,2
Anguiano,Viviendas de uso turístico,2022,2
Anguiano,Viviendas de uso turístico,2023,2
Anguiano,Viviendas de uso turístico,2024,2
Arenzana de Abajo,Viviendas de uso turístico,2018,
Arenzana de Abajo,Viviendas de uso turístico,2019,
Arenzana de Abajo,Viviendas de uso turístico,2020,1
Arenzana de Abajo,Viviendas de uso turístico,2021,1
Arenzana de Abajo,Viviendas de uso turístico,2022,1
Arenzana de Abajo,Viviendas de uso turístico,2023,1
Arenzana de Abajo,Viviendas de uso turístico,2024,1
Arenzana de Arriba,Viviendas de uso turístico,2018,
Arenzana de Arriba,Viviendas de uso turístico,2019,
Arenzana de Arriba,Viviendas de uso turístico,2020,
Arenzana de Arriba,Viviendas de uso turístico,2021,
Arenzana de Arriba,Viviendas de uso turístico,2022,
Arenzana de Arriba,Viviendas de uso turístico,2023,
Arenzana de Arriba,Viviendas de uso turístico,2024,
Arnedillo,Viviendas de uso turístico,2018,8
Arnedillo,Viviendas de uso turístico,2019,13
Arnedillo,Viviendas de uso turístico,2020,12
Arnedillo,Viviendas de uso turístico,2021,12
Arnedillo,Viviendas de uso turístico,2022,12
Arnedillo,Viviendas de uso turístico,2023,17
Arnedillo,Viviendas de uso turístico,2024,19
Arnedo,Viviendas de uso turístico,2018,3
Arnedo,Viviendas de uso turístico,2019,3
Arnedo,Viviendas de uso turístico,2020,4
Arnedo,Viviendas de uso turístico,2021,5
Arnedo,Viviendas de uso turístico,2022,5
Arnedo,Viviendas de uso turístico,2023,6
Arnedo,Viviendas de uso turístico,2024,6
Arrúbal,Viviendas de uso turístico,2018,
Arrúbal,Viviendas de uso turístico,2019,
Arrúbal,Viviendas de uso turístico,2020,1
Arrúbal,Viviendas de uso turístico,2021,1
Arrúbal,Viviendas de uso turístico,2022,1
Arrúbal,Viviendas de uso turístico,2023,1
Arrúbal,Viviendas de uso turístico,2024,1
Ausejo,Viviendas de uso turístico,2018,1
Ausejo,Viviendas de uso turístico,2019,1
Ausejo,Viviendas de uso turístico,2020,
Ausejo,Viviendas de uso turístico,2021,
Ausejo,Viviendas de uso turístico,2022,
Ausejo,Viviendas de uso turístico,2023,
Ausejo,Viviendas de uso turístico,2024,
Autol,Viviendas de uso turístico,2018,
Autol,Viviendas de uso turístico,2019,
Autol,Viviendas de uso turístico,2020,
Autol,Viviendas de uso turístico,2021,
Autol,Viviendas de uso turístico,2022,
Autol,Viviendas de uso turístico,2023,
Autol,Viviendas de uso turístico,2024,
Azofra,Viviendas de uso turístico,2018,
Azofra,Viviendas de uso turístico,2019,
Azofra,Viviendas de uso turístico,2020,
Azofra,Viviendas de uso turístico,2021,
Azofra,Viviendas de uso turístico,2022,
Azofra,Viviendas de uso turístico,2023,
Azofra,Viviendas de uso turístico,2024,
Badarán,Viviendas de uso turístico,2018,2
Badarán,Viviendas de uso turístico,2019,2
Badarán,Viviendas de uso turístico,2020,2
Badarán,Viviendas de uso turístico,2021,3
Badarán,Viviendas de uso turístico,2022,3
Badarán,Viviendas de uso turístico,2023,3
Badarán,Viviendas de uso turístico,2024,3
Bańares,Viviendas de uso turístico,2018,
Bańares,Viviendas de uso turístico,2019,
Bańares,Viviendas de uso turístico,2020,
Bańares,Viviendas de uso turístico,2021,1
Bańares,Viviendas de uso turístico,2022,1
Bańares,Viviendas de uso turístico,2023,1
Bańares,Viviendas de uso turístico,2024,1
Bańos de Rioja,Viviendas de uso turístico,2018,
Bańos de Rioja,Viviendas de uso turístico,2019,
Bańos de Rioja,Viviendas de uso turístico,2020,
Bańos de Rioja,Viviendas de uso turístico,2021,
Bańos de Rioja,Viviendas de uso turístico,2022,
Bańos de Rioja,Viviendas de uso turístico,2023,
Bańos de Rioja,Viviendas de uso turístico,2024,
Bańos de Río Tobía,Viviendas de uso turístico,2018,3
Bańos de Río Tobía,Viviendas de uso turístico,2019,3
Bańos de Río Tobía,Viviendas de uso turístico,2020,3
Bańos de Río Tobía,Viviendas de uso turístico,2021,3
Bańos de Río Tobía,Viviendas de uso turístico,2022,3
Bańos de Río Tobía,Viviendas de uso turístico,2023,3
Bańos de Río Tobía,Viviendas de uso turístico,2024,3
Berceo,Viviendas de uso turístico,2018,
Berceo,Viviendas de uso turístico,2019,
Berceo,Viviendas de uso turístico,2020,1
Berceo,Viviendas de uso turístico,2021,1
Berceo,Viviendas de uso turístico,2022,1
Berceo,Viviendas de uso turístico,2023,1
Berceo,Viviendas de uso turístico,2024,1
Bergasa,Viviendas de uso turístico,2018,
Bergasa,Viviendas de uso turístico,2019,
Bergasa,Viviendas de uso turístico,2020,
Bergasa,Viviendas de uso turístico,2021,
Bergasa,Viviendas de uso turístico,2022,
Bergasa,Viviendas de uso turístico,2023,
Bergasa,Viviendas de uso turístico,2024,
Bergasillas Bajera,Viviendas de uso turístico,2018,
Bergasillas Bajera,Viviendas de uso turístico,2019,
