Municipio,Categoría turística,Indicador,Periodo,DATA
LA RIOJA,TOTAL,Plazas,2009,6252
LA RIOJA,TOTAL,Plazas,2010,6252
LA RIOJA,TOTAL,Plazas,2011,6252
LA RIOJA,TOTAL,Plazas,2012,6252
LA RIOJA,TOTAL,Plazas,2013,6252
LA RIOJA,TOTAL,Plazas,2014,6640
LA RIOJA,TOTAL,Plazas,2015,6676
LA RIOJA,TOTAL,Plazas,2016,7980
LA RIOJA,TOTAL,Plazas,2017,7980
LA RIOJA,TOTAL,Plazas,2018,7928
LA RIOJA,TOTAL,Plazas,2019,8087
LA RIOJA,TOTAL,Plazas,2020,7995
LA RIOJA,TOTAL,Plazas,2021,7995
LA RIOJA,TOTAL,Plazas,2022,7995
LA RIOJA,TOTAL,Plazas,2023,7995
LA RIOJA,TOTAL,Establecimientos,2009,9
LA RIOJA,TOTAL,Establecimientos,2010,9
LA RIOJA,TOTAL,Establecimientos,2011,9
LA RIOJA,TOTAL,Establecimientos,2012,9
LA RIOJA,TOTAL,Establecimientos,2013,9
LA RIOJA,TOTAL,Establecimientos,2014,9
LA RIOJA,TOTAL,Establecimientos,2015,9
LA RIOJA,TOTAL,Establecimientos,2016,9
LA RIOJA,TOTAL,Establecimientos,2017,9
LA RIOJA,TOTAL,Establecimientos,2018,9
LA RIOJA,TOTAL,Establecimientos,2019,9
LA RIOJA,TOTAL,Establecimientos,2020,8
LA RIOJA,TOTAL,Establecimientos,2021,8
LA RIOJA,TOTAL,Establecimientos,2022,8
LA RIOJA,TOTAL,Establecimientos,2023,8
LA RIOJA,Primera categoría,Plazas,2009,4686
LA RIOJA,Primera categoría,Plazas,2010,4686
LA RIOJA,Primera categoría,Plazas,2011,4686
LA RIOJA,Primera categoría,Plazas,2012,4686
LA RIOJA,Primera categoría,Plazas,2013,4686
LA RIOJA,Primera categoría,Plazas,2014,5074
LA RIOJA,Primera categoría,Plazas,2015,4828
LA RIOJA,Primera categoría,Plazas,2016,6132
LA RIOJA,Primera categoría,Plazas,2017,6132
LA RIOJA,Primera categoría,Plazas,2018,7016
LA RIOJA,Primera categoría,Plazas,2019,7243
LA RIOJA,Primera categoría,Plazas,2020,7243
LA RIOJA,Primera categoría,Plazas,2021,7243
LA RIOJA,Primera categoría,Plazas,2022,7243
LA RIOJA,Primera categoría,Plazas,2023,7243
LA RIOJA,Primera categoría,Establecimientos,2009,6
LA RIOJA,Primera categoría,Establecimientos,2010,6
LA RIOJA,Primera categoría,Establecimientos,2011,6
LA RIOJA,Primera categoría,Establecimientos,2012,6
LA RIOJA,Primera categoría,Establecimientos,2013,6
LA RIOJA,Primera categoría,Establecimientos,2014,6
LA RIOJA,Primera categoría,Establecimientos,2015,5
LA RIOJA,Primera categoría,Establecimientos,2016,5
LA RIOJA,Primera categoría,Establecimientos,2017,5
LA RIOJA,Primera categoría,Establecimientos,2018,6
LA RIOJA,Primera categoría,Establecimientos,2019,6
LA RIOJA,Primera categoría,Establecimientos,2020,6
LA RIOJA,Primera categoría,Establecimientos,2021,6
LA RIOJA,Primera categoría,Establecimientos,2022,6
LA RIOJA,Primera categoría,Establecimientos,2023,6
LA RIOJA,Segunda categoría,Plazas,2009,1412
LA RIOJA,Segunda categoría,Plazas,2010,1412
LA RIOJA,Segunda categoría,Plazas,2011,1412
LA RIOJA,Segunda categoría,Plazas,2012,1412
LA RIOJA,Segunda categoría,Plazas,2013,1412
LA RIOJA,Segunda categoría,Plazas,2014,1412
LA RIOJA,Segunda categoría,Plazas,2015,1694
