Municipio,Categoría turística,Indicador,Periodo,DATA
LA RIOJA,TOTAL,Establecimientos,2009,107
LA RIOJA,TOTAL,Establecimientos,2010,112
LA RIOJA,TOTAL,Establecimientos,2011,112
LA RIOJA,TOTAL,Establecimientos,2012,124
LA RIOJA,TOTAL,Establecimientos,2013,130
LA RIOJA,TOTAL,Establecimientos,2014,130
LA RIOJA,TOTAL,Establecimientos,2015,128
LA RIOJA,TOTAL,Establecimientos,2016,129
LA RIOJA,TOTAL,Establecimientos,2017,132
LA RIOJA,TOTAL,Establecimientos,2018,133
LA RIOJA,TOTAL,Establecimientos,2019,132
LA RIOJA,TOTAL,Establecimientos,2020,130
LA RIOJA,TOTAL,Establecimientos,2021,128
LA RIOJA,TOTAL,Establecimientos,2022,130
LA RIOJA,TOTAL,Establecimientos,2023,129
LA RIOJA,TOTAL,Establecimientos,2024,130
LA RIOJA,TOTAL,Plazas,2009,990
LA RIOJA,TOTAL,Plazas,2010,1047
LA RIOJA,TOTAL,Plazas,2011,1047
LA RIOJA,TOTAL,Plazas,2012,1146
LA RIOJA,TOTAL,Plazas,2013,1181
LA RIOJA,TOTAL,Plazas,2014,1185
LA RIOJA,TOTAL,Plazas,2015,1161
LA RIOJA,TOTAL,Plazas,2016,1172
LA RIOJA,TOTAL,Plazas,2017,1199
LA RIOJA,TOTAL,Plazas,2018,1199
LA RIOJA,TOTAL,Plazas,2019,1192
LA RIOJA,TOTAL,Plazas,2020,1222
LA RIOJA,TOTAL,Plazas,2021,1237
LA RIOJA,TOTAL,Plazas,2022,1223
LA RIOJA,TOTAL,Plazas,2023,1224
LA RIOJA,TOTAL,Plazas,2024,1232
LA RIOJA,TOTAL,Habitaciones,2009,507
LA RIOJA,TOTAL,Habitaciones,2010,537
LA RIOJA,TOTAL,Habitaciones,2011,537
LA RIOJA,TOTAL,Habitaciones,2012,588
LA RIOJA,TOTAL,Habitaciones,2013,606
LA RIOJA,TOTAL,Habitaciones,2014,609
LA RIOJA,TOTAL,Habitaciones,2015,604
LA RIOJA,TOTAL,Habitaciones,2016,613
LA RIOJA,TOTAL,Habitaciones,2017,640
LA RIOJA,TOTAL,Habitaciones,2018,641
LA RIOJA,TOTAL,Habitaciones,2019,644
LA RIOJA,TOTAL,Habitaciones,2020,668
LA RIOJA,TOTAL,Habitaciones,2021,647
LA RIOJA,TOTAL,Habitaciones,2022,698
LA RIOJA,TOTAL,Habitaciones,2023,693
LA RIOJA,TOTAL,Habitaciones,2024,697
LA RIOJA,Alquiler completo,Establecimientos,2009,16
LA RIOJA,Alquiler completo,Establecimientos,2010,18
LA RIOJA,Alquiler completo,Establecimientos,2011,18
LA RIOJA,Alquiler completo,Establecimientos,2012,28
LA RIOJA,Alquiler completo,Establecimientos,2013,34
LA RIOJA,Alquiler completo,Establecimientos,2014,38
LA RIOJA,Alquiler completo,Establecimientos,2015,38
LA RIOJA,Alquiler completo,Establecimientos,2016,41
LA RIOJA,Alquiler completo,Establecimientos,2017,44
LA RIOJA,Alquiler completo,Establecimientos,2018,46
LA RIOJA,Alquiler completo,Establecimientos,2019,46
LA RIOJA,Alquiler completo,Establecimientos,2020,43
LA RIOJA,Alquiler completo,Establecimientos,2021,43
LA RIOJA,Alquiler completo,Establecimientos,2022,45
LA RIOJA,Alquiler completo,Establecimientos,2023,44
LA RIOJA,Alquiler completo,Establecimientos,2024,45
LA RIOJA,Alquiler completo,Plazas,2009,140
LA RIOJA,Alquiler completo,Plazas,2010,154
LA RIOJA,Alquiler completo,Plazas,2011,154
LA RIOJA,Alquiler completo,Plazas,2012,231
LA RIOJA,Alquiler completo,Plazas,2013,268
LA RIOJA,Alquiler completo,Plazas,2014,299
LA RIOJA,Alquiler completo,Plazas,2015,295
LA RIOJA,Alquiler completo,Plazas,2016,316
LA RIOJA,Alquiler completo,Plazas,2017,343
LA RIOJA,Alquiler completo,Plazas,2018,349
LA RIOJA,Alquiler completo,Plazas,2019,348
LA RIOJA,Alquiler completo,Plazas,2020,331
LA RIOJA,Alquiler completo,Plazas,2021,364
LA RIOJA,Alquiler completo,Plazas,2022,366
LA RIOJA,Alquiler completo,Plazas,2023,367
