Municipio,Categoría turística,Indicador,Periodo,DATA
LA RIOJA,Total restaurantes,Establecimientos,2019,547
LA RIOJA,Total restaurantes,Establecimientos,2020,561
LA RIOJA,Total restaurantes,Establecimientos,2021,555
LA RIOJA,Total restaurantes,Establecimientos,2022,561
LA RIOJA,Total restaurantes,Establecimientos,2023,568
LA RIOJA,Total restaurantes,Establecimientos,2024,573
LA RIOJA,Total restaurantes,Plazas,2019,34552
LA RIOJA,Total restaurantes,Plazas,2020,35595
LA RIOJA,Total restaurantes,Plazas,2021,35252
LA RIOJA,Total restaurantes,Plazas,2022,35628
LA RIOJA,Total restaurantes,Plazas,2023,36172
LA RIOJA,Total restaurantes,Plazas,2024,36318
LA RIOJA,- De los cuales en bodega,Establecimientos,2019,14
LA RIOJA,- De los cuales en bodega,Establecimientos,2020,14
LA RIOJA,- De los cuales en bodega,Establecimientos,2021,15
LA RIOJA,- De los cuales en bodega,Establecimientos,2022,15
LA RIOJA,- De los cuales en bodega,Establecimientos,2023,15
LA RIOJA,- De los cuales en bodega,Establecimientos,2024,15
LA RIOJA,- De los cuales en bodega,Plazas,2019,887
LA RIOJA,- De los cuales en bodega,Plazas,2020,887
LA RIOJA,- De los cuales en bodega,Plazas,2021,942
LA RIOJA,- De los cuales en bodega,Plazas,2022,942
LA RIOJA,- De los cuales en bodega,Plazas,2023,942
LA RIOJA,- De los cuales en bodega,Plazas,2024,942
Ábalos,Total restaurantes,Establecimientos,2019,2
Ábalos,Total restaurantes,Establecimientos,2020,2
Ábalos,Total restaurantes,Establecimientos,2021,2
Ábalos,Total restaurantes,Establecimientos,2022,2
Ábalos,Total restaurantes,Establecimientos,2023,2
Ábalos,Total restaurantes,Establecimientos,2024,2
Ábalos,Total restaurantes,Plazas,2019,86
Ábalos,Total restaurantes,Plazas,2020,86
Ábalos,Total restaurantes,Plazas,2021,86
Ábalos,Total restaurantes,Plazas,2022,86
Ábalos,Total restaurantes,Plazas,2023,86
Ábalos,Total restaurantes,Plazas,2024,86
Ábalos,- De los cuales en bodega,Establecimientos,2019,1
Ábalos,- De los cuales en bodega,Establecimientos,2020,1
Ábalos,- De los cuales en bodega,Establecimientos,2021,1
Ábalos,- De los cuales en bodega,Establecimientos,2022,1
Ábalos,- De los cuales en bodega,Establecimientos,2023,1
Ábalos,- De los cuales en bodega,Establecimientos,2024,1
Ábalos,- De los cuales en bodega,Plazas,2019,65
Ábalos,- De los cuales en bodega,Plazas,2020,65
Ábalos,- De los cuales en bodega,Plazas,2021,65
Ábalos,- De los cuales en bodega,Plazas,2022,65
Ábalos,- De los cuales en bodega,Plazas,2023,65
Ábalos,- De los cuales en bodega,Plazas,2024,65
Agoncillo,Total restaurantes,Establecimientos,2019,3
Agoncillo,Total restaurantes,Establecimientos,2020,3
