Municipio,Indicador,Periodo,DATA
LA RIOJA,Plazas Totales,2009,31796
LA RIOJA,Plazas Totales,2010,32171
LA RIOJA,Plazas Totales,2011,32171
LA RIOJA,Plazas Totales,2012,32859
LA RIOJA,Plazas Totales,2013,33467
LA RIOJA,Plazas Totales,2014,33458
LA RIOJA,Plazas Totales,2015,33885
LA RIOJA,Plazas Totales,2016,34072
LA RIOJA,Plazas Totales,2017,34330
LA RIOJA,Plazas Totales,2018,34584
LA RIOJA,Plazas Totales,2019,34552
LA RIOJA,Plazas Totales,2020,35595
LA RIOJA,Plazas Totales,2021,35252
LA RIOJA,Plazas Totales,2022,35628
LA RIOJA,Plazas Totales,2023,36172
LA RIOJA,Plazas Totales,2024,36318
LA RIOJA,Plazas / 1000 habitantes,2009,98.84
LA RIOJA,Plazas / 1000 habitantes,2010,99.78
LA RIOJA,Plazas / 1000 habitantes,2011,99.61
LA RIOJA,Plazas / 1000 habitantes,2012,101.54
LA RIOJA,Plazas / 1000 habitantes,2013,103.93
LA RIOJA,Plazas / 1000 habitantes,2014,104.88
LA RIOJA,Plazas / 1000 habitantes,2015,106.87
LA RIOJA,Plazas / 1000 habitantes,2016,107.89
LA RIOJA,Plazas / 1000 habitantes,2017,108.85
LA RIOJA,Plazas / 1000 habitantes,2018,109.56
LA RIOJA,Plazas / 1000 habitantes,2019,109.07
LA RIOJA,Plazas / 1000 habitantes,2020,111.26
LA RIOJA,Plazas / 1000 habitantes,2021,110.23
LA RIOJA,Plazas / 1000 habitantes,2022,111.38
LA RIOJA,Plazas / 1000 habitantes,2023,112.24
LA RIOJA,Plazas / 1000 habitantes,2024,
Ábalos,Plazas Totales,2009,65
Ábalos,Plazas Totales,2010,65
Ábalos,Plazas Totales,2011,65
Ábalos,Plazas Totales,2012,65
Ábalos,Plazas Totales,2013,65
Ábalos,Plazas Totales,2014,65
Ábalos,Plazas Totales,2015,65
Ábalos,Plazas Totales,2016,65
Ábalos,Plazas Totales,2017,65
Ábalos,Plazas Totales,2018,65
Ábalos,Plazas Totales,2019,86
Ábalos,Plazas Totales,2020,86
Ábalos,Plazas Totales,2021,86
Ábalos,Plazas Totales,2022,86
Ábalos,Plazas Totales,2023,86
Ábalos,Plazas Totales,2024,86
Ábalos,Plazas / 1000 habitantes,2009,167.96
Ábalos,Plazas / 1000 habitantes,2010,176.15
Ábalos,Plazas / 1000 habitantes,2011,178.57
Ábalos,Plazas / 1000 habitantes,2012,182.07
Ábalos,Plazas / 1000 habitantes,2013,186.78
Ábalos,Plazas / 1000 habitantes,2014,221.09
Ábalos,Plazas / 1000 habitantes,2015,257.94
Ábalos,Plazas / 1000 habitantes,2016,261.04
Ábalos,Plazas / 1000 habitantes,2017,261.04
Ábalos,Plazas / 1000 habitantes,2018,254.9
Ábalos,Plazas / 1000 habitantes,2019,334.63
Ábalos,Plazas / 1000 habitantes,2020,337.25
Ábalos,Plazas / 1000 habitantes,2021,346.77
Ábalos,Plazas / 1000 habitantes,2022,330.77
Ábalos,Plazas / 1000 habitantes,2023,330.77
Ábalos,Plazas / 1000 habitantes,2024,
Agoncillo,Plazas Totales,2009,518
