Motivo del viaje,Indicador,Periodo,DATA
TOTAL,Gasto total,2016,93087.88
TOTAL,Gasto total,2017,101962.17
TOTAL,Gasto total,2018,101126.5
TOTAL,Gasto total,2019,98201.73
TOTAL,Gasto total,2020,21835.28
TOTAL,Gasto total,2021,42027.48
TOTAL,Gasto total,2022,108604.09
TOTAL,Gasto total,2023,86729.82
TOTAL,Gasto medio por persona,2016,650.63
TOTAL,Gasto medio por persona,2017,778.49
TOTAL,Gasto medio por persona,2018,707.54
TOTAL,Gasto medio por persona,2019,703.97
TOTAL,Gasto medio por persona,2020,481.43
TOTAL,Gasto medio por persona,2021,877.16
TOTAL,Gasto medio por persona,2022,966.32
TOTAL,Gasto medio por persona,2023,733.71
TOTAL,Gasto medio diario por persona,2016,98.8
TOTAL,Gasto medio diario por persona,2017,99.29
TOTAL,Gasto medio diario por persona,2018,104.29
TOTAL,Gasto medio diario por persona,2019,103.32
TOTAL,Gasto medio diario por persona,2020,73.44
TOTAL,Gasto medio diario por persona,2021,116.83
TOTAL,Gasto medio diario por persona,2022,134.45
TOTAL,Gasto medio diario por persona,2023,131.99
TOTAL,Duración media de los viajes,2016,6.59
TOTAL,Duración media de los viajes,2017,7.84
TOTAL,Duración media de los viajes,2018,6.78
TOTAL,Duración media de los viajes,2019,6.81
TOTAL,Duración media de los viajes,2020,6.56
TOTAL,Duración media de los viajes,2021,7.51
TOTAL,Duración media de los viajes,2022,7.19
TOTAL,Duración media de los viajes,2023,5.56
"Ocio, recreo y vacaciones",Gasto total,2016,39232.44
"Ocio, recreo y vacaciones",Gasto total,2017,55458.02
"Ocio, recreo y vacaciones",Gasto total,2018,52469.7
"Ocio, recreo y vacaciones",Gasto total,2019,58276.35
"Ocio, recreo y vacaciones",Gasto total,2020,10229.85
"Ocio, recreo y vacaciones",Gasto total,2021,21035.59
"Ocio, recreo y vacaciones",Gasto total,2022,59445.82
"Ocio, recreo y vacaciones",Gasto total,2023,36179.05
"Ocio, recreo y vacaciones",Gasto medio por persona,2016,481.26
"Ocio, recreo y vacaciones",Gasto medio por persona,2017,650.13
"Ocio, recreo y vacaciones",Gasto medio por persona,2018,797.28
"Ocio, recreo y vacaciones",Gasto medio por persona,2019,706.17
"Ocio, recreo y vacaciones",Gasto medio por persona,2020,580.27
"Ocio, recreo y vacaciones",Gasto medio por persona,2021,794.36
"Ocio, recreo y vacaciones",Gasto medio por persona,2022,993.66
"Ocio, recreo y vacaciones",Gasto medio por persona,2023,959.1
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2016,95.27
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2017,144.49
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2018,119.58
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2019,128.54
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2020,70.16
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2021,152.48
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2022,196.08
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2023,156.65
"Ocio, recreo y vacaciones",Duración media de los viajes,2016,5.05
