Tipo de gasto,Periodo,DATA
TOTAL,2016,93087.88
TOTAL,2017,101962.17
TOTAL,2018,101126.5
TOTAL,2019,98201.73
TOTAL,2020,21835.28
TOTAL,2021,42027.48
TOTAL,2022,108604.09
TOTAL,2023,86729.82
Gasto en paquete turístico,2016,7425.98
Gasto en paquete turístico,2017,1225.69
Gasto en paquete turístico,2018,3351.39
Gasto en paquete turístico,2019,4893.82
Gasto en paquete turístico,2020,0
Gasto en paquete turístico,2021,934.58
Gasto en paquete turístico,2022,707.33
Gasto en paquete turístico,2023,0.96
Gasto en transporte,2016,21250.75
Gasto en transporte,2017,31671.72
Gasto en transporte,2018,24390.25
Gasto en transporte,2019,21126.7
Gasto en transporte,2020,2973.94
Gasto en transporte,2021,7166.91
Gasto en transporte,2022,23793.02
Gasto en transporte,2023,23685.41
Gasto en alojamiento,2016,14751.71
Gasto en alojamiento,2017,13865.22
Gasto en alojamiento,2018,15301.56
Gasto en alojamiento,2019,14261.12
Gasto en alojamiento,2020,3247.47
Gasto en alojamiento,2021,8898.29
Gasto en alojamiento,2022,19166.54
Gasto en alojamiento,2023,11902.08
Otros gastos,2016,49659.45
Otros gastos,2017,55199.55
Otros gastos,2018,58083.3
Otros gastos,2019,57920.1
Otros gastos,2020,15613.87
Otros gastos,2021,25027.71
Otros gastos,2022,64937.2
Otros gastos,2023,51141.37
