Duración del viaje,Indicador,Periodo,DATA,Fecha
TOTAL,Gasto total,2016,93087.88,2016-01-01
TOTAL,Gasto total,2017,101962.17,2017-01-01
TOTAL,Gasto total,2018,101126.5,2018-01-01
TOTAL,Gasto total,2019,98201.73,2019-01-01
TOTAL,Gasto total,2020,21835.28,2020-01-01
TOTAL,Gasto total,2021,42027.48,2021-01-01
TOTAL,Gasto total,2022,108604.09,2022-01-01
TOTAL,Gasto total,2023,86729.82,2023-01-01
TOTAL,Gasto medio por persona,2016,650.63,2016-01-01
TOTAL,Gasto medio por persona,2017,778.49,2017-01-01
TOTAL,Gasto medio por persona,2018,707.54,2018-01-01
TOTAL,Gasto medio por persona,2019,703.97,2019-01-01
TOTAL,Gasto medio por persona,2020,481.43,2020-01-01
TOTAL,Gasto medio por persona,2021,877.16,2021-01-01
TOTAL,Gasto medio por persona,2022,966.32,2022-01-01
TOTAL,Gasto medio por persona,2023,733.71,2023-01-01
TOTAL,Gasto medio diario por persona,2016,98.8,2016-01-01
TOTAL,Gasto medio diario por persona,2017,99.29,2017-01-01
TOTAL,Gasto medio diario por persona,2018,104.29,2018-01-01
TOTAL,Gasto medio diario por persona,2019,103.32,2019-01-01
TOTAL,Gasto medio diario por persona,2020,73.44,2020-01-01
TOTAL,Gasto medio diario por persona,2021,116.83,2021-01-01
TOTAL,Gasto medio diario por persona,2022,134.45,2022-01-01
TOTAL,Gasto medio diario por persona,2023,131.99,2023-01-01
TOTAL,Duración media de los viajes,2016,6.59,2016-01-01
TOTAL,Duración media de los viajes,2017,7.84,2017-01-01
TOTAL,Duración media de los viajes,2018,6.78,2018-01-01
TOTAL,Duración media de los viajes,2019,6.81,2019-01-01
TOTAL,Duración media de los viajes,2020,6.56,2020-01-01
TOTAL,Duración media de los viajes,2021,7.51,2021-01-01
TOTAL,Duración media de los viajes,2022,7.19,2022-01-01
TOTAL,Duración media de los viajes,2023,5.56,2023-01-01
De 1 a 3 noches,Gasto total,2016,23493.61,2016-01-01
De 1 a 3 noches,Gasto total,2017,31398.8,2017-01-01
De 1 a 3 noches,Gasto total,2018,29500.06,2018-01-01
De 1 a 3 noches,Gasto total,2019,20183.82,2019-01-01
De 1 a 3 noches,Gasto total,2020,6951.42,2020-01-01
De 1 a 3 noches,Gasto total,2021,4119.38,2021-01-01
De 1 a 3 noches,Gasto total,2022,19789.83,2022-01-01
De 1 a 3 noches,Gasto total,2023,23685.71,2023-01-01
De 1 a 3 noches,Gasto medio por persona,2016,283.94,2016-01-01
De 1 a 3 noches,Gasto medio por persona,2017,463.79,2017-01-01
De 1 a 3 noches,Gasto medio por persona,2018,398.45,2018-01-01
De 1 a 3 noches,Gasto medio por persona,2019,328.83,2019-01-01
De 1 a 3 noches,Gasto medio por persona,2020,300.14,2020-01-01
De 1 a 3 noches,Gasto medio por persona,2021,302.51,2021-01-01
De 1 a 3 noches,Gasto medio por persona,2022,419.41,2022-01-01
De 1 a 3 noches,Gasto medio por persona,2023,423.93,2023-01-01
De 1 a 3 noches,Gasto medio diario por persona,2016,156.56,2016-01-01
De 1 a 3 noches,Gasto medio diario por persona,2017,265.65,2017-01-01
De 1 a 3 noches,Gasto medio diario por persona,2018,181.34,2018-01-01
De 1 a 3 noches,Gasto medio diario por persona,2019,158.71,2019-01-01
De 1 a 3 noches,Gasto medio diario por persona,2020,206.71,2020-01-01
De 1 a 3 noches,Gasto medio diario por persona,2021,167.81,2021-01-01
De 1 a 3 noches,Gasto medio diario por persona,2022,208.42,2022-01-01
De 1 a 3 noches,Gasto medio diario por persona,2023,240.49,2023-01-01
De 1 a 3 noches,Duración media de los viajes,2016,1.81,2016-01-01
De 1 a 3 noches,Duración media de los viajes,2017,1.75,2017-01-01
De 1 a 3 noches,Duración media de los viajes,2018,2.2,2018-01-01
De 1 a 3 noches,Duración media de los viajes,2019,2.07,2019-01-01
De 1 a 3 noches,Duración media de los viajes,2020,1.45,2020-01-01
De 1 a 3 noches,Duración media de los viajes,2021,1.8,2021-01-01
De 1 a 3 noches,Duración media de los viajes,2022,2.01,2022-01-01
De 1 a 3 noches,Duración media de los viajes,2023,1.76,2023-01-01
Más de 3 noches,Gasto total,2016,69594.27,2016-01-01
Más de 3 noches,Gasto total,2017,70563.37,2017-01-01
Más de 3 noches,Gasto total,2018,71626.44,2018-01-01
Más de 3 noches,Gasto total,2019,78017.91,2019-01-01
Más de 3 noches,Gasto total,2020,14883.86,2020-01-01
Más de 3 noches,Gasto total,2021,37908.1,2021-01-01
Más de 3 noches,Gasto total,2022,88814.27,2022-01-01
Más de 3 noches,Gasto total,2023,63044.1,2023-01-01
Más de 3 noches,Gasto medio por persona,2016,1153.52,2016-01-01
Más de 3 noches,Gasto medio por persona,2017,1115.22,2017-01-01
Más de 3 noches,Gasto medio por persona,2018,1039.74,2018-01-01
Más de 3 noches,Gasto medio por persona,2019,998.74,2019-01-01
Más de 3 noches,Gasto medio por persona,2020,670.6,2020-01-01
Más de 3 noches,Gasto medio por persona,2021,1105.34,2021-01-01
Más de 3 noches,Gasto medio por persona,2022,1362.1,2022-01-01
Más de 3 noches,Gasto medio por persona,2023,1011.37,2023-01-01
Más de 3 noches,Gasto medio diario por persona,2016,87.85,2016-01-01
Más de 3 noches,Gasto medio diario por persona,2017,77.65,2017-01-01
Más de 3 noches,Gasto medio diario por persona,2018,88.76,2018-01-01
Más de 3 noches,Gasto medio diario por persona,2019,94.77,2019-01-01
Más de 3 noches,Gasto medio diario por persona,2020,56.44,2020-01-01
Más de 3 noches,Gasto medio diario por persona,2021,113.1,2021-01-01
Más de 3 noches,Gasto medio diario por persona,2022,124.6,2022-01-01
Más de 3 noches,Gasto medio diario por persona,2023,112.86,2023-01-01
Más de 3 noches,Duración media de los viajes,2016,13.13,2016-01-01
Más de 3 noches,Duración media de los viajes,2017,14.36,2017-01-01
Más de 3 noches,Duración media de los viajes,2018,11.71,2018-01-01
Más de 3 noches,Duración media de los viajes,2019,10.54,2019-01-01
Más de 3 noches,Duración media de los viajes,2020,11.88,2020-01-01
Más de 3 noches,Duración media de los viajes,2021,9.77,2021-01-01
