Motivo del viaje,Indicador,Periodo,DATA,Fecha
TOTAL,Gasto total,2016,93087.88,2016-01-01
TOTAL,Gasto total,2017,101962.17,2017-01-01
TOTAL,Gasto total,2018,101126.5,2018-01-01
TOTAL,Gasto total,2019,98201.73,2019-01-01
TOTAL,Gasto total,2020,21835.28,2020-01-01
TOTAL,Gasto total,2021,42027.48,2021-01-01
TOTAL,Gasto total,2022,108604.09,2022-01-01
TOTAL,Gasto total,2023,86729.82,2023-01-01
TOTAL,Gasto medio por persona,2016,650.63,2016-01-01
TOTAL,Gasto medio por persona,2017,778.49,2017-01-01
TOTAL,Gasto medio por persona,2018,707.54,2018-01-01
TOTAL,Gasto medio por persona,2019,703.97,2019-01-01
TOTAL,Gasto medio por persona,2020,481.43,2020-01-01
TOTAL,Gasto medio por persona,2021,877.16,2021-01-01
TOTAL,Gasto medio por persona,2022,966.32,2022-01-01
TOTAL,Gasto medio por persona,2023,733.71,2023-01-01
TOTAL,Gasto medio diario por persona,2016,98.8,2016-01-01
TOTAL,Gasto medio diario por persona,2017,99.29,2017-01-01
TOTAL,Gasto medio diario por persona,2018,104.29,2018-01-01
TOTAL,Gasto medio diario por persona,2019,103.32,2019-01-01
TOTAL,Gasto medio diario por persona,2020,73.44,2020-01-01
TOTAL,Gasto medio diario por persona,2021,116.83,2021-01-01
TOTAL,Gasto medio diario por persona,2022,134.45,2022-01-01
TOTAL,Gasto medio diario por persona,2023,131.99,2023-01-01
TOTAL,Duración media de los viajes,2016,6.59,2016-01-01
TOTAL,Duración media de los viajes,2017,7.84,2017-01-01
TOTAL,Duración media de los viajes,2018,6.78,2018-01-01
TOTAL,Duración media de los viajes,2019,6.81,2019-01-01
TOTAL,Duración media de los viajes,2020,6.56,2020-01-01
TOTAL,Duración media de los viajes,2021,7.51,2021-01-01
TOTAL,Duración media de los viajes,2022,7.19,2022-01-01
TOTAL,Duración media de los viajes,2023,5.56,2023-01-01
"Ocio, recreo y vacaciones",Gasto total,2016,39232.44,2016-01-01
"Ocio, recreo y vacaciones",Gasto total,2017,55458.02,2017-01-01
"Ocio, recreo y vacaciones",Gasto total,2018,52469.7,2018-01-01
"Ocio, recreo y vacaciones",Gasto total,2019,58276.35,2019-01-01
"Ocio, recreo y vacaciones",Gasto total,2020,10229.85,2020-01-01
"Ocio, recreo y vacaciones",Gasto total,2021,21035.59,2021-01-01
"Ocio, recreo y vacaciones",Gasto total,2022,59445.82,2022-01-01
"Ocio, recreo y vacaciones",Gasto total,2023,36179.05,2023-01-01
"Ocio, recreo y vacaciones",Gasto medio por persona,2016,481.26,2016-01-01
"Ocio, recreo y vacaciones",Gasto medio por persona,2017,650.13,2017-01-01
"Ocio, recreo y vacaciones",Gasto medio por persona,2018,797.28,2018-01-01
"Ocio, recreo y vacaciones",Gasto medio por persona,2019,706.17,2019-01-01
"Ocio, recreo y vacaciones",Gasto medio por persona,2020,580.27,2020-01-01
"Ocio, recreo y vacaciones",Gasto medio por persona,2021,794.36,2021-01-01
"Ocio, recreo y vacaciones",Gasto medio por persona,2022,993.66,2022-01-01
"Ocio, recreo y vacaciones",Gasto medio por persona,2023,959.1,2023-01-01
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2016,95.27,2016-01-01
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2017,144.49,2017-01-01
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2018,119.58,2018-01-01
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2019,128.54,2019-01-01
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2020,70.16,2020-01-01
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2021,152.48,2021-01-01
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2022,196.08,2022-01-01
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2023,156.65,2023-01-01
"Ocio, recreo y vacaciones",Duración media de los viajes,2016,5.05,2016-01-01
"Ocio, recreo y vacaciones",Duración media de los viajes,2017,4.5,2017-01-01
"Ocio, recreo y vacaciones",Duración media de los viajes,2018,6.67,2018-01-01
"Ocio, recreo y vacaciones",Duración media de los viajes,2019,5.49,2019-01-01
"Ocio, recreo y vacaciones",Duración media de los viajes,2020,8.27,2020-01-01
"Ocio, recreo y vacaciones",Duración media de los viajes,2021,5.21,2021-01-01
"Ocio, recreo y vacaciones",Duración media de los viajes,2022,5.07,2022-01-01
"Ocio, recreo y vacaciones",Duración media de los viajes,2023,6.12,2023-01-01
Negocios,Gasto total,2016,18162.78,2016-01-01
Negocios,Gasto total,2017,26965.87,2017-01-01
Negocios,Gasto total,2018,22474.96,2018-01-01
Negocios,Gasto total,2019,12308.8,2019-01-01
Negocios,Gasto total,2020,3952.61,2020-01-01
Negocios,Gasto total,2021,3155.42,2021-01-01
Negocios,Gasto total,2022,13086.44,2022-01-01
Negocios,Gasto total,2023,19027.09,2023-01-01
Negocios,Gasto medio por persona,2016,814.34,2016-01-01
Negocios,Gasto medio por persona,2017,1559.79,2017-01-01
Negocios,Gasto medio por persona,2018,810.9,2018-01-01
Negocios,Gasto medio por persona,2019,815.19,2019-01-01
Negocios,Gasto medio por persona,2020,366.57,2020-01-01
Negocios,Gasto medio por persona,2021,515.85,2021-01-01
Negocios,Gasto medio por persona,2022,770.35,2022-01-01
Negocios,Gasto medio por persona,2023,757.85,2023-01-01
Negocios,Gasto medio diario por persona,2016,159.84,2016-01-01
Negocios,Gasto medio diario por persona,2017,75.82,2017-01-01
Negocios,Gasto medio diario por persona,2018,164.68,2018-01-01
Negocios,Gasto medio diario por persona,2019,242.49,2019-01-01
Negocios,Gasto medio diario por persona,2020,216.06,2020-01-01
Negocios,Gasto medio diario por persona,2021,214.79,2021-01-01
Negocios,Gasto medio diario por persona,2022,227.05,2022-01-01
Negocios,Gasto medio diario por persona,2023,305.6,2023-01-01
Negocios,Duración media de los viajes,2016,5.09,2016-01-01
Negocios,Duración media de los viajes,2017,20.57,2017-01-01
Negocios,Duración media de los viajes,2018,4.92,2018-01-01
Negocios,Duración media de los viajes,2019,3.36,2019-01-01
Negocios,Duración media de los viajes,2020,1.7,2020-01-01
