País de residencia,Indicador,Periodo,DATA,Fecha
TOTAL,Gasto total,2016,93087.88,2016-01-01
TOTAL,Gasto total,2017,101962.17,2017-01-01
TOTAL,Gasto total,2018,101126.5,2018-01-01
TOTAL,Gasto total,2019,98201.73,2019-01-01
TOTAL,Gasto total,2020,21835.28,2020-01-01
TOTAL,Gasto total,2021,42027.48,2021-01-01
TOTAL,Gasto total,2022,108604.09,2022-01-01
TOTAL,Gasto total,2023,86729.82,2023-01-01
TOTAL,Gasto medio por persona,2016,650.63,2016-01-01
TOTAL,Gasto medio por persona,2017,778.49,2017-01-01
TOTAL,Gasto medio por persona,2018,707.54,2018-01-01
TOTAL,Gasto medio por persona,2019,703.97,2019-01-01
TOTAL,Gasto medio por persona,2020,481.43,2020-01-01
TOTAL,Gasto medio por persona,2021,877.16,2021-01-01
TOTAL,Gasto medio por persona,2022,966.32,2022-01-01
TOTAL,Gasto medio por persona,2023,733.71,2023-01-01
TOTAL,Gasto medio diario por persona,2016,98.8,2016-01-01
TOTAL,Gasto medio diario por persona,2017,99.29,2017-01-01
TOTAL,Gasto medio diario por persona,2018,104.29,2018-01-01
TOTAL,Gasto medio diario por persona,2019,103.32,2019-01-01
TOTAL,Gasto medio diario por persona,2020,73.44,2020-01-01
TOTAL,Gasto medio diario por persona,2021,116.83,2021-01-01
TOTAL,Gasto medio diario por persona,2022,134.45,2022-01-01
TOTAL,Gasto medio diario por persona,2023,131.99,2023-01-01
TOTAL,Duración media de los viajes,2016,6.59,2016-01-01
TOTAL,Duración media de los viajes,2017,7.84,2017-01-01
TOTAL,Duración media de los viajes,2018,6.78,2018-01-01
TOTAL,Duración media de los viajes,2019,6.81,2019-01-01
TOTAL,Duración media de los viajes,2020,6.56,2020-01-01
TOTAL,Duración media de los viajes,2021,7.51,2021-01-01
TOTAL,Duración media de los viajes,2022,7.19,2022-01-01
TOTAL,Duración media de los viajes,2023,5.56,2023-01-01
Europa,Gasto total,2016,70761.65,2016-01-01
Europa,Gasto total,2017,69466.08,2017-01-01
Europa,Gasto total,2018,65460.43,2018-01-01
Europa,Gasto total,2019,69067.23,2019-01-01
Europa,Gasto total,2020,20310.76,2020-01-01
Europa,Gasto total,2021,34618.2,2021-01-01
Europa,Gasto total,2022,66763.06,2022-01-01
Europa,Gasto total,2023,53890.06,2023-01-01
Europa,Gasto medio por persona,2016,540.33,2016-01-01
Europa,Gasto medio por persona,2017,618.53,2017-01-01
Europa,Gasto medio por persona,2018,523.74,2018-01-01
Europa,Gasto medio por persona,2019,541.52,2019-01-01
Europa,Gasto medio por persona,2020,455.21,2020-01-01
Europa,Gasto medio por persona,2021,769.45,2021-01-01
Europa,Gasto medio por persona,2022,719.03,2022-01-01
Europa,Gasto medio por persona,2023,532.85,2023-01-01
Europa,Gasto medio diario por persona,2016,87.64,2016-01-01
Europa,Gasto medio diario por persona,2017,77.69,2017-01-01
Europa,Gasto medio diario por persona,2018,81.29,2018-01-01
Europa,Gasto medio diario por persona,2019,86.53,2019-01-01
Europa,Gasto medio diario por persona,2020,69.42,2020-01-01
Europa,Gasto medio diario por persona,2021,108.8,2021-01-01
Europa,Gasto medio diario por persona,2022,103.29,2022-01-01
Europa,Gasto medio diario por persona,2023,114.55,2023-01-01
Europa,Duración media de los viajes,2016,6.16,2016-01-01
Europa,Duración media de los viajes,2017,7.96,2017-01-01
Europa,Duración media de los viajes,2018,6.44,2018-01-01
Europa,Duración media de los viajes,2019,6.26,2019-01-01
Europa,Duración media de los viajes,2020,6.56,2020-01-01
Europa,Duración media de los viajes,2021,7.07,2021-01-01
Europa,Duración media de los viajes,2022,6.96,2022-01-01
Europa,Duración media de los viajes,2023,4.65,2023-01-01
- UE27,Gasto total,2016,48868.58,2016-01-01
- UE27,Gasto total,2017,58885.12,2017-01-01
- UE27,Gasto total,2018,50301.76,2018-01-01
- UE27,Gasto total,2019,55014.79,2019-01-01
- UE27,Gasto total,2020,17453.08,2020-01-01
- UE27,Gasto total,2021,23535.87,2021-01-01
- UE27,Gasto total,2022,55293.79,2022-01-01
- UE27,Gasto total,2023,43048.05,2023-01-01
- UE27,Gasto medio por persona,2016,497.4,2016-01-01
- UE27,Gasto medio por persona,2017,598.82,2017-01-01
- UE27,Gasto medio por persona,2018,484.72,2018-01-01
- UE27,Gasto medio por persona,2019,499.22,2019-01-01
- UE27,Gasto medio por persona,2020,438.08,2020-01-01
- UE27,Gasto medio por persona,2021,622.56,2021-01-01
- UE27,Gasto medio por persona,2022,684.18,2022-01-01
- UE27,Gasto medio por persona,2023,508.03,2023-01-01
- UE27,Gasto medio diario por persona,2016,92.34,2016-01-01
- UE27,Gasto medio diario por persona,2017,74.0,2017-01-01
- UE27,Gasto medio diario por persona,2018,76.04,2018-01-01
- UE27,Gasto medio diario por persona,2019,78.82,2019-01-01
- UE27,Gasto medio diario por persona,2020,63.63,2020-01-01
- UE27,Gasto medio diario por persona,2021,94.74,2021-01-01
- UE27,Gasto medio diario por persona,2022,108.64,2022-01-01
- UE27,Gasto medio diario por persona,2023,104.65,2023-01-01
- UE27,Duración media de los viajes,2016,5.39,2016-01-01
- UE27,Duración media de los viajes,2017,8.09,2017-01-01
- UE27,Duración media de los viajes,2018,6.37,2018-01-01
- UE27,Duración media de los viajes,2019,6.33,2019-01-01
- UE27,Duración media de los viajes,2020,6.88,2020-01-01
- UE27,Duración media de los viajes,2021,6.57,2021-01-01
- UE27,Duración media de los viajes,2022,6.3,2022-01-01
- UE27,Duración media de los viajes,2023,4.85,2023-01-01
- Resto de Europa,Gasto total,2016,21893.07,2016-01-01
- Resto de Europa,Gasto total,2017,10580.96,2017-01-01
- Resto de Europa,Gasto total,2018,15158.66,2018-01-01
- Resto de Europa,Gasto total,2019,14052.44,2019-01-01
- Resto de Europa,Gasto total,2020,2857.68,2020-01-01
- Resto de Europa,Gasto total,2021,11082.32,2021-01-01
- Resto de Europa,Gasto total,2022,11469.27,2022-01-01
- Resto de Europa,Gasto total,2023,10842.0,2023-01-01
- Resto de Europa,Gasto medio por persona,2016,669.25,2016-01-01
- Resto de Europa,Gasto medio por persona,2017,757.24,2017-01-01
