Via de acceso,Periodo,DATA
TOTAL,2016,150778.8
TOTAL,2017,124188.8
TOTAL,2018,142926.4
TOTAL,2019,139497.3
TOTAL,2020,45355.2
TOTAL,2021,47913
TOTAL,2022,105909.8
TOTAL,2023,118207.9
Carretera,2016,75866.4
Carretera,2017,64393.2
Carretera,2018,85380.3
Carretera,2019,75282.2
Carretera,2020,33919.3
Carretera,2021,33188.7
Carretera,2022,53083.2
Carretera,2023,76892.9
Otra vía,2016,74912.4
Otra vía,2017,59795.7
Otra vía,2018,57546.1
Otra vía,2019,64215.2
Otra vía,2020,11436
Otra vía,2021,14724.3
Otra vía,2022,52826.6
Otra vía,2023,41315
