Tipo de alojamiento,Periodo,DATA
TOTAL,2016,150778.8
TOTAL,2017,124188.8
TOTAL,2018,142926.4
TOTAL,2019,139497.3
TOTAL,2020,45355.2
TOTAL,2021,47913
TOTAL,2022,105909.8
TOTAL,2023,118207.9
De Mercado,2016,104346.3
De Mercado,2017,68325.4
De Mercado,2018,99113.8
De Mercado,2019,95501.2
De Mercado,2020,22736.9
De Mercado,2021,33676.5
De Mercado,2022,79058.4
De Mercado,2023,80533.9
No de Mercado,2016,46432.4
No de Mercado,2017,55863.4
No de Mercado,2018,43812.6
No de Mercado,2019,43996.2
No de Mercado,2020,22618.4
No de Mercado,2021,14236.5
No de Mercado,2022,26851.3
No de Mercado,2023,37673.9
