Motivo del viaje,Periodo,DATA
TOTAL,2016,150778.8
TOTAL,2017,124188.8
TOTAL,2018,142926.4
TOTAL,2019,139497.3
TOTAL,2020,45355.2
TOTAL,2021,47913
TOTAL,2022,105909.8
TOTAL,2023,118207.9
"Ocio, recreo y vacaciones",2016,95878.8
"Ocio, recreo y vacaciones",2017,77794.7
"Ocio, recreo y vacaciones",2018,89030.3
"Ocio, recreo y vacaciones",2019,87047.4
"Ocio, recreo y vacaciones",2020,18074.5
"Ocio, recreo y vacaciones",2021,29082.1
"Ocio, recreo y vacaciones",2022,66072.5
"Ocio, recreo y vacaciones",2023,62736.1
Negocios,2016,20824.4
Negocios,2017,14391
Negocios,2018,23316.2
Negocios,2019,19797
Negocios,2020,7859.7
Negocios,2021,7004
Negocios,2022,17943.1
Negocios,2023,22517.8
Otros motivos,2016,34075.6
Otros motivos,2017,32003.1
Otros motivos,2018,30579.9
Otros motivos,2019,32652.9
Otros motivos,2020,19421
Otros motivos,2021,11826.9
Otros motivos,2022,21894.3
Otros motivos,2023,32954
