Forma de organización del viaje,Periodo,DATA
TOTAL,2016,150778.8
TOTAL,2017,124188.8
TOTAL,2018,142926.4
TOTAL,2019,139497.3
TOTAL,2020,45355.2
TOTAL,2021,47913
TOTAL,2022,105909.8
TOTAL,2023,118207.9
Con paquete turístico,2016,44565.6
Con paquete turístico,2017,7088.6
Con paquete turístico,2018,15141.2
Con paquete turístico,2019,6100.9
Con paquete turístico,2020,1521.2
Con paquete turístico,2021,2255.1
Con paquete turístico,2022,8356.2
Con paquete turístico,2023,1961.1
Sin paquete turístico,2016,106213.2
Sin paquete turístico,2017,117100.2
Sin paquete turístico,2018,127785.2
Sin paquete turístico,2019,133396.5
Sin paquete turístico,2020,43834.1
Sin paquete turístico,2021,45657.8
Sin paquete turístico,2022,97553.6
Sin paquete turístico,2023,116246.8
