Duración del viaje,Periodo,DATA
TOTAL,2016,150778.8
TOTAL,2017,124188.8
TOTAL,2018,142926.4
TOTAL,2019,139497.3
TOTAL,2020,45355.2
TOTAL,2021,47913
TOTAL,2022,105909.8
TOTAL,2023,118207.9
De 1 a 3 noches,2016,57894.5
De 1 a 3 noches,2017,46325
De 1 a 3 noches,2018,73762.6
De 1 a 3 noches,2019,63612.3
De 1 a 3 noches,2020,22865.3
De 1 a 3 noches,2021,19531.7
De 1 a 3 noches,2022,43842
De 1 a 3 noches,2023,54137.7
Más de 3 noches,2016,92884.3
Más de 3 noches,2017,77863.8
Más de 3 noches,2018,69163.8
Más de 3 noches,2019,75885
Más de 3 noches,2020,22489.9
Más de 3 noches,2021,28381.3
Más de 3 noches,2022,62067.8
Más de 3 noches,2023,64070.2
