Motivo del viaje,Periodo,DATA,Fecha
TOTAL,2016,150778.8,2016-01-01
TOTAL,2017,124188.8,2017-01-01
TOTAL,2018,142926.4,2018-01-01
TOTAL,2019,139497.3,2019-01-01
TOTAL,2020,45355.2,2020-01-01
TOTAL,2021,47913.0,2021-01-01
TOTAL,2022,105909.8,2022-01-01
TOTAL,2023,118207.9,2023-01-01
"Ocio, recreo y vacaciones",2016,95878.8,2016-01-01
"Ocio, recreo y vacaciones",2017,77794.7,2017-01-01
"Ocio, recreo y vacaciones",2018,89030.3,2018-01-01
"Ocio, recreo y vacaciones",2019,87047.4,2019-01-01
"Ocio, recreo y vacaciones",2020,18074.5,2020-01-01
"Ocio, recreo y vacaciones",2021,29082.1,2021-01-01
"Ocio, recreo y vacaciones",2022,66072.5,2022-01-01
"Ocio, recreo y vacaciones",2023,62736.1,2023-01-01
Negocios,2016,20824.4,2016-01-01
Negocios,2017,14391.0,2017-01-01
Negocios,2018,23316.2,2018-01-01
Negocios,2019,19797.0,2019-01-01
Negocios,2020,7859.7,2020-01-01
Negocios,2021,7004.0,2021-01-01
Negocios,2022,17943.1,2022-01-01
Negocios,2023,22517.8,2023-01-01
Otros motivos,2016,34075.6,2016-01-01
Otros motivos,2017,32003.1,2017-01-01
Otros motivos,2018,30579.9,2018-01-01
Otros motivos,2019,32652.9,2019-01-01
Otros motivos,2020,19421.0,2020-01-01
Otros motivos,2021,11826.9,2021-01-01
Otros motivos,2022,21894.3,2022-01-01
Otros motivos,2023,32954.0,2023-01-01
