Duración del viaje,Periodo,DATA,Fecha
TOTAL,2016,150778.8,2016-01-01
TOTAL,2017,124188.8,2017-01-01
TOTAL,2018,142926.4,2018-01-01
TOTAL,2019,139497.3,2019-01-01
TOTAL,2020,45355.2,2020-01-01
TOTAL,2021,47913.0,2021-01-01
TOTAL,2022,105909.8,2022-01-01
TOTAL,2023,118207.9,2023-01-01
De 1 a 3 noches,2016,57894.5,2016-01-01
De 1 a 3 noches,2017,46325.0,2017-01-01
De 1 a 3 noches,2018,73762.6,2018-01-01
De 1 a 3 noches,2019,63612.3,2019-01-01
De 1 a 3 noches,2020,22865.3,2020-01-01
De 1 a 3 noches,2021,19531.7,2021-01-01
De 1 a 3 noches,2022,43842.0,2022-01-01
De 1 a 3 noches,2023,54137.7,2023-01-01
Más de 3 noches,2016,92884.3,2016-01-01
Más de 3 noches,2017,77863.8,2017-01-01
Más de 3 noches,2018,69163.8,2018-01-01
Más de 3 noches,2019,75885.0,2019-01-01
Más de 3 noches,2020,22489.9,2020-01-01
Más de 3 noches,2021,28381.3,2021-01-01
Más de 3 noches,2022,62067.8,2022-01-01
Más de 3 noches,2023,64070.2,2023-01-01
