Forma de organización del viaje,Periodo,DATA,Fecha
TOTAL,2016,150778.8,2016-01-01
TOTAL,2017,124188.8,2017-01-01
TOTAL,2018,142926.4,2018-01-01
TOTAL,2019,139497.3,2019-01-01
TOTAL,2020,45355.2,2020-01-01
TOTAL,2021,47913.0,2021-01-01
TOTAL,2022,105909.8,2022-01-01
TOTAL,2023,118207.9,2023-01-01
Con paquete turístico,2016,44565.6,2016-01-01
Con paquete turístico,2017,7088.6,2017-01-01
Con paquete turístico,2018,15141.2,2018-01-01
Con paquete turístico,2019,6100.9,2019-01-01
Con paquete turístico,2020,1521.2,2020-01-01
Con paquete turístico,2021,2255.1,2021-01-01
Con paquete turístico,2022,8356.2,2022-01-01
Con paquete turístico,2023,1961.1,2023-01-01
Sin paquete turístico,2016,106213.2,2016-01-01
Sin paquete turístico,2017,117100.2,2017-01-01
Sin paquete turístico,2018,127785.2,2018-01-01
Sin paquete turístico,2019,133396.5,2019-01-01
Sin paquete turístico,2020,43834.1,2020-01-01
Sin paquete turístico,2021,45657.8,2021-01-01
Sin paquete turístico,2022,97553.6,2022-01-01
Sin paquete turístico,2023,116246.8,2023-01-01
