Via de acceso,Periodo,DATA,Fecha
TOTAL,2016,150778.8,2016-01-01
TOTAL,2017,124188.8,2017-01-01
TOTAL,2018,142926.4,2018-01-01
TOTAL,2019,139497.3,2019-01-01
TOTAL,2020,45355.2,2020-01-01
TOTAL,2021,47913.0,2021-01-01
TOTAL,2022,105909.8,2022-01-01
TOTAL,2023,118207.9,2023-01-01
Carretera,2016,75866.4,2016-01-01
Carretera,2017,64393.2,2017-01-01
Carretera,2018,85380.3,2018-01-01
Carretera,2019,75282.2,2019-01-01
Carretera,2020,33919.3,2020-01-01
Carretera,2021,33188.7,2021-01-01
Carretera,2022,53083.2,2022-01-01
Carretera,2023,76892.9,2023-01-01
Otra vía,2016,74912.4,2016-01-01
Otra vía,2017,59795.7,2017-01-01
Otra vía,2018,57546.1,2018-01-01
Otra vía,2019,64215.2,2019-01-01
Otra vía,2020,11436.0,2020-01-01
Otra vía,2021,14724.3,2021-01-01
Otra vía,2022,52826.6,2022-01-01
Otra vía,2023,41315.0,2023-01-01
