Grupo actividad sector turístico,Régimen de afiliación,Periodo,DATA
TOTAL SECTOR SERVICIOS,TOTAL,2011T2,74739
TOTAL SECTOR SERVICIOS,TOTAL,2011T3,74384
TOTAL SECTOR SERVICIOS,TOTAL,2011T4,73681
TOTAL SECTOR SERVICIOS,TOTAL,2012T1,73363
TOTAL SECTOR SERVICIOS,TOTAL,2012T2,73885
TOTAL SECTOR SERVICIOS,TOTAL,2012T3,75177
TOTAL SECTOR SERVICIOS,TOTAL,2012T4,74490
TOTAL SECTOR SERVICIOS,TOTAL,2013T1,73646
TOTAL SECTOR SERVICIOS,TOTAL,2013T2,81826
TOTAL SECTOR SERVICIOS,TOTAL,2013T3,74019
TOTAL SECTOR SERVICIOS,TOTAL,2013T4,74616
TOTAL SECTOR SERVICIOS,TOTAL,2014T1,74899
TOTAL SECTOR SERVICIOS,TOTAL,2014T2,75755
TOTAL SECTOR SERVICIOS,TOTAL,2014T3,76069
TOTAL SECTOR SERVICIOS,TOTAL,2014T4,76782
TOTAL SECTOR SERVICIOS,TOTAL,2015T1,77363
TOTAL SECTOR SERVICIOS,TOTAL,2015T2,77769
TOTAL SECTOR SERVICIOS,TOTAL,2015T3,77891
TOTAL SECTOR SERVICIOS,TOTAL,2015T4,78574
TOTAL SECTOR SERVICIOS,TOTAL,2016T1,78727
TOTAL SECTOR SERVICIOS,TOTAL,2016T2,78933
TOTAL SECTOR SERVICIOS,TOTAL,2016T3,78871
TOTAL SECTOR SERVICIOS,TOTAL,2016T4,80807
TOTAL SECTOR SERVICIOS,TOTAL,2017T1,81072
TOTAL SECTOR SERVICIOS,TOTAL,2017T2,81103
TOTAL SECTOR SERVICIOS,TOTAL,2017T3,82699
TOTAL SECTOR SERVICIOS,TOTAL,2017T4,82720
TOTAL SECTOR SERVICIOS,TOTAL,2018T1,83107
TOTAL SECTOR SERVICIOS,TOTAL,2018T2,84148
TOTAL SECTOR SERVICIOS,TOTAL,2018T3,84379
TOTAL SECTOR SERVICIOS,TOTAL,2018T4,84896
TOTAL SECTOR SERVICIOS,TOTAL,2019T1,85694
TOTAL SECTOR SERVICIOS,TOTAL,2019T2,85885
TOTAL SECTOR SERVICIOS,TOTAL,2019T3,85558
TOTAL SECTOR SERVICIOS,TOTAL,2019T4,86124
TOTAL SECTOR SERVICIOS,TOTAL,2020T1,83885
TOTAL SECTOR SERVICIOS,TOTAL,2020T2,82210
TOTAL SECTOR SERVICIOS,TOTAL,2020T3,84806
TOTAL SECTOR SERVICIOS,TOTAL,2020T4,85169
TOTAL SECTOR SERVICIOS,TOTAL,2021T1,85073
TOTAL SECTOR SERVICIOS,TOTAL,2021T2,85630
TOTAL SECTOR SERVICIOS,TOTAL,2021T3,86647
TOTAL SECTOR SERVICIOS,TOTAL,2021T4,88812
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2011T2,57542
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2011T3,57175
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2011T4,56339
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2012T1,56705
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2012T2,57607
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2012T3,59447
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2012T4,58735
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2013T1,57953
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2013T2,61170
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2013T3,58200
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2013T4,58600
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2014T1,58838
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2014T2,59535
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2014T3,59918
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2014T4,60585
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2015T1,61120
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2015T2,61366
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2015T3,61610
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2015T4,62214
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2016T1,62415
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2016T2,62497
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2016T3,62571
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2016T4,64417
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2017T1,64786
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2017T2,64775
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2017T3,66484
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2017T4,66561
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2018T1,66856
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2018T2,67826
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2018T3,68172
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2018T4,68657
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2019T1,69501
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2019T2,69634
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2019T3,69473
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2019T4,70002
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2020T1,68024
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2020T2,66338
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2020T3,68935
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2020T4,69256
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2021T1,69120
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2021T2,69673
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2021T3,70751
TOTAL SECTOR SERVICIOS,REGIMEN GENERAL,2021T4,72854
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2011T2,17197
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2011T3,17209
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2011T4,17342
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2012T1,16658
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2012T2,16278
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2012T3,15730
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2012T4,15755
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2013T1,15693
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2013T2,20656
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2013T3,15819
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2013T4,16016
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2014T1,16061
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2014T2,16220
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2014T3,16151
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2014T4,16197
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2015T1,16243
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2015T2,16403
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2015T3,16281
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2015T4,16360
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2016T1,16312
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2016T2,16436
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2016T3,16300
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2016T4,16390
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2017T1,16286
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2017T2,16328
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2017T3,16215
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2017T4,16159
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2018T1,16251
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2018T2,16322
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2018T3,16207
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2018T4,16239
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2019T1,16193
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2019T2,16251
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2019T3,16085
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2019T4,16122
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2020T1,15861
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2020T2,15872
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2020T3,15871
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2020T4,15913
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2021T1,15953
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2021T2,15957
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2021T3,15896
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2021T4,15958
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2011T2,15396
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2011T3,15438
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2011T4,15567
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2012T1,15532
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2012T2,15618
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2012T3,15718
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2012T4,15751
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2013T1,15692
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2013T2,20654
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2013T3,15818
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2013T4,16016
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2014T1,16061
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2014T2,16220
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2014T3,16151
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2014T4,16197
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2015T1,16243
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2015T2,16403
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2015T3,16281
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2015T4,16360
