Grupo actividad sector turístico,Tipo de contrato,Periodo,DATA
TOTAL SECTOR SERVICIOS,TOTAL,2011T2,74739
TOTAL SECTOR SERVICIOS,TOTAL,2011T3,74384
TOTAL SECTOR SERVICIOS,TOTAL,2011T4,73681
TOTAL SECTOR SERVICIOS,TOTAL,2012T1,73363
TOTAL SECTOR SERVICIOS,TOTAL,2012T2,73885
TOTAL SECTOR SERVICIOS,TOTAL,2012T3,75177
TOTAL SECTOR SERVICIOS,TOTAL,2012T4,74490
TOTAL SECTOR SERVICIOS,TOTAL,2013T1,73646
TOTAL SECTOR SERVICIOS,TOTAL,2013T2,81826
TOTAL SECTOR SERVICIOS,TOTAL,2013T3,74019
TOTAL SECTOR SERVICIOS,TOTAL,2013T4,74616
TOTAL SECTOR SERVICIOS,TOTAL,2014T1,74899
TOTAL SECTOR SERVICIOS,TOTAL,2014T2,75755
TOTAL SECTOR SERVICIOS,TOTAL,2014T3,76069
TOTAL SECTOR SERVICIOS,TOTAL,2014T4,76782
TOTAL SECTOR SERVICIOS,TOTAL,2015T1,77363
TOTAL SECTOR SERVICIOS,TOTAL,2015T2,77769
TOTAL SECTOR SERVICIOS,TOTAL,2015T3,77891
TOTAL SECTOR SERVICIOS,TOTAL,2015T4,78574
TOTAL SECTOR SERVICIOS,TOTAL,2016T1,78727
TOTAL SECTOR SERVICIOS,TOTAL,2016T2,78933
TOTAL SECTOR SERVICIOS,TOTAL,2016T3,78871
TOTAL SECTOR SERVICIOS,TOTAL,2016T4,80807
TOTAL SECTOR SERVICIOS,TOTAL,2017T1,81072
TOTAL SECTOR SERVICIOS,TOTAL,2017T2,81103
TOTAL SECTOR SERVICIOS,TOTAL,2017T3,82699
TOTAL SECTOR SERVICIOS,TOTAL,2017T4,82720
TOTAL SECTOR SERVICIOS,TOTAL,2018T1,83107
TOTAL SECTOR SERVICIOS,TOTAL,2018T2,84148
TOTAL SECTOR SERVICIOS,TOTAL,2018T3,84379
TOTAL SECTOR SERVICIOS,TOTAL,2018T4,84896
TOTAL SECTOR SERVICIOS,TOTAL,2019T1,85694
TOTAL SECTOR SERVICIOS,TOTAL,2019T2,85885
TOTAL SECTOR SERVICIOS,TOTAL,2019T3,85558
TOTAL SECTOR SERVICIOS,TOTAL,2019T4,86124
TOTAL SECTOR SERVICIOS,TOTAL,2020T1,83885
TOTAL SECTOR SERVICIOS,TOTAL,2020T2,82210
TOTAL SECTOR SERVICIOS,TOTAL,2020T3,84806
TOTAL SECTOR SERVICIOS,TOTAL,2020T4,85169
TOTAL SECTOR SERVICIOS,TOTAL,2021T1,85073
TOTAL SECTOR SERVICIOS,TOTAL,2021T2,85630
TOTAL SECTOR SERVICIOS,TOTAL,2021T3,86647
TOTAL SECTOR SERVICIOS,TOTAL,2021T4,88812
TOTAL SECTOR SERVICIOS,Indefinido,2011T2,34042
TOTAL SECTOR SERVICIOS,Indefinido,2011T3,34584
TOTAL SECTOR SERVICIOS,Indefinido,2011T4,34615
TOTAL SECTOR SERVICIOS,Indefinido,2012T1,34939
TOTAL SECTOR SERVICIOS,Indefinido,2012T2,34880
TOTAL SECTOR SERVICIOS,Indefinido,2012T3,36332
TOTAL SECTOR SERVICIOS,Indefinido,2012T4,36410
TOTAL SECTOR SERVICIOS,Indefinido,2013T1,36106
TOTAL SECTOR SERVICIOS,Indefinido,2013T2,37141
TOTAL SECTOR SERVICIOS,Indefinido,2013T3,35056
TOTAL SECTOR SERVICIOS,Indefinido,2013T4,35281
TOTAL SECTOR SERVICIOS,Indefinido,2014T1,35302
TOTAL SECTOR SERVICIOS,Indefinido,2014T2,34870
TOTAL SECTOR SERVICIOS,Indefinido,2014T3,35302
TOTAL SECTOR SERVICIOS,Indefinido,2014T4,35895
TOTAL SECTOR SERVICIOS,Indefinido,2015T1,36072
TOTAL SECTOR SERVICIOS,Indefinido,2015T2,35485
TOTAL SECTOR SERVICIOS,Indefinido,2015T3,35923
TOTAL SECTOR SERVICIOS,Indefinido,2015T4,36579
TOTAL SECTOR SERVICIOS,Indefinido,2016T1,36810
TOTAL SECTOR SERVICIOS,Indefinido,2016T2,36071
TOTAL SECTOR SERVICIOS,Indefinido,2016T3,36737
TOTAL SECTOR SERVICIOS,Indefinido,2016T4,37406
TOTAL SECTOR SERVICIOS,Indefinido,2017T1,37717
TOTAL SECTOR SERVICIOS,Indefinido,2017T2,37200
TOTAL SECTOR SERVICIOS,Indefinido,2017T3,37981
TOTAL SECTOR SERVICIOS,Indefinido,2017T4,38648
TOTAL SECTOR SERVICIOS,Indefinido,2018T1,39159
TOTAL SECTOR SERVICIOS,Indefinido,2018T2,38768
TOTAL SECTOR SERVICIOS,Indefinido,2018T3,39745
TOTAL SECTOR SERVICIOS,Indefinido,2018T4,40360
TOTAL SECTOR SERVICIOS,Indefinido,2019T1,40667
TOTAL SECTOR SERVICIOS,Indefinido,2019T2,39952
TOTAL SECTOR SERVICIOS,Indefinido,2019T3,40608
TOTAL SECTOR SERVICIOS,Indefinido,2019T4,41572
TOTAL SECTOR SERVICIOS,Indefinido,2020T1,41339
TOTAL SECTOR SERVICIOS,Indefinido,2020T2,40397
TOTAL SECTOR SERVICIOS,Indefinido,2020T3,41238
TOTAL SECTOR SERVICIOS,Indefinido,2020T4,41967
TOTAL SECTOR SERVICIOS,Indefinido,2021T1,42307
TOTAL SECTOR SERVICIOS,Indefinido,2021T2,41848
TOTAL SECTOR SERVICIOS,Indefinido,2021T3,41978
TOTAL SECTOR SERVICIOS,Indefinido,2021T4,43379
TOTAL SECTOR SERVICIOS,Temporal,2011T2,15467
TOTAL SECTOR SERVICIOS,Temporal,2011T3,14612
TOTAL SECTOR SERVICIOS,Temporal,2011T4,13611
TOTAL SECTOR SERVICIOS,Temporal,2012T1,13658
TOTAL SECTOR SERVICIOS,Temporal,2012T2,14648
TOTAL SECTOR SERVICIOS,Temporal,2012T3,15191
TOTAL SECTOR SERVICIOS,Temporal,2012T4,14393
TOTAL SECTOR SERVICIOS,Temporal,2013T1,13900
TOTAL SECTOR SERVICIOS,Temporal,2013T2,15959
TOTAL SECTOR SERVICIOS,Temporal,2013T3,15228
TOTAL SECTOR SERVICIOS,Temporal,2013T4,15381
TOTAL SECTOR SERVICIOS,Temporal,2014T1,15604
TOTAL SECTOR SERVICIOS,Temporal,2014T2,16829
TOTAL SECTOR SERVICIOS,Temporal,2014T3,16819
TOTAL SECTOR SERVICIOS,Temporal,2014T4,16840
TOTAL SECTOR SERVICIOS,Temporal,2015T1,17227
TOTAL SECTOR SERVICIOS,Temporal,2015T2,18285
TOTAL SECTOR SERVICIOS,Temporal,2015T3,18050
TOTAL SECTOR SERVICIOS,Temporal,2015T4,17921
TOTAL SECTOR SERVICIOS,Temporal,2016T1,17870
TOTAL SECTOR SERVICIOS,Temporal,2016T2,18854
TOTAL SECTOR SERVICIOS,Temporal,2016T3,18287
TOTAL SECTOR SERVICIOS,Temporal,2016T4,19292
TOTAL SECTOR SERVICIOS,Temporal,2017T1,19370
TOTAL SECTOR SERVICIOS,Temporal,2017T2,19976
TOTAL SECTOR SERVICIOS,Temporal,2017T3,20955
TOTAL SECTOR SERVICIOS,Temporal,2017T4,20253
TOTAL SECTOR SERVICIOS,Temporal,2018T1,19940
TOTAL SECTOR SERVICIOS,Temporal,2018T2,21370
TOTAL SECTOR SERVICIOS,Temporal,2018T3,20796
TOTAL SECTOR SERVICIOS,Temporal,2018T4,20580
TOTAL SECTOR SERVICIOS,Temporal,2019T1,21096
TOTAL SECTOR SERVICIOS,Temporal,2019T2,22086
TOTAL SECTOR SERVICIOS,Temporal,2019T3,21034
TOTAL SECTOR SERVICIOS,Temporal,2019T4,20470
TOTAL SECTOR SERVICIOS,Temporal,2020T1,18775
TOTAL SECTOR SERVICIOS,Temporal,2020T2,18092
TOTAL SECTOR SERVICIOS,Temporal,2020T3,19832
TOTAL SECTOR SERVICIOS,Temporal,2020T4,19509
TOTAL SECTOR SERVICIOS,Temporal,2021T1,18835
TOTAL SECTOR SERVICIOS,Temporal,2021T2,19990
TOTAL SECTOR SERVICIOS,Temporal,2021T3,20745
TOTAL SECTOR SERVICIOS,Temporal,2021T4,21434
TOTAL SECTOR SERVICIOS,Sin especificar,2011T2,25230
TOTAL SECTOR SERVICIOS,Sin especificar,2011T3,25188
TOTAL SECTOR SERVICIOS,Sin especificar,2011T4,25455
TOTAL SECTOR SERVICIOS,Sin especificar,2012T1,24766
TOTAL SECTOR SERVICIOS,Sin especificar,2012T2,24357
TOTAL SECTOR SERVICIOS,Sin especificar,2012T3,23654
TOTAL SECTOR SERVICIOS,Sin especificar,2012T4,23687
TOTAL SECTOR SERVICIOS,Sin especificar,2013T1,23640
TOTAL SECTOR SERVICIOS,Sin especificar,2013T2,28726
TOTAL SECTOR SERVICIOS,Sin especificar,2013T3,23735
TOTAL SECTOR SERVICIOS,Sin especificar,2013T4,23954
TOTAL SECTOR SERVICIOS,Sin especificar,2014T1,23993
TOTAL SECTOR SERVICIOS,Sin especificar,2014T2,24056
TOTAL SECTOR SERVICIOS,Sin especificar,2014T3,23948
TOTAL SECTOR SERVICIOS,Sin especificar,2014T4,24047
TOTAL SECTOR SERVICIOS,Sin especificar,2015T1,24064
TOTAL SECTOR SERVICIOS,Sin especificar,2015T2,23999
TOTAL SECTOR SERVICIOS,Sin especificar,2015T3,23918
TOTAL SECTOR SERVICIOS,Sin especificar,2015T4,24074
TOTAL SECTOR SERVICIOS,Sin especificar,2016T1,24047
TOTAL SECTOR SERVICIOS,Sin especificar,2016T2,24008
TOTAL SECTOR SERVICIOS,Sin especificar,2016T3,23847
TOTAL SECTOR SERVICIOS,Sin especificar,2016T4,24109
TOTAL SECTOR SERVICIOS,Sin especificar,2017T1,23985
TOTAL SECTOR SERVICIOS,Sin especificar,2017T2,23927
TOTAL SECTOR SERVICIOS,Sin especificar,2017T3,23763
TOTAL SECTOR SERVICIOS,Sin especificar,2017T4,23819
TOTAL SECTOR SERVICIOS,Sin especificar,2018T1,24008
TOTAL SECTOR SERVICIOS,Sin especificar,2018T2,24010
TOTAL SECTOR SERVICIOS,Sin especificar,2018T3,23838
TOTAL SECTOR SERVICIOS,Sin especificar,2018T4,23956
TOTAL SECTOR SERVICIOS,Sin especificar,2019T1,23931
TOTAL SECTOR SERVICIOS,Sin especificar,2019T2,23847
TOTAL SECTOR SERVICIOS,Sin especificar,2019T3,23916
TOTAL SECTOR SERVICIOS,Sin especificar,2019T4,24082
TOTAL SECTOR SERVICIOS,Sin especificar,2020T1,23771
TOTAL SECTOR SERVICIOS,Sin especificar,2020T2,23721
TOTAL SECTOR SERVICIOS,Sin especificar,2020T3,23736
TOTAL SECTOR SERVICIOS,Sin especificar,2020T4,23693
TOTAL SECTOR SERVICIOS,Sin especificar,2021T1,23931
TOTAL SECTOR SERVICIOS,Sin especificar,2021T2,23792
TOTAL SECTOR SERVICIOS,Sin especificar,2021T3,23924
TOTAL SECTOR SERVICIOS,Sin especificar,2021T4,23999
SECTOR TURÍSTICOS,TOTAL,2011T2,11220
