Grupo actividad sector turístico,Indicador,Periodo,DATA
TOTAL SECTOR SERVICIOS,Número de empresas,2008,16501
TOTAL SECTOR SERVICIOS,Número de empresas,2009,16522
TOTAL SECTOR SERVICIOS,Número de empresas,2010,16666
TOTAL SECTOR SERVICIOS,Número de empresas,2011,16614
TOTAL SECTOR SERVICIOS,Número de empresas,2012,16508
TOTAL SECTOR SERVICIOS,Número de empresas,2013,16625
TOTAL SECTOR SERVICIOS,Número de empresas,2014,16741
TOTAL SECTOR SERVICIOS,Número de empresas,2015,17609
TOTAL SECTOR SERVICIOS,Número de empresas,2016,17715
TOTAL SECTOR SERVICIOS,Número de empresas,2017,17906
TOTAL SECTOR SERVICIOS,Número de empresas,2018,17940
TOTAL SECTOR SERVICIOS,Número de empresas,2019,17573
TOTAL SECTOR SERVICIOS,Número de empresas,2020,17692
TOTAL SECTOR SERVICIOS,Número de empresas,2021,17398
TOTAL SECTOR SERVICIOS,Número de locales,2008,
TOTAL SECTOR SERVICIOS,Número de locales,2009,
TOTAL SECTOR SERVICIOS,Número de locales,2010,19318
TOTAL SECTOR SERVICIOS,Número de locales,2011,19233
TOTAL SECTOR SERVICIOS,Número de locales,2012,19000
TOTAL SECTOR SERVICIOS,Número de locales,2013,19204
TOTAL SECTOR SERVICIOS,Número de locales,2014,19268
TOTAL SECTOR SERVICIOS,Número de locales,2015,20154
TOTAL SECTOR SERVICIOS,Número de locales,2016,20313
TOTAL SECTOR SERVICIOS,Número de locales,2017,20560
TOTAL SECTOR SERVICIOS,Número de locales,2018,20619
TOTAL SECTOR SERVICIOS,Número de locales,2019,20548
TOTAL SECTOR SERVICIOS,Número de locales,2020,20720
TOTAL SECTOR SERVICIOS,Número de locales,2021,20419
SECTOR TURÍSTICOS,Número de empresas,2008,2891
SECTOR TURÍSTICOS,Número de empresas,2009,2903
SECTOR TURÍSTICOS,Número de empresas,2010,2894
SECTOR TURÍSTICOS,Número de empresas,2011,2872
SECTOR TURÍSTICOS,Número de empresas,2012,2891
SECTOR TURÍSTICOS,Número de empresas,2013,2897
SECTOR TURÍSTICOS,Número de empresas,2014,2856
SECTOR TURÍSTICOS,Número de empresas,2015,2837
SECTOR TURÍSTICOS,Número de empresas,2016,2865
SECTOR TURÍSTICOS,Número de empresas,2017,2907
SECTOR TURÍSTICOS,Número de empresas,2018,2946
SECTOR TURÍSTICOS,Número de empresas,2019,2922
SECTOR TURÍSTICOS,Número de empresas,2020,3021
SECTOR TURÍSTICOS,Número de empresas,2021,2939
SECTOR TURÍSTICOS,Número de locales,2008,
SECTOR TURÍSTICOS,Número de locales,2009,
