Periodo,Categoría,Residencia viajero,DATA
2015M11,TOTAL,TOTAL,7633.27
2015M11,TOTAL,Residentes en Espańa,7510.37
2015M11,TOTAL,No residentes en Espańa,122.9
2015M11,1 Llave,TOTAL,7059.73
2015M11,1 Llave,Residentes en Espańa,6936.83
2015M11,1 Llave,No residentes en Espańa,122.9
2015M11,"2, 3 y 4 Llaves",TOTAL,573.53
2015M11,"2, 3 y 4 Llaves",Residentes en Espańa,573.53
2015M11,"2, 3 y 4 Llaves",No residentes en Espańa,
2015M12,TOTAL,TOTAL,10667.71
2015M12,TOTAL,Residentes en Espańa,10381.9
2015M12,TOTAL,No residentes en Espańa,285.81
2015M12,1 Llave,TOTAL,9456.16
2015M12,1 Llave,Residentes en Espańa,9170.35
2015M12,1 Llave,No residentes en Espańa,285.81
2015M12,"2, 3 y 4 Llaves",TOTAL,1211.55
2015M12,"2, 3 y 4 Llaves",Residentes en Espańa,1211.55
2015M12,"2, 3 y 4 Llaves",No residentes en Espańa,
2016M01,TOTAL,TOTAL,4155.72
2016M01,TOTAL,Residentes en Espańa,4051.17
2016M01,TOTAL,No residentes en Espańa,104.55
2016M01,1 Llave,TOTAL,3240.18
2016M01,1 Llave,Residentes en Espańa,3213.88
2016M01,1 Llave,No residentes en Espańa,26.3
2016M01,"2, 3 y 4 Llaves",TOTAL,915.55
2016M01,"2, 3 y 4 Llaves",Residentes en Espańa,837.29
2016M01,"2, 3 y 4 Llaves",No residentes en Espańa,78.25
2016M02,TOTAL,TOTAL,5904.57
2016M02,TOTAL,Residentes en Espańa,5812.36
2016M02,TOTAL,No residentes en Espańa,92.21
2016M02,1 Llave,TOTAL,4602.72
2016M02,1 Llave,Residentes en Espańa,4510.52
2016M02,1 Llave,No residentes en Espańa,92.21
2016M02,"2, 3 y 4 Llaves",TOTAL,1301.85
2016M02,"2, 3 y 4 Llaves",Residentes en Espańa,1301.85
2016M02,"2, 3 y 4 Llaves",No residentes en Espańa,
2016M03,TOTAL,TOTAL,11399.83
2016M03,TOTAL,Residentes en Espańa,10838.45
2016M03,TOTAL,No residentes en Espańa,561.39
