Periodo,CCAA de residencia,Medida,DATA
2015M11,TOTAL,Viajeros,3906.64
2015M11,TOTAL,Pernoctaciones,7633.27
2015M11,NO RESIDENTE EN ESPAŃA,Viajeros,61.45
2015M11,NO RESIDENTE EN ESPAŃA,Pernoctaciones,122.9
2015M11,RESIDENTES EN ESPAŃA,Viajeros,3845.19
2015M11,RESIDENTES EN ESPAŃA,Pernoctaciones,7510.37
2015M11,Andalucía,Viajeros,85.11
2015M11,Andalucía,Pernoctaciones,187.87
2015M11,Aragón,Viajeros,129.59
2015M11,Aragón,Pernoctaciones,327.66
2015M11,"Asturias, Principado de",Viajeros,21.66
2015M11,"Asturias, Principado de",Pernoctaciones,47.31
2015M11,Cantabria,Viajeros,138.9
2015M11,Cantabria,Pernoctaciones,264.14
2015M11,Castilla y León,Viajeros,233.18
2015M11,Castilla y León,Pernoctaciones,560.7
2015M11,Castilla - La Mancha,Viajeros,40.97
2015M11,Castilla - La Mancha,Pernoctaciones,81.93
2015M11,Cataluńa,Viajeros,208.01
2015M11,Cataluńa,Pernoctaciones,362.56
2015M11,Comunitat Valenciana,Viajeros,81.93
2015M11,Comunitat Valenciana,Pernoctaciones,232.14
2015M11,Extremadura,Viajeros,4
2015M11,Extremadura,Pernoctaciones,8
2015M11,Galicia,Viajeros,68.28
2015M11,Galicia,Pernoctaciones,68.28
2015M11,"Madrid, Comunidad de",Viajeros,1661.34
2015M11,"Madrid, Comunidad de",Pernoctaciones,3520.14
2015M11,"Navarra, Comunidad Foral de",Viajeros,39.31
2015M11,"Navarra, Comunidad Foral de",Pernoctaciones,64.97
2015M11,País Vasco,Viajeros,988.3
2015M11,País Vasco,Pernoctaciones,1595.07
2015M11,"Rioja, La",Viajeros,144.62
2015M11,"Rioja, La",Pernoctaciones,189.59
2015M11,"Balears, Illes",Viajeros,
2015M11,"Balears, Illes",Pernoctaciones,
2015M11,"Murcia, Región de",Viajeros,
2015M11,"Murcia, Región de",Pernoctaciones,
2015M11,Canarias,Viajeros,
2015M11,Canarias,Pernoctaciones,
2015M11,Melilla,Viajeros,
2015M11,Melilla,Pernoctaciones,
2015M11,Ceuta,Viajeros,
2015M11,Ceuta,Pernoctaciones,
2015M12,TOTAL,Viajeros,4391.6
2015M12,TOTAL,Pernoctaciones,10667.71
2015M12,NO RESIDENTE EN ESPAŃA,Viajeros,129.7
2015M12,NO RESIDENTE EN ESPAŃA,Pernoctaciones,285.81
2015M12,RESIDENTES EN ESPAŃA,Viajeros,4261.9
2015M12,RESIDENTES EN ESPAŃA,Pernoctaciones,10381.9
2015M12,Andalucía,Viajeros,26.5
2015M12,Andalucía,Pernoctaciones,58.03
2015M12,Aragón,Viajeros,241.01
2015M12,Aragón,Pernoctaciones,642.89
2015M12,"Asturias, Principado de",Viajeros,110.94
2015M12,"Asturias, Principado de",Pernoctaciones,328.42
2015M12,Cantabria,Viajeros,33.11
2015M12,Cantabria,Pernoctaciones,53.01
2015M12,Castilla y León,Viajeros,183.23
2015M12,Castilla y León,Pernoctaciones,327.55
2015M12,Castilla - La Mancha,Viajeros,14.09
2015M12,Castilla - La Mancha,Pernoctaciones,56.35
2015M12,Cataluńa,Viajeros,578.23
2015M12,Cataluńa,Pernoctaciones,1509.71
2015M12,Comunitat Valenciana,Viajeros,290.21
2015M12,Comunitat Valenciana,Pernoctaciones,859.72
2015M12,Extremadura,Viajeros,
2015M12,Extremadura,Pernoctaciones,
2015M12,Galicia,Viajeros,105.66
2015M12,Galicia,Pernoctaciones,118.87
2015M12,"Madrid, Comunidad de",Viajeros,1073.55
2015M12,"Madrid, Comunidad de",Pernoctaciones,2853.02
2015M12,"Navarra, Comunidad Foral de",Viajeros,300.07
2015M12,"Navarra, Comunidad Foral de",Pernoctaciones,529
2015M12,País Vasco,Viajeros,948.69
2015M12,País Vasco,Pernoctaciones,2456.26
2015M12,"Rioja, La",Viajeros,306.51
2015M12,"Rioja, La",Pernoctaciones,473.82
2015M12,"Balears, Illes",Viajeros,23.69
2015M12,"Balears, Illes",Pernoctaciones,62.44
2015M12,"Murcia, Región de",Viajeros,26.41
2015M12,"Murcia, Región de",Pernoctaciones,52.83
2015M12,Canarias,Viajeros,
2015M12,Canarias,Pernoctaciones,
2015M12,Melilla,Viajeros,
2015M12,Melilla,Pernoctaciones,
2015M12,Ceuta,Viajeros,
2015M12,Ceuta,Pernoctaciones,
2016M01,TOTAL,Viajeros,1433.91
2016M01,TOTAL,Pernoctaciones,4155.72
2016M01,NO RESIDENTE EN ESPAŃA,Viajeros,41.95
2016M01,NO RESIDENTE EN ESPAŃA,Pernoctaciones,104.55
2016M01,RESIDENTES EN ESPAŃA,Viajeros,1391.96
2016M01,RESIDENTES EN ESPAŃA,Pernoctaciones,4051.17
2016M01,Andalucía,Viajeros,15.65
2016M01,Andalucía,Pernoctaciones,15.65
2016M01,Aragón,Viajeros,93.98
2016M01,Aragón,Pernoctaciones,269.33
2016M01,"Asturias, Principado de",Viajeros,14.67
2016M01,"Asturias, Principado de",Pernoctaciones,29.34
2016M01,Cantabria,Viajeros,5.81
2016M01,Cantabria,Pernoctaciones,11.62
2016M01,Castilla y León,Viajeros,41.95
2016M01,Castilla y León,Pernoctaciones,142.17
2016M01,Castilla - La Mancha,Viajeros,15.65
2016M01,Castilla - La Mancha,Pernoctaciones,46.95
2016M01,Cataluńa,Viajeros,44.02
2016M01,Cataluńa,Pernoctaciones,330.61
2016M01,Comunitat Valenciana,Viajeros,39.13
2016M01,Comunitat Valenciana,Pernoctaciones,203.45
2016M01,Extremadura,Viajeros,
2016M01,Extremadura,Pernoctaciones,
2016M01,Galicia,Viajeros,15.65
2016M01,Galicia,Pernoctaciones,15.65
2016M01,"Madrid, Comunidad de",Viajeros,466.58
2016M01,"Madrid, Comunidad de",Pernoctaciones,1292.04
2016M01,"Navarra, Comunidad Foral de",Viajeros,17.44
2016M01,"Navarra, Comunidad Foral de",Pernoctaciones,93.56
2016M01,País Vasco,Viajeros,434.68
2016M01,País Vasco,Pernoctaciones,1027.75
2016M01,"Rioja, La",Viajeros,186.77
2016M01,"Rioja, La",Pernoctaciones,541.72
2016M01,"Balears, Illes",Viajeros,
2016M01,"Balears, Illes",Pernoctaciones,
2016M01,"Murcia, Región de",Viajeros,
2016M01,"Murcia, Región de",Pernoctaciones,31.3
2016M01,Canarias,Viajeros,
2016M01,Canarias,Pernoctaciones,
2016M01,Melilla,Viajeros,
2016M01,Melilla,Pernoctaciones,
2016M01,Ceuta,Viajeros,
2016M01,Ceuta,Pernoctaciones,
2016M02,TOTAL,Viajeros,2905.82
2016M02,TOTAL,Pernoctaciones,5904.57
2016M02,NO RESIDENTE EN ESPAŃA,Viajeros,34.5
2016M02,NO RESIDENTE EN ESPAŃA,Pernoctaciones,92.21
2016M02,RESIDENTES EN ESPAŃA,Viajeros,2871.32
2016M02,RESIDENTES EN ESPAŃA,Pernoctaciones,5812.36
2016M02,Andalucía,Viajeros,
2016M02,Andalucía,Pernoctaciones,
2016M02,Aragón,Viajeros,118.85
2016M02,Aragón,Pernoctaciones,301.49
2016M02,"Asturias, Principado de",Viajeros,3.87
2016M02,"Asturias, Principado de",Pernoctaciones,11.6
2016M02,Cantabria,Viajeros,
2016M02,Cantabria,Pernoctaciones,
2016M02,Castilla y León,Viajeros,380.88
2016M02,Castilla y León,Pernoctaciones,875.62
2016M02,Castilla - La Mancha,Viajeros,11.6
2016M02,Castilla - La Mancha,Pernoctaciones,23.2
