Periodo,Categoría,DATA
2015M11,TOTAL,85.33
2015M11,1 Llave,72.82
2015M11,"2, 3 y 4 Llaves",12.52
2015M12,TOTAL,85.33
2015M12,1 Llave,72.82
2015M12,"2, 3 y 4 Llaves",12.52
2016M01,TOTAL,87.89
2016M01,1 Llave,76.15
2016M01,"2, 3 y 4 Llaves",11.74
2016M02,TOTAL,87.74
2016M02,1 Llave,76
2016M02,"2, 3 y 4 Llaves",11.74
2016M03,TOTAL,90.57
2016M03,1 Llave,77.88
2016M03,"2, 3 y 4 Llaves",12.7
2016M04,TOTAL,96.42
2016M04,1 Llave,83.57
2016M04,"2, 3 y 4 Llaves",12.85
2016M05,TOTAL,97.46
2016M05,1 Llave,84.61
2016M05,"2, 3 y 4 Llaves",12.85
2016M06,TOTAL,97.46
2016M06,1 Llave,84.61
2016M06,"2, 3 y 4 Llaves",12.85
2016M07,TOTAL,98.44
2016M07,1 Llave,84.61
2016M07,"2, 3 y 4 Llaves",13.82
2016M08,TOTAL,98.44
2016M08,1 Llave,84.61
2016M08,"2, 3 y 4 Llaves",13.82
2016M09,TOTAL,95.87
2016M09,1 Llave,82.22
2016M09,"2, 3 y 4 Llaves",13.65
2016M10,TOTAL,97.11
2016M10,1 Llave,83.38
2016M10,"2, 3 y 4 Llaves",13.73
2016M11,TOTAL,97.15
2016M11,1 Llave,83.42
2016M11,"2, 3 y 4 Llaves",13.74
2016M12,TOTAL,99.41
2016M12,1 Llave,85.58
2016M12,"2, 3 y 4 Llaves",13.83
2017M01,TOTAL,96.6
2017M01,1 Llave,83.93
2017M01,"2, 3 y 4 Llaves",12.68
2017M02,TOTAL,90.39
2017M02,1 Llave,78.18
2017M02,"2, 3 y 4 Llaves",12.22
2017M03,TOTAL,91.44
2017M03,1 Llave,78.31
2017M03,"2, 3 y 4 Llaves",13.12
2017M04,TOTAL,92.82
2017M04,1 Llave,79.58
2017M04,"2, 3 y 4 Llaves",13.24
2017M05,TOTAL,90.9
2017M05,1 Llave,77.8
2017M05,"2, 3 y 4 Llaves",13.1
2017M06,TOTAL,95.69
2017M06,1 Llave,81.07
2017M06,"2, 3 y 4 Llaves",14.62
2017M07,TOTAL,95.69
2017M07,1 Llave,81.27
2017M07,"2, 3 y 4 Llaves",14.42
2017M08,TOTAL,93.73
2017M08,1 Llave,79.3
2017M08,"2, 3 y 4 Llaves",14.43
2017M09,TOTAL,96.62
2017M09,1 Llave,82
2017M09,"2, 3 y 4 Llaves",14.62
2017M10,TOTAL,96.82
2017M10,1 Llave,82.2
2017M10,"2, 3 y 4 Llaves",14.62
2017M11,TOTAL,96.82
2017M11,1 Llave,82.2
2017M11,"2, 3 y 4 Llaves",14.62
2017M12,TOTAL,94.34
2017M12,1 Llave,79.9
2017M12,"2, 3 y 4 Llaves",14.45
2018M01,TOTAL,90.64
2018M01,1 Llave,80.2
2018M01,"2, 3 y 4 Llaves",10.44
2018M02,TOTAL,90.64
2018M02,1 Llave,80.2
2018M02,"2, 3 y 4 Llaves",10.44
2018M03,TOTAL,92.39
2018M03,1 Llave,78.13
2018M03,"2, 3 y 4 Llaves",14.26
2018M04,TOTAL,92.76
2018M04,1 Llave,78.52
2018M04,"2, 3 y 4 Llaves",14.25
2018M05,TOTAL,86.65
2018M05,1 Llave,72.77
2018M05,"2, 3 y 4 Llaves",13.87
2018M06,TOTAL,91
2018M06,1 Llave,76.94
2018M06,"2, 3 y 4 Llaves",14.06
2018M07,TOTAL,88.83
2018M07,1 Llave,74.94
2018M07,"2, 3 y 4 Llaves",13.89
2018M08,TOTAL,85.3
2018M08,1 Llave,73.8
2018M08,"2, 3 y 4 Llaves",11.5
2018M09,TOTAL,92.26
2018M09,1 Llave,77.32
2018M09,"2, 3 y 4 Llaves",14.94
2018M10,TOTAL,91.83
2018M10,1 Llave,77.09
2018M10,"2, 3 y 4 Llaves",14.74
2018M11,TOTAL,91.83
2018M11,1 Llave,77.09
2018M11,"2, 3 y 4 Llaves",14.74
2018M12,TOTAL,88.2
2018M12,1 Llave,76.56
