Periodo,Categoría,DATA
2015M11,TOTAL,1433.24
2015M11,1 Llave,1272.91
2015M11,"2, 3 y 4 Llaves",160.33
2015M12,TOTAL,1438.04
2015M12,1 Llave,1277.63
2015M12,"2, 3 y 4 Llaves",160.41
2016M01,TOTAL,1435.93
2016M01,1 Llave,1279.1
2016M01,"2, 3 y 4 Llaves",156.83
2016M02,TOTAL,1367
2016M02,1 Llave,1209.24
2016M02,"2, 3 y 4 Llaves",157.76
2016M03,TOTAL,1473.5
2016M03,1 Llave,1308.91
2016M03,"2, 3 y 4 Llaves",164.58
2016M04,TOTAL,1509.83
2016M04,1 Llave,1344.8
2016M04,"2, 3 y 4 Llaves",165.02
2016M05,TOTAL,1567.77
2016M05,1 Llave,1402.52
2016M05,"2, 3 y 4 Llaves",165.24
2016M06,TOTAL,1538.54
2016M06,1 Llave,1373.4
2016M06,"2, 3 y 4 Llaves",165.14
2016M07,TOTAL,1553.34
2016M07,1 Llave,1373.87
2016M07,"2, 3 y 4 Llaves",179.47
2016M08,TOTAL,1551.47
2016M08,1 Llave,1372.03
2016M08,"2, 3 y 4 Llaves",179.44
2016M09,TOTAL,1528.92
2016M09,1 Llave,1349.72
2016M09,"2, 3 y 4 Llaves",179.19
2016M10,TOTAL,1546.48
2016M10,1 Llave,1367.06
2016M10,"2, 3 y 4 Llaves",179.42
2016M11,TOTAL,1509.88
2016M11,1 Llave,1331.18
2016M11,"2, 3 y 4 Llaves",178.7
2016M12,TOTAL,1556.31
2016M12,1 Llave,1384.64
2016M12,"2, 3 y 4 Llaves",171.67
2017M01,TOTAL,1526.94
2017M01,1 Llave,1357.19
2017M01,"2, 3 y 4 Llaves",169.75
2017M02,TOTAL,1320.41
2017M02,1 Llave,1162.71
2017M02,"2, 3 y 4 Llaves",157.7
2017M03,TOTAL,1487.12
2017M03,1 Llave,1312.85
2017M03,"2, 3 y 4 Llaves",174.27
2017M04,TOTAL,1517.97
2017M04,1 Llave,1341.45
2017M04,"2, 3 y 4 Llaves",176.53
2017M05,TOTAL,1456.8
2017M05,1 Llave,1284.99
2017M05,"2, 3 y 4 Llaves",171.81
2017M06,TOTAL,1529.14
2017M06,1 Llave,1341.73
2017M06,"2, 3 y 4 Llaves",187.41
2017M07,TOTAL,1560.43
2017M07,1 Llave,1371.74
2017M07,"2, 3 y 4 Llaves",188.69
2017M08,TOTAL,1565.17
2017M08,1 Llave,1377.12
2017M08,"2, 3 y 4 Llaves",188.06
2017M09,TOTAL,1609.47
2017M09,1 Llave,1419.63
2017M09,"2, 3 y 4 Llaves",189.84
2017M10,TOTAL,1551.85
2017M10,1 Llave,1364.76
2017M10,"2, 3 y 4 Llaves",187.1
2017M11,TOTAL,1562.14
2017M11,1 Llave,1374.57
2017M11,"2, 3 y 4 Llaves",187.57
2017M12,TOTAL,1528.09
2017M12,1 Llave,1343.8
2017M12,"2, 3 y 4 Llaves",184.28
2018M01,TOTAL,1507.93
2018M01,1 Llave,1367.51
2018M01,"2, 3 y 4 Llaves",140.42
2018M02,TOTAL,1475.72
2018M02,1 Llave,1337.14
2018M02,"2, 3 y 4 Llaves",138.58
2018M03,TOTAL,1536.88
2018M03,1 Llave,1352.17
2018M03,"2, 3 y 4 Llaves",184.71
2018M04,TOTAL,1577.3
2018M04,1 Llave,1391.65
2018M04,"2, 3 y 4 Llaves",185.65
2018M05,TOTAL,1455.16
2018M05,1 Llave,1273.66
2018M05,"2, 3 y 4 Llaves",181.5
2018M06,TOTAL,1573.89
2018M06,1 Llave,1388.8
2018M06,"2, 3 y 4 Llaves",185.09
2018M07,TOTAL,1592.15
2018M07,1 Llave,1408.3
2018M07,"2, 3 y 4 Llaves",183.85
2018M08,TOTAL,1542.05
2018M08,1 Llave,1386.27
2018M08,"2, 3 y 4 Llaves",155.78
2018M09,TOTAL,1621.07
2018M09,1 Llave,1434.92
2018M09,"2, 3 y 4 Llaves",186.15
2018M10,TOTAL,1680.02
2018M10,1 Llave,1481.9
2018M10,"2, 3 y 4 Llaves",198.12
2018M11,TOTAL,1674.48
2018M11,1 Llave,1476.76
2018M11,"2, 3 y 4 Llaves",197.72
2018M12,TOTAL,1619.1
2018M12,1 Llave,1458.9
2018M12,"2, 3 y 4 Llaves",160.2
2019M01,TOTAL,1522.81
2019M01,1 Llave,1404.19
2019M01,"2, 3 y 4 Llaves",118.62
2019M02,TOTAL,1546.85
2019M02,1 Llave,1337.66
2019M02,"2, 3 y 4 Llaves",209.19
2019M03,TOTAL,1608
2019M03,1 Llave,1401.02
2019M03,"2, 3 y 4 Llaves",206.98
2019M04,TOTAL,1602.21
2019M04,1 Llave,1394.85
2019M04,"2, 3 y 4 Llaves",207.36
2019M05,TOTAL,1611.57
2019M05,1 Llave,1394.85
2019M05,"2, 3 y 4 Llaves",216.73
2019M06,TOTAL,1658.06
2019M06,1 Llave,1451.36
2019M06,"2, 3 y 4 Llaves",206.7
2019M07,TOTAL,1765.72
2019M07,1 Llave,1447.96
2019M07,"2, 3 y 4 Llaves",317.76
2019M08,TOTAL,1812.9
2019M08,1 Llave,1490.37
2019M08,"2, 3 y 4 Llaves",322.52
2019M09,TOTAL,1823.58
2019M09,1 Llave,1472.94
2019M09,"2, 3 y 4 Llaves",350.64
2019M10,TOTAL,1940.65
2019M10,1 Llave,1584.65
2019M10,"2, 3 y 4 Llaves",356
2019M11,TOTAL,
2019M11,1 Llave,
2019M11,"2, 3 y 4 Llaves",
2019M12,TOTAL,1855.56
2019M12,1 Llave,1503.09
2019M12,"2, 3 y 4 Llaves",352.47
2020M01,TOTAL,1855.08
2020M01,1 Llave,1517.45
2020M01,"2, 3 y 4 Llaves",337.63
2020M02,TOTAL,1802.43
2020M02,1 Llave,1458.89
2020M02,"2, 3 y 4 Llaves",343.54
2020M03,TOTAL,906.5
2020M03,1 Llave,818.99
2020M03,"2, 3 y 4 Llaves",87.5
2020M05,TOTAL,754.72
2020M05,1 Llave,617.05
2020M05,"2, 3 y 4 Llaves",137.67
2020M06,TOTAL,1378.95
2020M06,1 Llave,1203.01
2020M06,"2, 3 y 4 Llaves",175.94
2020M07,TOTAL,1583.37
2020M07,1 Llave,1279.73
2020M07,"2, 3 y 4 Llaves",303.65
2020M08,TOTAL,1822.88
2020M08,1 Llave,1522.72
2020M08,"2, 3 y 4 Llaves",300.16
2020M09,TOTAL,1591.23
2020M09,1 Llave,1298.42
2020M09,"2, 3 y 4 Llaves",292.81
2020M10,TOTAL,1518.89
2020M10,1 Llave,1303.25
2020M10,"2, 3 y 4 Llaves",215.63
2020M11,TOTAL,991.27
2020M11,1 Llave,775.4
2020M11,"2, 3 y 4 Llaves",215.88
2020M12,TOTAL,970.6
2020M12,1 Llave,755.42
2020M12,"2, 3 y 4 Llaves",215.19
2021M01,TOTAL,844.36
2021M01,1 Llave,668.62
2021M01,"2, 3 y 4 Llaves",175.75
2021M03,TOTAL,1006.35
2021M03,1 Llave,839.21
2021M03,"2, 3 y 4 Llaves",167.14
2021M04,TOTAL,1430.25
2021M04,1 Llave,1193.48
2021M04,"2, 3 y 4 Llaves",236.78
2021M05,TOTAL,1516.99
2021M05,1 Llave,1235
2021M05,"2, 3 y 4 Llaves",281.98
2021M06,TOTAL,1867.2
2021M06,1 Llave,1577.4
2021M06,"2, 3 y 4 Llaves",289.79
2021M07,TOTAL,
2021M07,1 Llave,
2021M07,"2, 3 y 4 Llaves",
2021M08,TOTAL,1838.84
2021M08,1 Llave,1559.3
2021M08,"2, 3 y 4 Llaves",279.54
2021M09,TOTAL,1874.71
2021M09,1 Llave,1592.54
